record_id,event_date,subject,source,evidence_grade,documented_finding,evidence_limit
B191-01,1904-04,Direct reading ecology,Lovejoy Recent Literature in Philosophy and Ethics AJT 8.2 pp395-405,A_direct_primary,"Lovejoy reviews twelve recent works spanning French religious philosophy psycho-sociological ethics pragmatism and history of philosophy.",Reading/reviewing does not by itself establish personal contact or intellectual dependence.
B191-02,1904-04,Pragmatism and intellectual responsibility,Lovejoy Recent Literature pp395-397,A_direct_primary,"Lovejoy warns that popular pragmatism can become a plenary absolution from intellectual responsibility and says its limits and practical application must be carefully defined.",Does not amount to a general rejection of pragmatism.
B191-03,1904-04,Natural ground versus demonstration,Lovejoy Recent Literature p397,A_direct_primary,"Lovejoy says the teleological argument may remain a natural ground of theistic belief while never amounting to strict demonstration.",Theological evaluation should not be conflated with historical proof standards without explicit comparison.
B191-04,1904-04,Laberthonniere French religious philosophy,Lovejoy Recent Literature pp395-396,A_direct_primary,"Lovejoy directly reviews Laberthonniere's Paris 1903 Essais and reconstructs its non-compulsive theory of truth while criticizing the attempted reconciliation with external church authority.",Proves active reading of a current French work not personal contact or Paris transmission.
B191-05,1904-04,Duprat translation control,Lovejoy Recent Literature pp399-400,A_direct_primary,"Lovejoy refuses confidently to judge Duprat's meaning and merits from a hopelessly bad English translation and reconstructs likely French syntax to recover the proposition.",Hypothetical source-language reconstruction remains Lovejoy's critical repair not access to the original demonstrated in the review.
B191-06,1904-04,Linguistic fact versus moral conclusion,Lovejoy Recent Literature p401,A_direct_primary,"Lovejoy argues that even a clear common usage of good would not without further argument establish the grounds or content of moral obligation.",Does not imply ordinary language is irrelevant to moral analysis.
B191-07,1904-04,Antecedents and influence as distinct historical tasks,Lovejoy Recent Literature pp403-404,A_direct_primary,"Lovejoy criticizes Hume and Rousseau studies for insufficient treatment of antecedents and downstream influence while separately praising textual exposition.",Does not establish any single preferred causal model.
B191-08,1904-04,Analytical history criterion,Lovejoy Recent Literature p404,A_direct_primary,"Lovejoy praises Norman Smith for tracing determining Cartesian assumptions through logical working-out vicissitudes weakening and replacement and calls the result analytical history.",Praise of method does not establish direct methodological borrowing.
B191-09,1904-04,Couchoud historical milieu and Spinoza classification,Lovejoy Recent Literature pp404-405,A_direct_primary,"Lovejoy calls customary classification of Spinoza as Cartesian misleading identifies more distinctive affinities elsewhere and praises Couchoud for reconstructing a many-sided historical milieu rather than treating Spinoza in vacuo.",Affinity must not be collapsed into direct historical borrowing.
B191-10,1902,Couchoud French methodological comparator,Couchoud Benoit de Spinoza Paris Felix Alcan 1902 preface,B_external_primary_or_reproduction,"Couchoud says he follows rules applicable to history of philosophy; his first rule is to consider everything Spinoza wrote rather than preselect only properly philosophical works.",External comparator only; no proof Lovejoy adopted this rule from Couchoud.
B191-11,1903,Laberthonniere publication control,Open Library and library catalog records,B_bibliographic_control,"Essais de philosophie religieuse was published in Paris by P. Lethielleux in 1903.",Bibliographic fact only.
B191-12,1901-1903,Duprat French-English publication control,Persee and 1903 English edition,B_bibliographic_control,"Duprat's La morale appeared in Paris in 1901 and an English translation Morals appeared in 1903.",Does not prove which edition Lovejoy consulted beyond his explicit review of the English translation.
