date	author_text	journal_or_venue	method_problem	analytic_operation	context_causation_position	primitive_nonwestern_relevance	relation_to_lovejoy	evidence_status	article_use
1940	Arthur O. Lovejoy, Reflections on the History of Ideas	JHI 1.1	departmental/national/language jurisdictions obstruct movement of ideas	follow preconceptions/categories/postulates/metaphors/analogical modes across fields; trace antecedents/consequents	cross-disciplinary migration requires historical causal/historical checking, not one departmental frame	primitivism explicitly listed among exemplary JHI problems	founding programme	DIRECT_PRIMARY_PROGRAMMATIC	Sets journal problem-space; do not equate with mandatory editorial orthodoxy
1940	Frederick J. Teggart, The Argument of Hesiod's Works and Days	JHI 1	journal as forum for methodological criticism; dispute over Lovejoy's oscillatory thesis	close source/argument reconstruction used to challenge broad interpretive claim	criticism welcomed under journal aim of mutual criticism and mutual aid	not primitive-centered	internal critic in volume 1	DIRECT_SEARCHABLE_TEXT + EDITORIAL_NOTE	Shows methodological contestation was built into JHI from first volume
1944	Leo Spitzer, Geistesgeschichte vs. History of Ideas as Applied to Hitlerism	JHI 5.2	idea analysis vs synthetic historical whole; presence vs continuity/causation	accepts presence of some Romantic ideas in Hitlerism but challenges long historical continuity and explanatory weight	analytic idea history insufficient by itself to explain movement; prefers synthetic epochal unity	Romanticism/totalitarianism rather than non-Western object	direct methodological critic	DIRECT_SEARCHABLE_TEXT	Typed dispute: idea presence != continuity != causal explanation
1944	Arthur O. Lovejoy, Reply to Professor Spitzer	JHI 5.2	defense of analysis and discrimination of Romanticisms against Geistesgeschichte	separate ideas/relations and defend historically testable linkages	defends claimed relation to Hitlerism while attacking holistic climate/Geist explanation	not primitive-centered	founder response	DIRECT_METADATA + WILSON/MOUTON CONTROL; DIRECT FULL COLLATION NEEDED	Use as internal JHI controversy, not simple atomism/context binary
1946	Abraham Edel, Levels of Meaning and the History of Ideas	JHI 7	meaning is temporally/developmentally stratified rather than detachable once-for-all	plot appearances and changing levels of meaning	meaning develops in historical sequence; context enters into semantic development	not primitive-centered	early internal modification	SECONDARY/SEARCHABLE_SNIPPET; DIRECT LOCK NEEDED	Pre-Skinner contextual-semantic pressure inside JHI
1946	Paul O. Kristeller, The Philosophical Significance of the History of Thought	JHI 7	jurisdiction of history of thought across philosophy/literature/art/religion/science	comparative historical analysis across disciplinary objects	philosophical history shares field with other forms of intellectual history	cross-field, not specifically non-Western	adjacent JHI theorist	SEARCHABLE_TEXT/METADATA	Reinforces history-of-thought as shared interdisciplinary jurisdiction
1946	Philip P. Wiener, The Logical Significance of the History of Thought	JHI 7	logical analysis and historical thought	clarify logical relations without reducing historical development to formal validity	logic/history interface treated explicitly	not primitive-centered	adjacent JHI theorist	DIRECT_METADATA; FULL COLLATION NEEDED	Useful control for Lovejoy logic/jurisdiction branch
1947	Roy Harvey Pearce, The Significances of the Captivity Narrative	American Literature 19.1	one apparent genre has changing cultural significances; content alone insufficient	split composite genre by form, point of view, audience function, historical use	proper historical view requires form, impact, milieu as well as content; asks what narratives were for contemporary readers	American Indian/captivity narrative; savage image	Lovejoy-trained Hopkins scholar before his 1948 method note	DIRECT_SEARCHABLE_TEXT	Crucial practice-before-program case: Pearce already doing synthetic cultural-process history before explicitly theorizing it
1948	Roy Harvey Pearce, A Note on Method in the History of Ideas	JHI 9.3	analytic pioneer phase vs synthetic second stage	extricate ideas; trace origin/growth/mutation/collocation/interaction; then study contexts as idea-informed cultural processes	history should ask how ideas enter, affect and function in specific cultural processes	primitivism + progress is his worked example of historically possible but logically discordant collocation	Lovejoy-trained internal successor	DIRECT_SEARCHABLE_TEXT + JSTOR_METADATA	Strongest internal contextualization lineage; two decades before Skinner
1948	Maurice Mandelbaum, Arthur O. Lovejoy and the Theory of Historiography	JHI 9.4	what theory of past/reconstruction underlies Lovejoy practice	reconstruct historiographical presuppositions	stresses Lovejoy's tracing of causal relations and pluralistic conception of past	not primitive-centered	near-contemporary interpreter	WILSON_SUMMARY + JSTOR_METADATA; DIRECT LOCK NEEDED	Blocks reduction of Lovejoy to formal continuity-only history
1949	Arthur O. Lovejoy, Historiography and Evaluation: A Disclaimer	JHI 10.1	historical reconstruction vs hasty evaluation	disaggregate specific logical/ethical claims before value judgment	premature normative ranking risks accuracy/objectivity	not primitive-centered	founder self-limitation	WILSON_SUMMARY + JSTOR_METADATA	Another jurisdiction firewall: historical identification before evaluation
1950	Philip Merlan, Lucretius—Primitivist or Progressivist	JHI 11.3	whether analyst category can be historically present without actor framing problem that way	classify propositions under primitivism/progress while testing textual warrant	raises actor-intention / analytical-presence question directly	primitivism is method test object	JHI execution case	DIRECT_METADATA + BOAS_1953_DISCUSSION	Shows primitivism remains epistemological test, not only subject matter
1952	Roy Harvey Pearce, The 'Ruines of Mankind': The Indian and the Puritan Mind	JHI	idea/image inside religious-cultural process	trace Indian/savage representation within Puritan thought and action	context and historical function central	American Indian / savage	Lovejoy-trained successor	DIRECT_METADATA; FULL TEXT desirable	Execution of Pearce synthetic programme in JHI
1953	George Boas, Some Problems of Intellectual History	History of Ideas Club, Studies in Intellectual History	general class vs historical instantiation; actor intention; causation	decompose labels/complex ideas; test whether analyst category is actually instantiated	logical reconstruction must not be confused with mind-reading; causation remains separate burden	uses primitivism / Merlan Lucretius as methodological example	co-founder/editor retrospective	DIRECT_OPEN_TEXT previously controlled	Club retrospective turns primitivism into explicit epistemology-of-classification case
