academic_year,event_date_as_printed,event_date_normalized,speaker_as_printed,affiliation_or_location_as_printed,default_membership_by_source_footnote,title_as_printed,record_status,minutes_status,thematic_tags,source_line,editorial_flags,source_url,source_pages
1923,"January 24, 1923",1923-01-24,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),A Phase of the History of Traditionalism from the Attempted Refutation of Condillac’s Theory of the Origin of Language by Rousseau to the Condemnation of Bonetty by Pope Pius IX,documented,not_individually_verified,,55,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923,"March 1, 1923",1923-03-01,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),Volney and Jefferson,documented,not_individually_verified,,58,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923,"April 26, 1923",1923-04-26,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Current Errors about Rousseau,documented,not_individually_verified,lovejoy,62,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923,"May 10, 1923",1923-05-10,A. Vermont,,Johns Hopkins University (appendix footnote; appointment/rank not established),Franklin and Some of his French Friends,documented,not_individually_verified,,66,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923–24,"November 15, 1923",1923-11-15,C. C. Thach,,Johns Hopkins University (appendix footnote; appointment/rank not established),Montesquieu and the American Constitution.,documented,not_individually_verified,,72,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923–24,"December 13, 1923",1923-12-13,Jacob H. Hollander,,Johns Hopkins University (appendix footnote; appointment/rank not established),Discussion of the Ms. of J. S. Mill’s Autobiography,documented,not_individually_verified,material_visual_workshop,76,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923–24,"January 24, 1924",1924-01-24,Gustave L. Van Roosbroeck,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Philosophic Background of Symbolism,documented,not_individually_verified,,80,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923–24,"February 20, 1924",1924-02-20,H. Carrington Lancaster,,Johns Hopkins University (appendix footnote; appointment/rank not established),Rationalistic Theories of the Origin of Language before the Eighteenth Century,documented,not_individually_verified,,83,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923–24,"March 20, 1924",1924-03-20,Marjorie Nicolson,Goucher College,,James Marsh and the Vermont Transcendentalists,documented,not_individually_verified,women_scholars;goucher,87,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1923–24,"April 17, 1924",1924-04-17,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),Jefferson and France,documented,not_individually_verified,,91,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1924–25,"November 13, 1924",1924-11-13,Lois Whitney,Goucher College,,An Early Scotch Primitivist,documented,not_individually_verified,primitivism;women_scholars;goucher,97,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1924–25,"December 17, 1924",1924-12-17,Adolph E. Zucker,University of Maryland,,The Genealogical Novel,documented,not_individually_verified,,101,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1924–25,"January 22, 1925",1925-01-22,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Introduction of Kantianism into France,documented,not_individually_verified,,104,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1924–25,"February 19, 1925",1925-02-19,Howard R. Patch,Smith College,,Chaucer and Lady Fortune,documented,not_individually_verified,,108,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1924–25,"March 19, 1925",1925-03-19,Dumas Malone,University of Virginia,,Thomas Cooper and his Influence on his Time,documented,not_individually_verified,,112,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1924–25,"April 16, 1925",1925-04-16,L. P. Shanks,,Johns Hopkins University (appendix footnote; appointment/rank not established),Flaubert’s First Phase and the Mal du Siècle,documented,not_individually_verified,,116,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1925–26,"November 11, 1925",1925-11-11,Henry S. Jennings,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Adventures of the Evolution Idea at the Hands of the Biologists,documented,not_individually_verified,,122,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1925–26,December? 1925,1925-12,Edward B. Mathews,,Johns Hopkins University (appendix footnote; appointment/rank not established),A History of Geological Thought,documented,not_individually_verified,,126,date_uncertain_as_printed,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1925–26,"January 13, 1926",1926-01-13,Joseph S. Ames,,Johns Hopkins University (appendix footnote; appointment/rank not established),The History of the Concept of Light,documented,not_individually_verified,science_cosmology,129,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1925–26,"February 8, 1926",1926-02-08,Jacob H. Hollander,,Johns Hopkins University (appendix footnote; appointment/rank not established),A Rediscovered MS. of Ricardo,documented,not_individually_verified,material_visual_workshop,133,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1925–26,March? 1926,1926-03,W. W. Willoughby,,Johns Hopkins University (appendix footnote; appointment/rank not established),Political Pluralism and Guild Socialism,documented,not_individually_verified,politics,137,date_uncertain_as_printed,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1925–26,"April 16, 1926",1926-04-16,"E. A. Singer, Jr.",University of Pennsylvania,,"Death of the Western World, and Martyrdom of Man",documented,not_individually_verified,,141,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1926–27,"November 23, 1926",1926-11-23,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),Nationalistic Primitivism in Eighteenth Century England,documented,not_individually_verified,primitivism;politics,147,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1926–27,"December 21, 1926",1926-12-21,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Meaning of Eighteenth Century Optimism,documented,not_individually_verified,lovejoy,150,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1926–27,"January 18, 1927",1927-01-18,William H. Welch,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Erroneous Hypothesis and the Advancement of Knowledge,documented,not_individually_verified,method_and_warrant,154,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
