year	volume_issue	author	title	region_or_object	relation_role	actor_status	cross_cultural_direction	institutional_context	evidence_status	notes
1941	2.2	UNKNOWN_CURRENT_PASS	The African Prince in London	Africa / African figure	REPRESENTATION_IN_EUROPEAN_CONTEXT	NONWESTERN_FIGURE_AS_REPRESENTED_OBJECT	Africa->Europe representation	ordinary JHI article	TITLE_LEVEL_ONLY	Need author/full text; do not yet count as internally reconstructed African intellectual history.
1945	6.4	Donald F. Lach	Leibniz and China	China / Leibniz	SOURCE_ANTECEDENT_RECEPTION	CHINA_AS_SOURCE_OR_RELATIONAL_OBJECT	China->European thinker	ordinary JHI article	DIRECT_METADATA_STRONG	China enters through Leibniz's intellectual relation to Chinese materials; classify exact mediation after full read.
1950	11.3	R. C. Bald	Sir William Chambers and the Chinese Garden	China / garden aesthetics / Chambers	SOURCE_TRANSMISSION_EUROPEAN_RECEPTION	CHINA_AS_AESTHETIC_SOURCE	China->Britain/Europe	ordinary JHI article	DIRECT_METADATA_STRONG	Transmission/reception role; internal Chinese intellectual agency likely secondary.
1951	12.1	Joseph Needham	Human Laws and Laws of Nature in China and the West (I)	China / comparative philosophy-science	CORE_COMPARATIVE_CASE	CHINESE_AND_WESTERN_TRADITIONS_AS_COMPARANDA	China<->West comparative	issue opening article	DIRECT_ISSUE_CONTROL	Major move toward symmetrical comparative problem, though Needham's comparative categories need direct analysis.
1951	12.1	Arthur F. Wright	Introductory Note: Chinese Reactions to Imported Ideas	China / reception	SYMPOSIUM_PROGRAMME	CHINESE_ACTORS_AS_RECIPIENTS_REWORKERS	outside->China	explicit symposium	DIRECT_ISSUE_CONTROL	Creates recipient/reaction/local-transformation jurisdiction as a named symposium object.
1951	12.1	Arthur F. Wright	Fu I and the Rejection of Buddhism	China / Buddhism	REACTION_REJECTION	CHINESE_ACTOR_AS_REJECTER_OF_IMPORTED_IDEA	India/Buddhism->China	explicit symposium	DIRECT_METADATA_STRONG	Especially important contrast with Lovejoy 1898: Buddhism changes role from internally reconstructed Buddhist system to imported doctrine encountering Chinese intellectual resistance.
1951	12.1	Hellmut Wilhelm	The Problem of Within and without, a Confucian Attempt in Syncretism	China / Confucianism / imported thought	REACTION_SYNCRETISM	CHINESE_ACTORS_AS_SYNTHESIZERS	outside<->China local recombination	explicit symposium	DIRECT_METADATA_STRONG	Tests local conceptual recombination rather than one-way influence.
1951	12.1	Benjamin I. Schwartz	Ch'en Tu-Hsiu and the Acceptance of the Modern West	China / modern Western thought	REACTION_ACCEPTANCE_TRANSFORMATION	CHINESE_ACTOR_AS_RECIPIENT	West->China	explicit symposium	DIRECT_METADATA_STRONG	Modern imported-idea acceptance; requires full read for whether reception is framed as selective transformation.
1955	16.4	Budh Prakash	The Hindu Philosophy of History	India / Hindu thought	INTERNALLY_RECONSTRUCTED_INTELLECTUAL_SYSTEM	NONWESTERN_THOUGHT_AS_PRIMARY_OBJECT	internal India	ordinary JHI article	DIRECT_METADATA_STRONG	Strong R1-style internal intellectual object in mature JHI; direct read needed for comparative framing.
1960	21.2	Arthur F. Wright	The Study of Chinese Civilization	China / Sinology / civilization studies	AREA_STUDIES_META_METHOD	CHINESE_CIVILIZATION_AS_FIELD_OBJECT	China studies<->Western academic institutions	ordinary JHI article	SEARCHABLE_FULLTEXT_AVAILABLE	High-value institutional/method bridge between JHI and Asian Studies/ACLS; deep read priority.
1961	22.2	Max Loehr	The Question of Individualism in Chinese Art	China / art / individualism	CORE_COMPARATIVE_CASE	CHINESE_ART_AS_PRIMARY_COMPARATIVE_OBJECT	China<->general individualism problem	Cambridge 1960 International Society paper -> JHI	DIRECT_ARCHIVAL_PROVENANCE	JHI issue opens with this paper; role differs markedly from 1935 supplementary India.
1961	22.2	James R. Hightower	Individualism in Chinese Literature	China / literature / individualism	CORE_COMPARATIVE_CASE	CHINESE_LITERATURE_AS_PRIMARY_COMPARATIVE_OBJECT	China<->general individualism problem	Cambridge 1960 International Society paper -> JHI	DIRECT_ARCHIVAL_PROVENANCE	Conference-publication route secure through Paolo Rossi archive.
1963	24.1	Nicholas Rescher	Al-Farabi on Logical Tradition	Islamic philosophy / Arabic logic	INTERNALLY_RECONSTRUCTED_INTELLECTUAL_TRADITION	NONWESTERN_PHILOSOPHER_AS_PRIMARY_ACTOR	Greek/Arabic intellectual transmission likely relevant	JHI note/article	DIRECT_METADATA_STRONG	Need full read to distinguish internal reconstruction from Greek-source genealogy.
1963	24.1	Franco Venturi	Oriental Despotism	Orient / European category	CATEGORY_GENEALOGY_OR_CRITIQUE	NONWESTERN_REGIONS_AS_OBJECTS_OF_EUROPEAN_CATEGORY	Europe->Orient representation/category	ordinary JHI article	DIRECT_METADATA_STRONG	Do not count as internal non-Western intellectual history without full-text evidence; likely history of European concept.
1965	26.4	Majid Fakhry	Al-Farabi and the Reconciliation of Plato and Aristotle	Islamic philosophy / Greek philosophy	APPROPRIATION_RECOMBINATION	AL_FARABI_AS_INTELLECTUAL_ACTOR	Greek->Arabic/Islamic transformation	ordinary JHI article	DIRECT_METADATA_STRONG	Strong case of non-Western actor reworking imported philosophical materials rather than passive transmission.
1970	31.4	UNKNOWN_CURRENT_PASS	The Russian Soul: A Study in European Thought and Non-European Nationalism	Russia / nationalism	BORDERLINE_CROSS_CULTURAL_CATEGORY	RUSSIA_AS_NON_EUROPEAN_NATIONAL_OBJECT	Europe<->Russia	ordinary JHI article	TITLE_LEVEL_ONLY	Borderline Europe/non-Europe classification; retain separately from Asia/Africa execution corpus.
