candidate_id,repository,collection_title,series_path,box,folder,folder_title,date_start,date_end,candidate_basis,lovejoy_name_index_status,verification_status,source_url,notes
IACF0001,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,75,7,"American Committee for Cultural Freedom- Correspondence",1951,1952,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder; no Lovejoy-specific presence claimed."
IACF0002,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,75,8,"American Committee for Cultural Freedom- Correspondence",1951,1951,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder; no Lovejoy-specific presence claimed."
IACF0003,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,75,9,"American Committee for Cultural Freedom- Correspondence",1951,1951,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder; no Lovejoy-specific presence claimed."
IACF0004,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,1,"American Committee for Cultural Freedom- Correspondence",1952,1952,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder; high priority beside the 1951-1952 Lowe-Hook-Lovejoy academic-freedom archive."
IACF0005,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,2,"American Committee for Cultural Freedom- Correspondence",1952,1952,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder; high priority beside the 1951-1952 Lowe-Hook-Lovejoy academic-freedom archive."
IACF0006,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,3,"American Committee for Cultural Freedom- Correspondence",1953,1953,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0007,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,4,"American Committee for Cultural Freedom- Correspondence",1953,1953,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0008,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,5,"American Committee for Cultural Freedom- Correspondence",1954,1954,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0009,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,6,"American Committee for Cultural Freedom- Correspondence",1954,1954,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0010,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,7,"American Committee for Cultural Freedom- Correspondence",1954,1954,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
