node_id,date,actor_from,actor_to,repository_or_source,record_or_locator,event_or_document,evidence_state,relation_to_lovejoy,retrieval_or_interpretive_action,source_url,notes
RH119A,"1916; exact date not exposed by public Notes","James Haughton Woods","Bertrand Russell",BRACERS,3597,"Woods offers Russell a half-year Harvard position beginning February 1917, with symbolic logic or theory of knowledge and ethics with social/international applications",specific_document_catalogue,"Harvard-side analogue to the Johns Hopkins Russell episode anchored by GLA0030; no Lovejoy authorship","recover full BRACERS record metadata and Harvard appointment paperwork; do not infer exact appointment date from course announcements",https://bracers.mcmaster.ca/bracers-notes?page=35,"This is the private/correspondence-level offer node."
RH119B,1916-02-24,"Harvard Faculty of Arts and Sciences / published course announcement","Harvard students/public","Harvard Crimson",1916-02-24 provisional courses,"Provisional 1916-17 announcement lists Russell for Philosophy 9c Social Psychology and Ethics and Philosophy 21 Advanced Logic",contemporary_public_institutional_announcement,"shows Russell's Harvard role had moved beyond private invitation into published curriculum planning before the summer state-control episode","seek official 1916-17 Harvard catalogue/corporation appointment minutes to identify formal appointment instrument and approval date",https://www.thecrimson.com/article/1916/2/24/provisional-announcement-of-1916-17-courses-made/,"Strong evidence of institutional planning, not by itself proof of the legal/formal appointment instrument."
RH119C,1916-04-12,"Harvard Faculty of Arts and Sciences / final course announcement","Harvard students/public","Harvard Crimson",1916-04-12 final courses,"Final announcement assigns Russell Philosophy 4a Contemporary Ethical and Social Problems for the second half-year; Advanced Logic remains in the published philosophy curriculum",contemporary_public_institutional_announcement,"confirms the Russell teaching plan survived from provisional to final curricular publication","recover the official catalogue pages and distinguish course revision from appointment revision",https://www.thecrimson.com/article/1916/4/12/many-changes-planned-in-courses-next/,"The article explicitly attributes Philosophy 4a to Russell. It does not re-state Russell as instructor for Philosophy 21 in the excerpt, so that attribution should not be imported from February without the final catalogue."
RH119D,1916-07-30,"Bertrand Russell","James Haughton Woods","BRACERS / published Russell text",3598,"Russell's reply to Woods is the communication later reconstructed in Batch118 as intercepted/non-delivered",specific_letter_event_textually_resolved,"same Harvard network; demonstrates correspondence control separate from physical mobility control","retain as bridge to Batch118; do not collapse letter interception with passport denial into one administrative act",https://bracers.mcmaster.ca/bracers-notes?page=35,"Batch118 resolves this as the 30 Jul 1916 historical event."
RH119E,"1916; exact date pending","Foreign Office / Secretary Sir Edward Grey's office","Home Office / Secretary Herbert Samuel","BRACERS Home Office-derived copy context",122554,"Foreign Office communicates information that Russell is planning to travel to the United States",specific_administrative_document_catalogue,"state-mobility branch in the same transatlantic Russell network; no Lovejoy participation","recover literal date, sender/recipient names, form and TNA item number",https://bracers.mcmaster.ca/bracers-notes?page=1225,"This establishes interdepartmental handling of the contemplated U.S. journey."
RH119F,"1916; exact date pending","Home Office / Herbert Samuel's office","Foreign Office / Sir Edward Grey's office","BRACERS Home Office-derived copy context",122555,"Samuel's office states that Russell was convicted at the Mansion House Police Court and that in Samuel's opinion no passport should be issued",specific_administrative_document_catalogue,"direct evidence that the Russell academic-mobility problem became a Home Office/Foreign Office passport decision","recover literal date and current TNA item; keep 'opinion' distinct from later notification of a settled decision",https://bracers.mcmaster.ca/bracers-notes?page=1225,"Outcome direction is explicit; the exact procedural sequence remains to be reconstructed."
RH119G,"1916; exact date pending","British government office",unresolved,"BRACERS Home Office-derived copy context",122592,"Message states that Russell has been convicted under DORA, that no passport will be issued for travel to the United States, and instructs that the President of Harvard be informed",specific_administrative_document_catalogue_decision_notification,"strongest catalogue-level bridge from state passport refusal to Harvard as institution","recover sender, recipient, literal date and TNA source; identify whether this is the notification transmitted to Washington/Harvard",https://bracers.mcmaster.ca/bracers-notes?page=1225,"Unlike 122555's opinion language, this note records the decision as operative and connects it directly to Harvard."
RH119H,1916-09-22,"Harvard Crimson","Harvard community/public","Harvard Crimson",1916-09-22 cancellation report,"Reports that British government restrictions have prevented Russell from coming, so he cannot fulfill his Harvard engagement in the second half-year until after the war",contemporary_public_outcome_report,"public institutional receipt of the mobility-control outcome; no Lovejoy authorship","compare wording with Harvard Corporation/President files and British notification record 122592",https://www.thecrimson.com/article/1916/9/22/prof-russell-not-to-lecture-pthe/,"Provides a terminus by which the non-arrival decision had become public at Harvard."
RH119I,"1916; exact date pending","F. J. Foakes-Jackson","British political intermediaries / Cecil network","BRACERS Home Office-derived copy context",122550,"Foakes-Jackson writes from New York on behalf of Russell's Harvard appointment and argues that keeping him out creates resentment in America",specific_advocacy_document_catalogue,"external pressure generated by the blocked Harvard appointment; useful for tracing how the case re-entered British political channels","recover exact addressee/date/source and Foakes-Jackson original/copy location",https://bracers.mcmaster.ca/bracers-notes?page=1225,"The note explicitly ties the letter to Russell's Harvard appointment."
RH119J,"1916; exact date pending","Herbert Samuel","Hugh Cecil / Cecil network","BRACERS Home Office-derived copy context",122551,"Samuel replies to the Foakes-Jackson intervention, arguing that a person found guilty of misrepresentation and attempts to create disaffection should not be allowed to proceed to a neutral country to conduct similar propaganda",specific_policy_response_document_catalogue,"states the Home Office rationale applied to Russell's American mobility and links academic travel to perceived propaganda risk","recover exact date/recipient/source and collate with Hansard explanations",https://bracers.mcmaster.ca/bracers-notes?page=1225,"Important for motive, but still an official position within a contested political episode."
