dimension,Lovejoy1906,Durkheim1912,comparative_verdict
"local starting field","North-American lexical/ritual packet with later cross-regional extension","Australian totemic structure with later North-American/Melanesian controls","different starting fields"
"native abstraction status","stronger claim: native terms/grammar can independently establish impersonal causal category","explicitly says Australian does not represent impersonal force in abstract form","Durkheim separates analytical category from local same-form native representation"
"principal warrant channel","native vocabulary, grammatical morphology, specialist field evidence, independent observer convergence","internal Australian structural inference plus external higher-abstraction analogues plus independent scholarly convergence","different warrant architecture"
"proof vector","emic lexical/grammatical evidence -> comparative abstraction -> return to custom as vera causa","Australian structural inference -> comparative move to wakan/orenda/mana -> retro-validation of Australian attribution","inverse proof direction"
"North America function","highest-resolution local evidence and key for interpreting weaker regional packets","higher-abstraction comparative control showing generalized impersonal force","same broad dossier, different evidentiary job"
"Melanesia/Codrington function","strong transferability/efficacy evidence but adverse personal-origin/supernatural clauses remain tension","mana used as exact higher-abstraction analogue of Australian totemic principle","shared source, differently weighted"
"Australia function","not central high-resolution proof field in 1906 article","baseline simplest religion and primary target of reconstruction","asymmetric regional emphasis"
"mechanicality","quasi-mechanical, regular/intelligible laws, study/control; Primitive Energetics","forces can mechanically engender physical effects; electrical discharge analogy; force as prototype of scientific force","mechanical language is distributed, not unique Lovejoy fingerprint"
"epistemic_address","comparative abstraction presented strongly as fundamental concept of primitive philosophy","etic abstraction retained while Australian native representation remains sensible/totemic rather than abstract","Durkheim gives explicit address split"
"ontological_referent","primitive causal energy/conception","totemic principle ultimately identified with clan/society","different ontological endpoint"
"named theoretical precursors","Marett target; ethnographic authorities central","Durkheim 1899, Marett, Hubert-Mauss, Preuss, Frazer explicitly reviewed","no visible Lovejoy citation in Durkheim"
"Lovejoy reception edge","n/a","NO DIRECT CITATION EDGE CURRENTLY VISIBLE / shared source field only","do not infer hidden reception"
"Meylan emic-absence correction","n/a","primary text records arunkulta and churinga analogues; deficit is clarity/abstraction/generalization, not absolute lexical absence","narrow secondary formulation"
