date,actor_or_source,source_location,proposition,evidence_grade,limitation,article_use
"1846-01-16/28","St Petersburg Academy; Böhtlingk; Max Müller","Böhtlingk 1891 OCR PDF 6","Academy announced a jointly prepared Rigveda edition by Böhtlingk and Maximilien Müller",B_contemporary_record_reproduced,"Cited through an 1891 printed reproduction; original academy issue not independently inspected",background_only
"1846-01-30","St Petersburg Academy; Böhtlingk","Böhtlingk 1891 OCR PDF 9","Academy minutes record requests for manuscripts from Berlin Paris and the East India Company",B_contemporary_record_reproduced,"Minutes are reproduced in the polemical pamphlet; distinguish request from successful loan",background_only
"1846-06-05","East India House; James Whewell","Böhtlingk 1891 OCR PDF 10","East India House attributed refusal to lend manuscripts to standing regulations",B_contemporary_record_reproduced,"Do not identify James Whewell with William Whewell; original letter not inspected",background_only
"1846-06/07","Allgemeine Zeitung correspondent","Böhtlingk 1891 OCR PDF 6-9","Contemporary publicity describes a planned academy-funded collaboration and compares Vedic society with Egypt Greece and medieval Europe",B_contemporary_report_reproduced,"Böhtlingk conjectures Müller supplied copy; authorship is unproven",background_only
"1889","F Max Müller","Natural Religion excerpt reproduced Böhtlingk 1891 OCR PDF 2-3","Müller narrates St Petersburg competition Indian pandit refusal and East India Company patronage",A_actor_text_reproduced,"This is an actor's retrospective account not an independently verified event sequence",background_only
"1891","Otto Böhtlingk","F Max Müller als Mythendichter OCR PDF 1-13; DDB item EKPCGFH3243X5ZHZW2BBT2NARVPKVWZR","Contemporary critic explicitly labels two accounts of Rigveda publication Erste Mythe and Zweite Mythe",A_signed_primary,"Pamphlet contains 13 OCR image entries while library catalogue lists 14 pages; first and second accusations have unequal evidential support",background_only
"1891","Reinhold Rost reported by Otto Böhtlingk","Böhtlingk 1891 OCR PDF 13","Rost disputes Müller's account of India Council refusal concerning a revised Rigveda edition",C_reported_named_testimony,"No India Council minutes or financial record independently confirm the dispute",background_only
"1891-1895","Arthur O Lovejoy","batch174 source register; Wilson biography; Johns Hopkins departmental history","Lovejoy participated in settlement work as a California undergraduate",D_retrospective_person_specific,"Specific Oakland institution role constituency and political positions remain unverified",optional_single_sentence
"1896-1897","Arthur O Lovejoy","batch174 source register; Wilson-cited correspondence and society records","Lovejoy joined Harvard Religious Union and held an organizational role in Graduate Philosophical Society",C_archival_sources_cited_not_examined,"Original letters and minutes have not been directly inspected",optional_single_sentence
"1897","Arthur O Lovejoy; American Oriental Society","1897 society proceedings and revised membership list cited batch174","Lovejoy entered the American Oriental Society and his Buddhist research appeared on its meeting agenda",B_contemporary_named_record,"An agenda listing or title reading does not prove personal attendance or oral presentation",supporting_context
"circa 1897-1898","Arthur O Lovejoy","004 PDF 20 manuscript 71","Buddhist research program provisionally sets aside the ethical system",A_actor_manuscript,"Research-scope restriction does not imply indifference to ethics or any defined political commitment",strong_negative_control
"circa 1897-1898","Arthur O Lovejoy; Henry Clarke Warren","004 PDF 22 manuscript 75","Lovejoy challenges Warren's identity claim using the present Buddhist textual classification",A_actor_manuscript,"Warren supplied the broader relation-sensitive framework; do not claim Lovejoy invented it",core_argument
"circa 1897-1898","Arthur O Lovejoy","004 PDF 42 manuscript 123","Vinnana can be temporally antecedent to namarupa while logically belonging to it",A_actor_manuscript,"Does not establish conscious anticipation of mature unit-ideas or a universal primitive chronology",core_argument
"circa 1897-1898","Arthur O Lovejoy; Emile Senart","004 PDF 49 manuscript 137; 1898 JAOS 126-132","Historical compositeness and repetition do not by themselves establish doctrinal unintelligibility",A_actor_manuscript_and_signed_publication,"Distinguish Lovejoy's criticism of an inference from rejection of borrowing or stratification",core_argument
