source_type,author,date,title_or_item,locus_or_pages,url_or_archive,role_in_argument,evidence_status,caution
primary_manuscript,Arthur O. Lovejoy,c.1897-98,MS38_004 notebook,PDF p17,/uploaded/MS38_004_001_061_004.pdf,Sankhya resemblance does not prove complete later system historically,direct manuscript medium-high,Exact wording partly handwritten
primary_manuscript,Arthur O. Lovejoy,c.1897-98,MS38_004 notebook,PDF p18,/uploaded/MS38_004_001_061_004.pdf,Prima-facie practical agnosticism is not a necessary interpretation,direct manuscript high,None material
primary_manuscript,Arthur O. Lovejoy,c.1897-98,MS38_004 notebook,PDF p49,/uploaded/MS38_004_001_061_004.pdf,Composite provenance and heterogeneity do not entail accidental/unintelligible arrangement,direct manuscript medium,Exact discoverable-technical-system wording medium confidence
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF pp16-20,/uploaded/MS38_004_001_061_005.pdf,Differential afterlife does not itself establish moral causation,direct manuscript medium-high,Ethnographic citations partly uncertain
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF pp70-71,/uploaded/MS38_004_001_061_005.pdf,Ritual killing and cannibalism do not automatically establish sacrifice,direct manuscript medium-high,Source references partly uncertain
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF pp83-90,/uploaded/MS38_004_001_061_005.pdf,Blood/body material and efficacy do not automatically establish communion or fetish spirit,direct manuscript medium-high,Several bibliographic references uncertain
primary_manuscript,Arthur O. Lovejoy,1898-99,MS38_005 notebook,PDF pp106-119,/uploaded/MS38_004_001_061_005.pdf,Ceremoniality injury ingestion and killing lose diagnostic force for sacramental origin,direct manuscript medium-high,Exact motive words vary in transcription confidence
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,L'Année sociologique 2:29-138; 1909 reprint lines 140-156,https://fr.wikisource.org/wiki/M%C3%A9langes_d%E2%80%99histoire_des_religions/Essai_sur_la_nature_et_la_fonction_du_sacrifice,Contemporaneous methodological control: analogy/apparent simplicity/broad rubric cannot establish genealogy,primary published,No evidence Lovejoy read it
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,1909 reprint lines 202-214,same,After anti-genealogical critique they reconstruct a generic sacrificial mechanism,primary published,Do not conflate with Lovejoy mechanism pluralism
primary_published,Henri Hubert and Marcel Mauss,1899,Essai sur la nature et la fonction du sacrifice,footnote 2 / reprint lines 615-616,same,Names Marillier La place du totémisme among strongest critiques of Robertson Smith,primary published,Useful Marillier node not direct Lovejoy-Mauss contact
