domain,locus,L1_witness,L2_relation_classification,L3_function_mechanism,L4_history_genealogy,blocked_shortcut,status
004,PDF p33 Hardy p394,"Hardy passage admitted as source for two-factor rebirth account","upadana and karma occupy same causal problem field but are not thereby synonyms","Lovejoy allocates fact of continued existence versus manner; 1898 fact of rebirth versus particular condition","Sankhya/adrsta genealogy is separate from causal proximity","same causal location -> semantic identity or common genealogy",confirmed_archive_and_primary_source
004,PDF pp50-52 Nidana composition,"Warren/Senart and canonical formula treated as usable witnesses","repetitions and collective/individual skandha references are analytically separated","logical/temporal roles inside the formula are tested","Lovejoy sometimes advances secondary/composite/outside-tradition hypotheses only after added structural/comparative warrants","formal resemblance alone -> genealogy; correction: L4 is sometimes accepted when separately argued",confirmed_archive_visual_recheck
004,PDF p65 Khandha Samyutta,"canonical usage admitted","things subject to attachment distinguished from attachment itself","desire in relation to skandhas generates attachment; relational function reconstructed from propositions","no derivational claim follows merely from compound/morphology","lexical neighborhood -> semantic identity",confirmed_archive_visual_recheck
004,PDF pp65-66 upadisesa,"three Sutta Nipata contexts assembled","upadisesa/anupadisesa classified as ethical residue/freedom rather than persistence of skandhas","positive Anagamin versus negative Arahat function reconstructed","etymology/scribal history and contradictory textual distribution remain unresolved","strong semantic judgment -> settled etymology/text genealogy",confirmed_archive_visual_recheck_and_1898_primary
004,PDF p67 text criticism,"Chinese/Pali version extent and Rhys Davids textual argument explicitly compared","textual units/recensions kept distinct","witness extent constrains doctrinal/text-historical reconstruction","recensional history requires separate proof","text present in one witness -> original textual layer",confirmed_operation_details_partly_pending
004,Lovejoy 1898 JAOS pp134-136,"oldest/probably most numerous texts weighted but contrary passages retained","usage supports prevailing ethical reading","semantic/doctrinal interpretation stated with high confidence","both etymologies possible; scribal explanation only possible; matter not finally settled","prevailing usage -> conclusive word history",confirmed_primary
005,PDF pp16-19 future life,"reporter/date/contact/missionary environment qualifies evidence","afterlife differentiation can be admitted","moral desert versus taboo/social/manner-of-death/borrowing mechanism separated","indigenous moral-stage genealogy held without stronger contact/history proof","differentiated afterlife -> indigenous moral eschatology",confirmed_archive
005,PDF p65 sacrifice,"ethnographic rite admitted","sacrifice comparison retained","several ritual motives/elements require delicate analysis","present syncretic form does not prove one original sacrificial type","same rite -> one mechanism/origin",confirmed_archive
005,PDF p103 agrarian chronology,"comparative cases admitted","developmental types can be compared","mechanistic sequence tested","independent chronology and circularity can veto proposed historical order","typological order -> historical order",confirmed_archive_visual_recheck
005,PDF p107 cannibalism,"testimony weighted","collective/public/ceremonial cannibalism admitted descriptively","religious/sacramental motive requires closer scrutiny","ceremonial form does not establish sacramental genealogy","ceremoniality -> religion/sacrament/origin",confirmed_archive_visual_recheck
cross_notebook,Batch73 synthesis,"carrier of datum is itself evidentiary","relation/class established before stronger explanation","functional/mechanistic work separately reconstructed","historical dependence/origin is a separate higher-order proposition","lower-level relation -> automatic higher-level history",strong_analytical_reconstruction
