date,actor,place_or_institution,text_or_event,comparison_object,question_being_asked,evidence_treated_as_probative,inference_allowed,inference_refused_or_limited,relation_to_Lovejoy004,evidentiary_status
1868,Max Müller,London/Oxford,"On the Stratification of Language","language families / historical stages","What historical generalization is licensed by the surviving linguistic sample?","broader comparative evidence beyond literary Aryan and Semitic languages; stratified stages","historical reconstruction if induction rests on adequate samples","generalizing from fixed/petrified literary languages to language history as a whole",field_precondition_not_direct_source,primary_secure
1869,Max Müller,Paris Académie,"later autobiographical recollection of 1869 election","disciplinary self-description","How did Müller narrate his scholarly position?","institutional election remembered symbolically","self-positioning as Oriental scholarship","do not convert autobiographical binary into objective disciplinary map",framing_context_only,primary_autobiographical_plus_official_institutional_control
1871,Bankim Chandra Chattopadhyay,Calcutta,"Buddhism and the Sankhya Philosophy","philosophical doctrines","Does resemblance establish dependence and its direction?","substantive doctrinal similarities despite divergence","similarity can support historical relation without identity","similarity alone does not establish whether Buddhism borrowed from Kapila or vice versa",transregional_field_context_no_direct_reading,primary_argument_secure_quote_scan_control_desirable
1883,Rajendralal Mitra,Calcutta,"The Yoga Aphorisms of Patañjali, Preface","doctrines/materials; names/phonetic forms","Do earlier materials prove a complete system? Does phonetic likeness prove genealogy?","documented antecedent ideas plus evidence of later organization","pre-existing ideas can be materials assembled into a complete system","earlier doctrines do not equal earlier complete system; phonetic resemblance is not proof of genealogical relation",transregional_field_context_no_direct_reading,primary_argument_secure
1892,Richard Garbe,Calcutta/Bibliotheca Indica,"Aniruddha's Commentary ... Introduction","Sankhya/Buddhism correspondences","What kind of similarity can prove connection and direction?","details; involuntary external peculiarities; formal/classificatory habits; near-literal formulae","diagnostic details can establish historical connection; direction then separately argued","generic Indian traits or pliable hypothetical lost proto-Sankhya insufficient",genealogy_of_rule_not_direct_Lovejoy_source,primary_secure
1894,Richard Garbe,Leipzig,"Die Samkhya-Philosophie pp150-151","formal logical apparatus inside philosophical systems","When does formal agreement identify adopted material?","dense agreement in terminology definitions details examples","recognize a fremdes Element borrowed/adopted from Nyaya-Vaisesika","whole significance limited to what borrowed apparatus bears on method/system",DIRECT_SOURCE_TO_004_PDF4_5,exact_source_secure
1896,Charles R Lanman,Harvard,"public Buddhism lecture outline","Buddhism and contemporary philosophies","How should Buddhist origins be placed relative to Vedism/Brahmanism/Sankhya/Vedanta?","historical and textual comparison in Harvard teaching","treat relation to Sankhya/Vedanta as a live historical problem","Lovejoy attendance at specific public lecture not proved",pedagogical_proximity_documented,primary_program_secure_attendance_unproved
1896,Henry Clarke Warren,Harvard Oriental Series,"Buddhism in Translations","dependent origination formula","Does internal duplication indicate compositeness?","translated canonical materials and structural repetition","full formula may be patchwork / combine older formulas","compositeness alone does not settle later functional intelligibility",DIRECT_SOURCE_TO_004,primary_secure
1896,Émile Senart,Leiden/Paris scholarly network,"À propos de la théorie bouddhique des douze Nidānas","twelve nidanas / upadana","Does repetition reveal a late composite formula?","upadana read as upadanaskandhas; apparent repeated skandhas","historical compositeness and heterogeneous assembly","Lovejoy later rejects semantic premise and inference to unintelligibility",DIRECT_POLEMICAL_TARGET_IN_004_1898,primary_secure
1896_1898,Hermann Jacobi,Göttingen/Bonn,"Der Ursprung...; Über das Verhältnis...","Sankhya-Yoga/Buddhism system relation; nidanas","Can systematic correspondences and intellectual milieu support Sankhya→Buddhism genealogy?","doctrinal/systemic correspondences; Arada tradition; Hardy causal material","strong historical relation / Buddhism as individual reshaping of Sankhya milieu","later becomes more cautious where direct sources absent",field_parallel_direct_reading_by_Lovejoy_not_yet_proved,primary_secure
1897_1898,Hermann Oldenberg,Germany,"Buddha 3rd ed.; Buddhistische Studien","Sankhya/Buddhism; upadana semantics","What can lexical/canonical evidence establish before genealogy?","Pali canonical usage; semantic sequence; absence/presence of witnesses","distinct causal/semantic stages; limited contacts possible","reject wholesale dependence from loose parallels; reject Jacobi's strong construction",immediate_field_control_Lovejoy_uses_Oldenberg_work,primary_secure
ca1896_1898,Arthur O Lovejoy,Harvard,"Notebook 004 PDF4-5 ms8-9","formal logical borrowing","What does dense formal agreement prove?","copies Garbe 1894 terminology-definitions-examples logic","recognize alien element / adopted apparatus",at_this_locus_mainly_source_uptake_not_unique_rule,DIRECT_GARBE_UPTAKE,manuscript_secure
ca1896_1898,Arthur O Lovejoy,Harvard,"Notebook 004 PDF16-17 ms61-63","early Buddhist passage vs later Sankhya","What level of historical entity is actually proved?","technical terms; doctrinal consistency/contradiction; diagnostic dualism","passage may indicate a genuinely Sankhyan doctrine/element","passage is not good evidence that the later Sankhya system existed as a whole",AUTHORIAL_SCOPE_CONTROL,manuscript_secure_medium_high
1898,Arthur O Lovejoy,JAOS,"The Buddhistic Technical Terms upādāna and upādisesa","nidana sequence / semantic-functional arrangement","What does historical borrowing/compositeness imply about conceptual structure?","canonical usage; causal allocation; semantic distinction; contradictory witnesses","borrowed terms/ideas can be recomposed into an original characteristic arrangement; formula can be intelligible","heterogeneity/compositeness does not entail accidental order or meaninglessness",PUBLISHED_ENDPOINT_OF_004_LINE,primary_secure
