domain_or_stage,target_proposition,evidence_form,relation_between_component_and_stronger_claim,alternative_control,lovejoy_rule_or_reconstructed_operation,what_is_not_established,proof_status_after_batch165,caution
MS38_004,contextual meaning of Buddhist/Indic terms,"usage, textual distribution, philological comparison","lexical/etymological relation bears only limited semantic weight","alternative textual usages and source traditions","stabilize usage/function before historical inference","genealogy or system identity from lexical resemblance alone","primary manuscript + source controls secure","project synthesis; constituent operators field-level before Lovejoy"
MS38_004,Sāṁkhya/Buddhism relation,"doctrinal parallels, generic affinities, source chronology","generic similarity must be separated from system-characteristic relation","independent/internal development and alternative source readings","diagnostic discrimination + higher burden for transmission","historical borrowing from resemblance alone","primary manuscript + Oldenberg/Jacobi controls secure","no Lovejoy priority claim"
MS38_005,classification of ritual form,"ethnographic descriptions, motives, ritual morphology","same outward form may contain different causal bearers and histories","plural magical, animistic, economic, funerary, propitiatory, sacramental mechanisms","decompose morphology into causal mechanism/history","one explanatory class or one historical origin from resemblance","primary manuscript + Marillier control secure","anti-morphological operator pre-articulated by Marillier"
Fundamental Concept 1906,cross-cultural impersonal efficacy,"independent ethnographic/lexical profiles","recurrent causal architecture can be abstracted despite independent histories","historical independence blocks easy diffusion/genealogy but not typological comparison","generalize mechanism without requiring common origin","shared historical descent","primary article secure","scope/ubiquity rhetoric exceeds completed demonstration and is marked provisional"
Thirteen Pragmatisms 1908,content of a named intellectual movement,"multiple contentions under one label","proof/refutation of one contention cannot transfer automatically to independent ones","logical independence among propositions","decompose before attributing movement-level consequence","unity/identity merely from shared name","primary route and central structure secure","not proto-unit-ideas"
Pre-Christian Jesus debate 1908-09,historical genealogy of Naassene/pre-Christian cult,"heresiological testimony, lexical clues, chronology, distributed parallels","each genealogical bridge must survive source/semantic/chronological controls","post-apostolic readings, label ambiguity, alternative source interpretation","higher proof burden for descent than for affinity/possibility","genealogy from configuration if chronological/descent middle relations remain unsupported","Smith original/reply recovered; Lovejoy direct 1908 article still pending","do not pretend symmetric primary collation"
Pragmatism and Realism 1909,historical distinctiveness of pragmatism,"inventory of motives and their combinations","old constituents may become distinctive through mutually modifying conjunction","incompatible motives excluded; combination must be historically present/logically possible","warranted recomposition; novelty can reside in configuration","novelty of each constituent","primary transcription and metadata secure","no notebook->1909 causal claim"
Organic Evolution 1909,fact of organic evolution,"convergent arguments from several sciences","indirect/circumstantial arguments may jointly make fact rationally obligatory","special creation as live rival is comparatively overstrained","compare hypotheses; cumulative fit can establish a proposition without direct exhibition","causal mechanism merely because evolutionary fact is supported","primary public-domain transcription controlled","not evidence Lovejoy accepted every cumulative historical genealogy"
Organic Evolution 1909,cause/modus operandi of evolution,"mechanistic hypothesis such as natural selection","lack of mechanism does not refute fact when fact has serious independent evidence","fact and mechanism explicitly separated","assign different proof burdens to distinct proposition types","mechanism from evidence for fact alone","primary transcription secure","central cross-domain proof calibration control"
Organic Evolution 1909,logical sufficiency of cumulative evidence,"multiple subsidiary generalizations and arguments","evidence is configurational, not arithmetic accumulation of observations","rival hypothesis and methodological fit explicitly compared","higher-level generalization warranted when lower-level propositions are stabilized and jointly explanatory","direct observation as necessary condition for proof","primary transcription secure","comparative rather than demonstrative proof"
Organic Evolution 1909,importance of local errors,"Chambers main argument plus incidental zoological errors","incidental errors need not destroy a sound higher-level inference","distinguish load-bearing from peripheral mistakes","ask whether local defect attacks constitutive inferential link","whole theory refuted by any isolated error","primary transcription secure","load-bearing-link test is project terminology"
Cross-domain synthesis,methodological trajectory,"004/005/1906/1908/1909 controls","warrant can move upward only when component propositions actually support the stronger claim and alternatives are controlled","different claim types: meaning, mechanism, fact, genealogy, configuration","proposition-sensitive proof calibration / calibrated synthesis","uniform single proof threshold across domains","strong analytical reconstruction after Batch165","not Lovejoy's own explicit unified theory; no mature unit-idea vocabulary"
