id,date,source_type,author_or_institution,location,claim,evidence_status,limitation,url
B184-01,1896,bibliographic description of primary article,Daniel J Wilson; Arthur O Lovejoy item 18,Some Harvard Notes University of California Magazine 2,Wilson describes public spirit social services religious observances Graduate School and Harvard response to educational transition,secondary_bibliographic_description,Primary article not yet recovered; OCR page field is damaged so do not invent pagination,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B184-02,1895-1904,library catalog,Sacramento Public Library Special Collections,The University of California magazine SPE PERIODICAL 1895 SAC,Physical run of the periodical is held in Sacramento Room including the 1896 volume route needed for Some Harvard Notes,confirmed_physical_holding_route,Catalog does not expose the item-level table of contents or Lovejoy article pages,https://catalog.saclibrary.org/Record/.b18137842
B184-03,1901,bibliographic description of primary syllabus,Daniel J Wilson; Arthur O Lovejoy item 243,Syllabus The Philosophy of Buddhism Washington University Association,Wilson records four lectures on Buddhism position among Indian philosophies two essential formulas and ethics/goal,secondary_bibliographic_description,Primary syllabus remains unrecovered; existing batch117 supplies structural notebook concordance not textual identity,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B184-04,1901,bibliographic description of primary syllabus,Daniel J Wilson; Arthur O Lovejoy item 244,Syllabus Robert Louis Stevenson Moralist Washington University Association,Wilson says Stevenson's moral views represent modern tendencies and notes opposition of an otherworldly ethics and the new temporally based ethics,high_value_secondary_bibliographic_description,Primary syllabus not yet inspected; exact wording beyond Wilson summary cannot be attributed to Lovejoy as a verified quotation,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B184-05,1902-07,author-signed primary article,Arthur O Lovejoy,Religion and the Time-Process American Journal of Theology 6.3 439-472,Otherworldliness is explicitly defined through ultimate Being and genuine Worth against common life in time and place and opposed by process/social fellowship values,primary_examined_in_prior_batches,Does not prove the 1901 Stevenson syllabus contained the full 1902 argument,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
B184-06,1902-1905,near-contemporary biographical directory,The Book of St Louisans,Arthur Oncken Lovejoy entry,Lovejoy is listed as Washington University professor from 1901 and president of North Broadway Social Settlement/Neighborhood House Association 1902-05 with later vice-presidency,near_contemporary_person_specific,Institutional action is a chronological control not causal evidence for the formation of temporal ethics,https://genealogy.smcox.com/common/images/e/ee/The_Book_of_St_Louisans.pdf
B184-07,1902,bibliographic description of primary poem,Daniel J Wilson; Arthur O Lovejoy item 245,University of California Magazine 8 p285,Wilson describes a sonnet about finding meaning in life through helping others,secondary_bibliographic_description_low,OCR corrupts the title as Roclesiastes Instructed and primary text has not been recovered; do not silently normalize title,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B184-08,1903,bibliographic description of primary syllabus,Daniel J Wilson; Arthur O Lovejoy item 246,Some Fundamentals of the Theory of Government Washington University Association,Wilson records four lectures on distribution of political power collective industry natural-rights theories and rational-end theories,secondary_bibliographic_description,Later political-theory syllabus cannot be used to reconstruct 1901 Stevenson content,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
B184-09,1905,university yearbook/publication,Washington University Hatchet,Washington University Association editorial committee,Lovejoy is named Managing Editor of the Bulletin of the Washington University Association,contemporary_institutional,Shows later publication infrastructure relationship but not custody or publication of the 1901 syllabi,
B184-10,2026-08-25,targeted negative search,GitHub corpus plus open web,Robert Louis Stevenson Moralist primary-object search,No primary scan of the 1901 Stevenson syllabus was located and the repo had no dedicated exact-title analysis before batch184,negative_control,Absence from indexed web/repo does not imply loss; archive ephemera/faculty records remain target,
B184-11,2026-08-25,targeted negative search,open web,Some Harvard Notes primary-object search,Exact 1896 article scan was not located in open digital results but a physical periodical holding was identified,negative_control_with_retrieval_route,Need volume-level staff check or reproduction from Sacramento or another institutional copy,
