date,source,locus,positive_warrant,blocked_inference,proof_threshold,005_analogue,status
1897,Marillier La place du totémisme,RHR 36 p247,"persistent local indices may sometimes support reconstruction that a presently worshipped animal was formerly a clan totem","therefore totemism was a necessary stage for animal divinity or for every religion","bounded local genealogy does not license universal developmental necessity","005 future-life and sacrifice cases preserve local comparison while blocking universal stage claims",later_exact_quotation_direct_facsimile_pending
1897,Marillier La place du totémisme,RHR 36 p250,"animal and plant cults may share animistic-magical premises and beliefs in supernatural powers/kinship of beings","therefore the resulting practices and institutions are genuinely historically related","shared conceptual substrate does not establish genealogical kinship","005 blood/body-part and cannibalism blocks: shared material/form does not establish shared mechanism or origin",scholarly_secondary_exact_quote_direct_facsimile_pending
1898,Marillier La place du totémisme,RHR 37 pp230-231,"animal can be sacred and enter religious comparison","therefore the animal must formerly have been a totem","present sacred status does not logically entail past totemic status","005 ritual killing/animal sanctity: sacred or ritualized victim status does not settle sacrificial genealogy",contemporary_Hubert_Mauss_attribution_direct_Marillier_text_pending
1899,Hubert and Mauss Essai sur le sacrifice,methodological introduction,"facts can be compared by analogy and ritual systems can be analytically decomposed","genealogical grouping of facts from perceived analogy","analogy supports comparison before it supports derivation","005 notebook-wide L2 comparison retained while L4 genealogy withheld",primary_text_via_1909_reprint_bibliography_confirmed
1899,Hubert and Mauss Essai sur le sacrifice,methodological introduction,"a form may appear simple and be analytically useful","apparent simplicity proves historical priority","chronology/priority requires independent documentary warrant","005 p103 rejects typological sequence when independent chronology produces a vicious circle",primary_text_via_1909_reprint_bibliography_confirmed
1899,Hubert and Mauss Essai sur le sacrifice,ritual comparison,"rituals of contrary meanings can possess the same visible form","same form proves same function or origin","morphology has low diagnosticity for mechanism","005 p65 p82-90 p106-117 separates same visible acts/materials across several mechanisms",primary_text_via_1909_reprint_bibliography_confirmed
1899,Hubert and Mauss Essai sur le sacrifice,methodological introduction,"logical anteriority and analytical structure may be discussed from controlled ritual corpora","logical anteriority is historical anteriority or a genesis can be reconstructed from incomplete late evidence","historical priority is a separate proposition from analytical priority","005 p103 chronology veto; p119 mechanism plausible while exact genealogy can remain unrecoverable",primary_text_via_1909_reprint_bibliography_confirmed
1909,Hubert and Mauss Introduction retrospective,Zuni/totemic sacrifice discussion,"one secure case can establish compatibility of totemism and sacrifice","therefore sacrifice is a normal or primitive institution of totemism","compatibility is lower-burden than primitiveness/essentiality","Batch70 distinction between classificatory admissibility and genealogical/developmental inference",later_retrospective_not_direct_influence
1909,Hubert and Mauss Introduction retrospective,Zuni/Reinach proof ladder,"antiquity essentiality and exclusion of an independent sacrificial system strengthen historical linkage","even proof of former clans/totems alone proves sacrifice derives from totemism","ritual continuity to the proposed origin must itself be demonstrated","005 keeps possible transmission/survival routes separate from evidenced genealogy",later_retrospective_not_direct_influence
c.1898-1899,Lovejoy MS38 005,PDF p65,"present sacrificial complex can legitimately contain comparable ritual elements","therefore mingled elements had one original character or history","composite/syncretic forms require delicate decomposition","direct analogue to Marillier multiple origins and Hubert-Mauss form/function distinction",confirmed_archive
c.1898-1899,Lovejoy MS38 005,PDF p103,"a developmental sequence can be proposed and tested","typological sequence itself proves chronology","independent chronology must support developmental ordering and circularity can defeat it","direct analogue to Hubert-Mauss separation of apparent simplicity/logical order from historical priority",confirmed_archive_visual_recheck
c.1898-1899,Lovejoy MS38 005,PDF p107,"collective public ceremonial anthropophagy can enter descriptive comparison","ceremoniality proves religious or sacramental mechanism","formal ceremonial properties are insufficient without mechanism-specific evidence","same form/contrary function control",confirmed_archive_visual_recheck
