shared_source_or_problem,Lovejoy_005_locus,Lovejoy_use,Hubert_Mauss_1899_locus,Hubert_Mauss_use,match_strength,direct_transmission_status,analytical_payoff
H. C. Trumbull The Blood Covenant,PDF p62 bibliography; p78; pp85-86,Blood alliance analogy; body/blood efficacy treated cautiously; magic versus communion,1909 reprint fn18 lines645-646; broader blood section,Blood alliance relation to sacrifice,high exact book overlap,not established,Same book and blood-mechanism problem but divergent classification
H. C. Trumbull The Threshold Covenant,PDF p62 bibliography; foundation/threshold cluster pp84-90,Foundation blood/bodily remains can protect directly and need not imply union,1909 reprint fn17 lines645; construction fn377 lines1121,Blood on foundations; body/head embedded; protective threshold/building spirit,very high exact book + problem node,not established,Potential page-level pathway target
Mary Kingsley Travels in West Africa,PDF pp87-90,West-African blood/fetish/amulet/house protection; intrinsic efficacy versus indwelling spirit,1909 reprint fn213 line911,Kingsley p454 in red idol/anointing cluster beside Marillier 1898,high exact author/book/problem neighborhood,not established,Shows same bibliographic micro-neighborhood
Callaway The Religious System of the Amazulu,PDF p63 bibliography; Zulu/Bantu ancestor-sacrifice sequence,Ancestral sacrifice; transactional bargain; African control,1909 reprint fn383 line1129 and fn512 line1275,Callaway exact work and page references in sacrificial typology,high exact work overlap,not established,Cumulative African source-field overlap
Robertson Smith Religion of the Semites,PDF pp49-60 and later sacrifice argument,Critiqued as too narrow; communion not universal key,1909 reprint lines127-149 and throughout,Main target: communion/totemic genealogy,very high theoretical target overlap,ambient canonical source,Same anti-genealogical problem
Frazer Golden Bough,PDF pp49-60; agrarian/fecundative sections,Used critically; god-man/agricultural sacrifice; warns beyond evidence,1909 reprint lines136-140 and footnotes,Extends Smith; agrarian sacrificed god; communion/expiation genealogy,very high theoretical target overlap,ambient canonical source,Same controversy but not same endpoint
Marillier La place du totémisme,Marillier seminar context; 005 sacrifice classification parallels; direct published-use details still being collated,Teacher/problem-field node,1909 reprint fn2 lines615-616; fn157 lines826-827; fn213 line911; fn221 lines919-920; fn383 line1129; fn429 line1184,Named among strongest Smith critics and repeatedly used as evidence,very high institutional/theoretical node,mediated adjacency only,Hardens Marillier as shared documentary mediator
Victim as messenger,PDF p76,Human victim can communicate/send message to dead; utilitarian sacrifice rather than worship,1909 reprint fn385 lines1132-1134,Victim often imagined messenger; sacred carrier directed to object,high proposition-level overlap,no reading proof,Same functional question; different mechanism vocabulary
Foundation/building sacrifice,PDF pp84-86,Body/blood/flesh/bones protective; not necessarily blood-union,1909 reprint lines1117-1123,Construction sacrifice creates/protects building through victim/spirit; cites Trumbull,very high source+problem overlap,no reading proof,Strongest micro-comparison for causal bearer
Endocannibalism,PDF p62 corrected title Endokannibalismus — Steinmetz; pp106-119,Questions whether eating human flesh is sacrifice; decomposes motives,1909 reprint fn13 lines641-646,Includes many endocannibalistic human sacrifices within sacrificial scheme,high problem overlap,no reading proof,Lovejoy stricter threshold for genus sacrifice
Blood/idol efficacy,PDF pp87-90,Blood may animate fetish or work intrinsically; fetish vs charm distinction,1909 reprint fn213 lines907-920,Blood/anointing/idol evidence with Kingsley and Marillier,high problem neighborhood,no reading proof,Causal-bearer divergence
Genealogy from analogy,PDF pp61-65; pp106-117,Outward similarity loses diagnostic force; syncretism/multiple motives; few cases cannot sustain universal law,1909 reprint lines140-150,Simplicity not priority; broad rubric and analogy cannot support genealogy,very high methodological overlap,shared-field control not direct influence,Core negative-case inference syntax
Level of unification,PDF p117 + entire mechanism field,Sacramental union exceptional; multiple causal mechanisms retained,1909 reprint lines202-214; 412-419,Diverse forms as envelopes of same sacrificial mechanism; later social function,high controlled divergence,not a transmission claim,Shared sources and method yield divergent level of theoretical unity
