year,archive_state,collection_id,series_path,box,folder,folder_title,lovejoy_position_status,explicit_lovejoy_name_in_public_description,preservation_note,source_status,next_action,source_url
1940,explicit_name_presence,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",219,8,"Correspondence Li - L, 1940",Lovejoy explicitly named in folder description,yes,,official_finding_aid,"baseline already captured as GLA0050; inspect item-level Lovejoy material before assigning direction/topic",https://siarchives.si.edu/collections/siris_arc_217249
1941,repository_declared_missing_expected_range,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",228,6,"Correspondence Has - Haz, 1941",Lovejoy falls inside missing He-Sg continuation,no,"Finding aid states: Correspondence He - Sg for 1941 is missing.",official_finding_aid,"treat 1941 Lovejoy presence/absence as untestable in this annual filing run; trace missing-folder history and related accessions",https://siarchives.si.edu/collections/siris_arc_217249
1942,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",238,1,"Correspondence Ll - L, 1942",Lovejoy falls in Ll-L,no,,official_finding_aid,"inspect entire folder for Lovejoy; public description silence is not absence evidence",https://siarchives.si.edu/collections/siris_arc_217249
1943,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",250,2,"Correspondence Li - L, 1943",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy and record date/direction/material form if present",https://siarchives.si.edu/collections/siris_arc_217249
1944,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",260,5,"Correspondence Li - L, 1944",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy and record date/direction/material form if present",https://siarchives.si.edu/collections/siris_arc_217249
1945,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",270,4,"Correspondence Li - L, 1945",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy and record date/direction/material form if present",https://siarchives.si.edu/collections/siris_arc_217249
1946,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",280,9,"Correspondence Lin - L, 1946",Lovejoy falls in Lin-L,no,,official_finding_aid,"inspect folder for Lovejoy and record date/direction/material form if present",https://siarchives.si.edu/collections/siris_arc_217249
1947,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",289,7,"Correspondence L, 1947",Lovejoy falls in L,no,,official_finding_aid,"inspect folder for Lovejoy and record date/direction/material form if present",https://siarchives.si.edu/collections/siris_arc_217249
1948,repository_declared_missing_expected_range,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",293,1,"Correspondence Sm, 1948",Lovejoy falls inside missing A-Sm run,no,"Finding aid states: Correspondence A - Sm for 1948 is missing.",official_finding_aid,"treat 1948 Lovejoy presence/absence as untestable in the annual general-correspondence run; trace accession/separation history",https://siarchives.si.edu/collections/siris_arc_217249
1949,repository_declared_general_correspondence_gap,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",293,16,"Correspondence X - Z, 1948",Expected 1949 general correspondence cannot be localized from surviving run,no,"Finding aid states: Most general correspondence files for 1949 are missing.",official_finding_aid,"do not infer a 1949 Lovejoy absence; trace whether any partial L-run or related accession survives outside the main annual sequence",https://siarchives.si.edu/collections/siris_arc_217249
1950,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",297,1,"Correspondence Li - L, 1950",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1951,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",302,9,"Correspondence Lew - L, 1951",Lovejoy falls in Lew-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1952,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",308,2,"Correspondence Li - L, 1952",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1953,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",311,11,"Correspondence Li - L, 1953",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1954,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",316,7,"Correspondence Li - L, 1954",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1955,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",322,1,"Correspondence L, 1955",Lovejoy falls in L,no,,official_finding_aid,"inspect folder for Lovejoy; do not attach the folder-level scintillation-detector topic to Lovejoy without item evidence",https://siarchives.si.edu/collections/siris_arc_217249
1956,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",327,7,"Correspondence Li - L, 1956",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1957,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",333,5,"Correspondence Li - L, 1957",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1958,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",339,6,"Correspondence Li - L, 1958",Lovejoy falls in Li-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
1959,exact_alphabetic_candidate_container,RU7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963",344,9,"Correspondence Lef - L, 1959",Lovejoy falls in Lef-L,no,,official_finding_aid,"inspect folder for Lovejoy",https://siarchives.si.edu/collections/siris_arc_217249
