source,date,locus,surface_feature,blocked_inference,alternative_relation_or_mechanism,inference_form,evidence_status,relation_to_mauss_hubert
Lovejoy 004,c.1897-98,PDF p17,Passage resembles later Sāṃkhya doctrine,Complete later Sāṃkhya system therefore already existed as a whole,Possibly narrower shared/ambient doctrinal elements; historical specificity required,resemblance ≠ full-system historical conclusion,direct manuscript medium-high,Parallel to Hubert-Mauss rejection of genealogy from analogy
Lovejoy 004,c.1897-98,PDF p18,Refusal to answer speculative questions,Therefore Buddhism is simply practical agnosticism,Objection may concern form/presupposition of the questions; salvation still rests on insight,appearance ≠ necessary interpretation,direct manuscript high,General negative-case grammar
Lovejoy 004,c.1897-98,PDF p49,Composite borrowed heterogeneous nidāna elements,Therefore formula is accidental or unintelligible,Present technical/configurational relation must be tested independently,maximal concession → inference blocker,direct manuscript medium,Close to logical-vs-historical burden distinction
Lovejoy 005,1898-99,PDF pp16-20,Differential afterlife for suicide/taboo/manner of death,Therefore moral reward/punishment,Clan solidarity; ritual/manual determinant; manner of death; diffusion/contact,classification by outcome ≠ classification by moral mechanism,direct manuscript medium-high,Comparable to anti-broad-rubric method
Lovejoy 005,1898-99,PDF p70,Ritualized killing of rain-maker/diviner,Therefore sacrifice for rain,Punishment for failure to exercise function,ritualization ≠ sacrificial meaning,direct manuscript medium-high,Analogical form denied genealogical/classificatory force
Lovejoy 005,1898-99,PDF p71,Cannibalism under ritual rules,Therefore sacrifice,Medicine; spirit expulsion/appropriation; other motives,ritual cannibalism ≠ sacrifice,direct manuscript medium,Close to Mauss/Steinmetz classificatory problem
Lovejoy 005,1898-99,PDF p83,Selected organs/flesh used ceremonially,Therefore sacrificial victim,Supposed sacred/vital quality of organs may explain use,material association ≠ sacrifice,direct manuscript low-medium,Shared body-part classification problem with Mauss
Lovejoy 005,1898-99,PDF p84,Foundation blood/flesh/bones,Therefore union through blood,Independent protective efficacy of bodily material,blood/material form ≠ communion,direct manuscript medium,Strong divergence from communion default
Lovejoy 005,1898-99,PDF pp88-89,Efficacious object,Therefore fetish/indwelling spirit,Charm or amulet may have efficacy intrinsic to object,effect ≠ spiritual bearer,direct manuscript high,Mechanism/bearer discrimination
Lovejoy 005,1898-99,PDF p90,Protective blood at house during epidemic,Therefore sacrifice,Intrinsic magical efficacy / protective barrier,blood use ≠ sacrifice,direct manuscript medium-high,Shared anti-rubric logic
Lovejoy 005,1898-99,PDF pp106-107,Public solemn customary cannibal feast,Therefore religious/sacramental origin,Hunger; revenge; affection; quality acquisition; later social regulation,ceremoniality ≠ original motive,direct manuscript medium-high,Very close to Hubert-Mauss warning that apparent form cannot establish genesis
Lovejoy 005,1898-99,PDF p108,Selected body parts possess special efficacy,Therefore communion or sacrifice,Sympathetic/transferable efficacy,supernatural efficacy ≠ communion,direct manuscript medium,Direct local contrast with Mauss endocannibalism-as-communion
Lovejoy 005,1898-99,PDF p110,A few animal-for-human substitution cases,Therefore universal developmental law of substitution,Changing social/economic valuation; exceptional local substitution,secure cases ≠ universal genealogy,direct manuscript medium-high,Close to Hubert-Mauss anti-universal genealogy
Lovejoy 005,1898-99,PDF pp112-117,Cutting whipping blood bodily injury in initiation,Therefore partial human sacrifice,Incorporation; fraternity; purification; fortification; social status,injury resemblance ≠ sacrificial origin,direct manuscript high,Counterexample removes diagnostic force from bodily form
Lovejoy 005,1898-99,PDF p118,Companion killing/burial of retainers,Therefore mystical union,Provision; service; communication; status continuity; fear/propitiation,killing ≠ communion,direct manuscript medium,Plural mechanism field
Lovejoy 005,1898-99,PDF p119,Eating brain/heart/sexual organs,Therefore sacramental cannibalism,Transfer of intelligence/courage-life/sexual power by sympathetic efficacy,ingestion ≠ communion,direct manuscript medium,Proposition-level divergence from Mauss
Hubert-Mauss,1899,Essai intro lines 140-149 / AS 2 pp29-138,Multiple sacrificial forms and analogies,Therefore one primitive communion/totemic genealogy,Detailed description; analyze original complexity; distinguish expiation/propitiation/communion,analogy ≠ genealogy,primary published,Contemporaneous shared-field control; cites Marillier
Hubert-Mauss,1899,Essai intro lines 143-145,Apparently simple ritual forms,Therefore historically prior forms,Documentary insufficiency may produce apparent simplicity,simplicity ≠ priority,primary published,Very close to Lovejoy negative-case syntax
Hubert-Mauss,1899,Essai intro lines 145-156,Vague piaculum rubric,Therefore purification propitiation expiation share genealogical derivation from communion,Broad rubric itself creates confusion; logical and historical anteriority separated,rubric ≠ genealogy,primary published,Strong methodological control
Hubert-Mauss,1899,Essai lines 202-213,Diverse and similar sacrificial forms,Therefore rigid separate species OR one primitive historical origin,Abstract elements can recombine; seek a generic synchronic mechanism,anti-genealogy → generic mechanism,primary published,Key divergence: Hubert-Mauss reunify generically; Lovejoy remains more mechanism-plural
