priority_class,target,scope,current_status,what_it_can_change,structural_role,next_action
A1,Jacobi 1897 review of Dahlmann pp267-273,004,OBJECT_RESOLVED_TEXT_PENDING,"May narrow Lovejoy diagnostic-specificity delta; controls what Jacobi had already formulated before 1898",decisive_falsification_control,ingest page images/PDF when available
A2,Oldenberg Buddha 3rd ed 1897 title+p273+pp443-455,004,TRUE_1897_EDITION_DIGITALLY_RESOLVED_EXACT_PAGE_TEXT_PENDING,"May narrow diagnostic/semantic delta and clarify controversy-specific edition state",decisive_falsification_control,ingest exact pages when available
A3,Marillier review of Steinmetz RHR34 1896 pp113-115,005,OBJECT_RESOLVED_TEXT_PENDING,"Dates Marillier response to Steinmetz origin hierarchy and may alter chronology of mechanism/genealogy separation",decisive_falsification_control,ingest exact pages when available
B1,RAI MS99 page-level dossier collation,005,ARCHIVE_IMAGES_PENDING,"Could upgrade shared source-field inference to probable/direct document transmission",documentary_transmission_upgrade,collate distinctive bibliography/order/page references when images available
B2,EPHE or personal-paper Lovejoy seminar assignment/presentation,005,ARCHIVAL_EVIDENCE_PENDING,"Could specify what active participation meant for Lovejoy",documentary_transmission_upgrade,target EPHE registration/student-work files and Lovejoy papers
B3,Second Marillier student notebook,005,ARCHIVAL_EVIDENCE_PENDING,"Could establish seminar-wide note/classification practices beyond Söderblom",documentary_transmission_upgrade,target Uppsala/peer archives
B4,Lovejoy 1898 Paris letters and Sylvain Levi reading details,004_005,COLLECTION_IDENTIFIED_TEXT_PENDING,"Could clarify texts/languages and division between private Buddhist reading and comparative-religion seminar work",documentary_transmission_upgrade,inspect MS-0873/original letters
C1,Lovejoy 1908 article + Smith 1909 reply,later_extension,DIGITAL_OBJECTS_RESOLVED_PRIMARY_COLLATION_PENDING,"Tests whether anti-shortcut genealogy/two-gate discipline persists in Christian origins debate",extension_test,retrieve both articles and build claim-evidence-objection-reply matrix
C2,Lovejoy 1907 Deussen review,later_extension,BIBLIOGRAPHICALLY_RESOLVED_PRIMARY_TEXT_PENDING,"Tests continued specialist Indic engagement and teaching orientation",extension_test,retrieve two-page primary
C3,Lovejoy 1907 Jewish article vs 005 Hebrew layer,005_to_publication,PRIMARY_ARTICLE_PENDING_FOR_COLLATION,"Could provide second 005 manuscript-to-publication microgenesis",extension_test,retrieve/collate relevant article
C4,Washington University Hist Relig Dec 20 1905 context,005,INSTITUTIONAL_CONTEXT_UNRESOLVED,"Could convert secure manuscript date into secure course/lecture event",provenance_refinement,search catalogues/Association ephemera/local notices
D1,N W Thomas RHR38 1898 pp295-347,005,OBJECT_RESOLVED_TEXT_PENDING,"Tests same-teacher student classification practice",contextual_refinement,retrieve after A controls
D2,Marillier review of Codrington RHR25 1892 pp231-232,005,OBJECT_RESOLVED_TEXT_PENDING,"Refines first-reception chronology for mana/spirit/efficacy selection",contextual_refinement,retrieve when easy
D3,Marillier M Frazer et la Diane de Nemi RHR25 1892 pp71-99,005,OBJECT_RESOLVED_TEXT_PENDING,"Refines early mana wording/page chronology",contextual_refinement,retrieve when easy
D4,Marillier Religion Grande Encyclopedie XXVIII,005,OBJECT_RESOLVED_TEXT_PENDING,"Publication-grade wording and chronology control",citation_hygiene,retrieve p349/mana/mechanical-magic loci when easy
D5,Childers original facsimile,004,FACSIMILE_CONTROL_PENDING,"Improves publication citation not core inference",citation_hygiene,defer
D6,Alternative Muller witness for p30/p36,004,OPTIONAL_CONTROL,"Could explain citation slip but unlikely to alter argument",citation_hygiene,defer unless trivial
