id,date,document_layer,institution_or_repository,evidence,status,source,implication
P132-01,1897-04-30,mission_funding,Académie des Inscriptions et Belles-Lettres / Fondation Garnier,"Académie approves 8,000 francs to Sylvain Lévi specifically to allow him to continue research on Buddhism in the sub-Himalayan regions.",primary,https://www.persee.fr/doc/crai_0065-0536_1897_num_41_2_89869,"The 1897-98 mission interruption was not a generic absence: Buddhist research was an explicit funded objective immediately before Lovejoy's Paris year."
P132-02,1898-01,mission_progress,Académie des Inscriptions et Belles-Lettres,"Barth reports Lévi arrived at Kathmandu in January 1898, had already located rare manuscripts, arranged acquisition/copying, and taken inscriptions.",primary,https://www.persee.fr/doc/crai_0065-0536_1898_num_42_2_71146,"Fixes the Buddhist/Sanskrit manuscript-collection phase of the mission during the academic year in which Lévi taught no EPHE conference."
P132-03,1898-spring,mission_progress,Académie des Inscriptions et Belles-Lettres,"Senart reports Lévi's Nepal stay ending with acquisition of Asanga's Sūtrālaṅkāra manuscript, expected to provide a basis for future Mahāyāna research.",primary,https://www.persee.fr/doc/crai_0065-0536_1898_num_42_2_71154,"Shows the mission generated concrete Mahāyāna textual materials immediately before Lévi's return to teaching."
P132-04,1897-1898,formal_instruction_interruption,EPHE IVe Section,"Official report says Lévi, on mission in India, could conduct no conference during 1897-98; Finot maintained Sanskrit teaching.",primary,https://www.persee.fr/doc/ephe_0000-0001_1899_num_1_1_2200,"The Buddhist mission directly coincides with a full academic-year break in Lévi's regular EPHE instruction."
P132-05,spring-1898,Collège_course_substitution,Collège de France / Salamandre,"Corrected course poster preserves printed spring-1898 state naming Alfred Foucher as 'remplaçant' under Sylvain Lévi's Sanskrit chair; Foucher block includes holy cities/pilgrimages of Hinduism and is later cancelled in correction state.",direct_primary_user_scan,"research_notes/lovejoy_as_orientalist_web_sweep_batch131_College_de_France_course_poster_1898_1899.md","Direct institutional witness that Foucher covered Lévi's Collège chair during the mission."
P132-06,1898-10-09,return_presence,EPHE public scholarly event,"EPHE annuaire records Sylvain Lévi and Louis Finot representing the École pratique at the Abel Bergaigne monument inauguration at Vimy.",primary,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2270,"Hard proof Lévi was back in France and active in the EPHE network by 9 Oct 1898."
P132-07,1898-10-17,Lovejoy_correspondence_window,JHU / Wilson reconstruction,"Earliest Paris letter cited by Daniel J. Wilson for Lovejoy's Lévi/Vernes/Réville reconstruction.",secondary_from_archive,"research_notes/lovejoy_as_orientalist_web_sweep_batch05_paris_1898_1899.md","Only eight days after Lévi's hard Vimy presence anchor; exact letter wording still unrecovered."
P132-08,1898-11-03,formal_EPHE_opening,EPHE IVe Section,"Official programme says IVe Section conferences for 1898-99 begin 3 Nov 1898 at Nouvelle-Sorbonne, 46 rue Saint-Jacques.",primary,https://www.persee.fr/doc/ephe_0000-0001_1899_num_1_1_2222,"Provides precise institutional opening date for the Sanskrit/Indianist EPHE teaching cycle."
P132-09,1898-11-06,Collège_governance,Collège de France / 2 AP 10 pp.113-115,"Faculty meeting explicitly processes current-year substitutes but contains no Lévi/Foucher pair and no Lévi/mission/Sanskrit/Pāli reference.",direct_primary_user_scan_bounded_negative,"research_notes/lovejoy_as_orientalist_web_sweep_batch128_Paris_CdF_6Nov1898_manual_scan_read.md","Bounded negative becomes stronger when read alongside poster cancellation: Foucher was no longer being processed as continuing substitute."
P132-10,1898-12-05,Collège_course_opening,Collège de France / corrected course poster,"Working correction copy changes spring-1898 opening date to 5 December for first semester 1898-99 and cancels Foucher's replacement state under Lévi's chair.",direct_primary_user_scan,"research_notes/lovejoy_as_orientalist_web_sweep_batch131_College_de_France_course_poster_1898_1899.md","Collège teaching transition reaches a concrete opening-day marker exactly within Wilson's 1 Dec / 5 Dec Lovejoy letter window."
P132-11,1898-1899,realized_EPHE_teaching,EPHE IVe Section,"Lévi's regular conferences after return are Bhagavad-Gītā and continuous survey of Indian literature; no regular Pāli-Buddhism course appears in recovered report.",primary,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2251,"Independent institutional corroboration of the reported unavailability of Lovejoy's desired Pāli-Buddhist study, while private readings remain letter-dependent."
P132-12,1899-01-27,mission_report,Académie des Inscriptions et Belles-Lettres,"Lévi formally reports to the Académie on the India/Japan mission; the Academy president congratulates him on its success.",primary,https://www.persee.fr/doc/crai_0065-0536_1899_num_43_1_89964,"Closes the public administrative mission cycle after Lévi has resumed Paris teaching."
P132-13,1899,mission_report_publication,Académie des Inscriptions et Belles-Lettres,"Published mission report identifies Ministry mission to India/Japan and additional Académie subsidy specifically for research in the target regions.",primary,https://www.persee.fr/doc/crai_0065-0536_1899_num_43_1_71335,"Provides Lévi's own retrospective public account of the mission as a distinct documentary layer from course administration and Lovejoy's private study."
