actor,date,source,locus,operation,evidence_type,directness,relation_to_005,caution
Léon Marillier,1890s,"EPHE teaching programme as reconstructed from annual reports/Le Maléfan","Religions des peuples non civilisés","critical study of testimony before psychological study; beliefs myths rites customs as source field",institutional secondary reconstruction,medium,"Strong structural comparator for 005 source criticism and classification","Do not call 005 a transcript of this course"
Marcel Mauss,1896-1897,"La religion et les origines du droit pénal d'après un livre récent","RHR 34-35; Steinmetz discussion","criticism of texts against registration of gross/general content; narrower rubrics; distrust of uncriticized interpretations",primary text electronic reproduction,high contextual,"Same inference syntax as 005: report form does not settle mechanism","No proof Lovejoy read Mauss article"
Marcel Mauss,1902,"L'Enseignement de l'histoire des religions des peuples non-civilisés à l'École des Hautes Études","RHR 45 pp36-55; methodological section c42-54","explicitly follows Marillier in critique des faits; exhaustive bibliography; common critical labor; close document analysis; seminar work",primary article metadata + electronic text reproduction,very high for Marillier-method attribution,"Direct programmatic analogue to 005 bibliographic/page-specific/document-critical work","Postdates Lovejoy Paris period; not proof Lovejoy attended Mauss seminar"
Marcel Mauss,1902,"Léon Marillier et la science des religions / retrospective tribute","later Œuvres III pp460-465; quote controlled through Le Maléfan","Marillier taught critique des faits; extensive examination and classification; observer position discussed",primary quotation via secondary source,medium-high,"Separates transmissible critical method from explanatory doctrine","Verify exact Œuvres/original wording before long quotation"
Marcel Mauss,1900-1901,"Review of L. Marillier, Religion, Grande Encyclopédie tXXVIII","L'Année sociologique 5 pp191-197","critical review of Marillier's general theory of religion",primary bibliographic; content secondary-controlled,high interaction / medium content,"Shows direct critical processing of Marillier in Durkheimian review laboratory","Full review text still to recover"
Marcel Mauss,1900-1901,"Review of Nathan Söderblom, La Vie future d'après le Mazdéisme","L'Année sociologique 5 pp235-241","publication-level review of comparative eschatology",primary bibliographic,high interaction only,"Places Marillier and Söderblom in same Mauss review circuit","Do not infer review position until text recovered"
Nathan Söderblom,1901,"La vie future d'après le mazdéisme à la lumière des croyances parallèles dans les autres religions",p37,"uses Marillier-generalized Melanesian expression mana de l'homme",secondary-confirmed primary pending,medium-high,"Independent evidence Marillier formulation entered student comparative work","Does not prove same notes or packet reached Lovejoy"
Arthur O Lovejoy,c1898-1900,MS38_004_001_061_005,"p29 Marillier insert; p120 Marillier memorandum; throughout notebook","bibliographic aggregation; exact pages; source criticism; classification; mechanism separation; unresolved-case marking",direct archive,very high,"Empirical object to be situated in Marillier-derived critical practice","Notebook itself does not explicitly label these operations Marillier's method"
Arthur O Lovejoy,c1898-1900,MS38_005 Trumbull cluster,"p85-86 / MS pp173-175","sequential exact-page extraction then explanatory reclassification",direct archive + primary source comparison,very high,"Concrete instance of source case retained while causal job changed","Do not reduce Primitive Energetics genetically to Trumbull"
Arthur O Lovejoy,c1898-1900,MS38_005 Kingsley cluster,"p89-90 / MS pp181-183","exact-page extraction; spirit-mediated suhman becomes boundary for non-spirit amulet; blood causal bearer reopened",direct archive + primary source comparison,very high,"Concrete instance of critique/classification rather than passive copying","Kingsley herself does not teach Lovejoy's intrinsic-efficacy category"
Synthesis,1890s-1902,"Marillier-Mauss-Lovejoy-Söderblom field","multiple","shared critical operations with divergent explanatory architectures",research inference,medium-high,"Best model for influence: methodological field rather than copied doctrine","Not a direct stemma of transmission"
