record_id,event_date,subject,source,evidence_grade,documented_finding,evidence_limit
B192-01,1904,That-what distinction,Lovejoy The Dialectic of Bruno and Spinoza pp145-147,A_direct_primary,"Lovejoy distinguishes inclusion of the being/'that' of phenomena in the Absolute from inclusion of their determinate nature/'what'.",Does not by itself establish a later formal unit-idea method.
B192-02,1904,Vedanta worked comparator,Lovejoy The Dialectic of Bruno and Spinoza p147,A_direct_primary,"Lovejoy uses Vedanta and the Mundaka Upanishad as an explicit example in which finite being is included in Brahman while finite determinations are excluded from Brahman's own nature.",Exact edition or translation used for the Upanishadic wording is not identified by this passage alone.
B192-03,1904,Schopenhauer as modern Vedantism,Lovejoy The Dialectic of Bruno and Spinoza p147,A_direct_primary,"Lovejoy calls Schopenhauer's system modern Vedantism and applies the same that/what distinction to Will and appearance.",Comparative classification does not establish direct historical transmission from Vedanta to Schopenhauer beyond what Lovejoy asserts.
B192-04,1904,Deussen and Maya comparator,Lovejoy The Dialectic of Bruno and Spinoza p144,A_direct_primary,"Testing the Erdmann interpretation of Spinoza, Lovejoy places the resulting illusionist ontology with Schopenhauer and Deussen and invokes the veil of Maya problem.",The comparison is hypothetical within an exegetical test and should not be converted into Lovejoy's final classification of Spinoza.
B192-05,1904,Temporal religious stakes,Lovejoy The Dialectic of Bruno and Spinoza pp146-147,A_direct_primary,"Lovejoy identifies the serious religious issue as whether spiritual interests stand apart from common natural life or are realized through human business and temporal endeavor.",Does not reduce the entire metaphysical argument to ethics or social theory.
B192-06,1904,Contradiction as historical motor,Lovejoy The Dialectic of Bruno and Spinoza pp148-150,A_direct_primary,"Lovejoy describes much of metaphysical history as driven by attempts to escape self-contradiction among inherited concepts and assumptions.",A methodological resemblance to later history of ideas is an interpretive continuity not a formal methodological manifesto.
B192-07,1904,Influence versus inherited tradition,Lovejoy The Dialectic of Bruno and Spinoza pp167-168,A_direct_primary,"Lovejoy acknowledges Spinoza's reading of Bruno and direct influence but says the exact degree matters less because both draw on a longer continuous Neo-Platonic repertoire of methods terms and concepts.",Does not deny direct influence; it relativizes its explanatory priority.
B192-08,1904,Explain contradictions not merely detect them,Lovejoy The Dialectic of Bruno and Spinoza pp170-173,A_direct_primary,"Lovejoy says adequate analysis must show contradictions' inevitability internal articulation dialectical sources and the philosopher's attitudes toward them.",Methodological statement is specific to the present historical-exegetical task unless broader comparison is independently made.
B192-09,1904,Metaphysical otherworldliness,Lovejoy The Dialectic of Bruno and Spinoza pp173-174,A_direct_primary,"Lovejoy concludes that absolutist-inclusive metaphysics tends to lapse into a theory of illusion and metaphysical otherworldliness that negates common temporal experience.",This conclusion targets a family including Western idealisms and should not be equated exclusively with Indian philosophy.
B192-10,1904,Occidental judging subject,Lovejoy The Dialectic of Bruno and Spinoza p174,A_direct_primary,"Lovejoy closes by saying no sober Occidental mind need refute the resulting thoroughgoing metaphysical otherworldliness.",Phrase demonstrates civilizational marking but does not alone establish a racial or imperial political doctrine.
B192-11,1982,Wilson retrospective genealogy,Daniel J Wilson Arthur O Lovejoy An Annotated Bibliography introduction pp25-26 and entry22 p14,B_secondary_published,"Wilson identifies Religion and the Time-Process and The Dialectic of Bruno and Spinoza as early history-of-ideas essays leading into the Platonic complex later embodied in the chain of being and says the 1904 article anticipates The Great Chain of Being.",Retrospective secondary interpretation; primary continuity must be established from Lovejoy's own texts.
B192-12,1895-1904,Wilson pre-1905 corpus sequence,Daniel J Wilson annotated bibliography primary-source entries17-26 pp12-16,B_secondary_bibliographic_control,"Wilson's sequence places Lovejoy's 1898 Buddhist philology 1900 French university essay 1902 temporal religion article and multiple 1904 works in one documented publication run.",Chronological adjacency does not establish a single unified project or causal relation among the publications.
