issue,senart_1896,jacobi_1898,oldenberg_1897_1898,lovejoy_004,lovejoy_1898,evidentiary_status,interpretive_payoff
"status of twelve-nidana formula","Later/composite scholastic construction assembled from originally independent categories; variant series and repetitions are evidence of layering","Composite/inherited material can still form an intelligible Indian philosophical sequence; reconstructs causal order, often backward from birth/death","Rejects speculative over-systematization but reconstructs local canonical causal relations; broad Indic family resemblance does not prove specific Sankhya genealogy","Explicitly accepts inherited/heterogeneous terms while arguing the formula is not thereby unintelligible; seeks a discoverable technical arrangement","Argues Senart's compositional diagnosis does not entail a virtually meaningless formula; reconstructs functional relations among links","secure","Key contrast is not composite versus coherent as mutually exclusive categories; Lovejoy treats historical compositeness and synchronic functional organization as compatible"
"upadana = upadanakkhandha?","Yes: upadana is a reduction for upadana-skandhas / panca upadanaskandhas, hence five skandhas occur collectively and distributively","No; explicitly refers Senart's equation to Oldenberg Buddha 3rd ed p273 note","No; anti-Senart rebuttal already present in Buddha 3rd ed p273 note by 1897, attested independently by Jacobi 1898 and Oldenberg 1898 self-cross-reference","Tests Senart directly; distinguishes attachment from aggregates and notes four kinds of upadana and canonical attachment relations","No; distinguishes aggregates from attachment to aggregates through Pali textual usage","Oldenberg priority secure; Lovejoy dependence unresolved","Basic anti-Senart semantic distinction is not a Lovejoy novelty claim"
"duplication of skandhas","Duplication supports composite/non-deductive origin of the series","Attempts to explain apparent repetitions through inherited categories placed into causal sequence","Does not accept duplication as proof of identity; semantic relation to objects of attachment is controlling","Notes that collective and separate designations can recur without simple redundancy; difficulty is relation among terms, temporally/logically","Claims Senart's duplication follows from the false upadana equation; seeks non-redundant roles","secure","Repeated lexical/conceptual material does not establish functional redundancy"
"tanha vs upadana","Nucleus links 8-9 to Four Truths; categories in chain remain historically layered","If upadana means pleasure in sensory world it risks collapsing into trsna; therefore construes it as passions/dispositions enabling karma","Reconstructs phassa -> vedana -> tanha -> upadana; if upadana is nandi/chandaraga boundary with tanha is close but texts distinguish them; likely grasping itself","Treats desire and attachment as related but distinct stages; collects canonical definitions and four upadanas","Particular cravings/desires feed a more settled condition/habit of attachment or will; functional rather than merely lexical distinction","secure for general distinction; exact Lovejoy wording in published article secure","Functional non-equivalence becomes the strongest methodological operation"
"phassa vs upadana","Not the main discriminating issue","Warns grasping sensory world may be insufficiently distinguished from sparsa","Explicitly says contact and grasping are two stages: sense meets object, later person appropriates it with desire","Maps contact -> sensation -> desire -> attachment in chain analysis","Maintains differentiated causal sequence","secure","Oldenberg already supplies local-stage differentiation, narrowing Lovejoy novelty further"
"upadana vs karma / adrsta","Not central in surviving key argument","Revises earlier identity claim; adrsta is somehow contained/co-posited in upadana; sinful dispositions enable effects/new karma","Rejects technical causa-materialis import and places Buddhist upadana far from adrsta/karma","Uses karma for continuity/rebirth and probes how attachment/upadhi conditions rebirth","Strong allocation: karma explains particular condition/form of rebirth; upadana explains fact of rebirth per se","Oldenberg rejection secure; Lovejoy allocation strong and currently unmatched in checked Oldenberg pages","Best surviving Lovejoy-specific candidate: causal-role partition rather than basic semantic correction"
"Sankhya genealogy","Avidya/samskaras partly borrowed from Sankhya; detailed Jacobi derivation from tattvas rejected; favors stratified borrowing","Buddha grew up amid Sankhya ideas as broad intellectual common property; Buddhism is individual transformation, not an Abklatsch","Allows possible older/proto-Sankhya influence but rejects specific derivations without textual evidence; stresses chronology and canonical comparison","Questions priority and diagnostic features; compares Buddhist terms with Sankhya while resisting easy equation","Accepts mixed Indic background while defending distinct Buddhist functional organization","secure in primary sources / existing 004 transcription","Separates genealogy from configuration: shared background does not decide internal role"
"preferred method","Analyse et filiation des termes; variants, repetitions, textual strata, borrowed categories","Indian philosophical comparison plus constructive causal reconstruction","Canonical semantic control; Buddhist usage first; restrained historical inference","Source-by-source philology plus diagrams/cross-mapping and causal tests","Textual semantics plus functional causal architecture","secure","Four-way map avoids false philology-versus-philosophy dichotomy"
"Oldenberg priority","N/A","Explicitly: for Senart upadana = upadanakkhandha see Oldenberg Buddha 3rd ed p273 note","Oldenberg 1898 self-cross-ref: chandaraga/rupa/vedana citations in Buddha 3rd ed p273 note","Notebook knows/uses Oldenberg extensively but exact edition access unresolved","Cites Oldenberg explicitly in upadisesa section, not visibly in immediate Senart/upadana rebuttal","priority secure; dependence unresolved","Do not claim Lovejoy originated the anti-Senart distinction; investigate circulation/access instead"
"Lovejoy access to Buddha 3rd ed","N/A","Shows the third-edition argument was available in the scholarly controversy","Third-edition locus is self-attested","004 cites Oldenberg by page in multiple places, but citation form does not yet prove use of 1897 German third ed","Published paper explicitly cites older English translation pagination in upadisesa discussion","unresolved","Next archival question: what Oldenberg edition did Lovejoy actually consult?"
"uploaded Oldenberg Buddha scan","N/A","N/A","Filename buddhaseinleben03oldegoog is misleading: title page says ZWEITE AUFLAGE; 1890 stamp","N/A","N/A","secure from title page","Correct 1897 third edition p273 and pp443-455 still desirable for visual verification, but no longer a priority bottleneck"
