id,date,source_type,author_or_institution,location,claim,evidence_status,limitation,url
B182-01,1894-05-16,contemporary newspaper,Harvard Crimson,Religous Union,Vivekananda was announced for a Harvard Religious Union address that evening,confirmed scheduled event,Does not by itself prove delivery or Lovejoy attendance,https://www.thecrimson.com/article/1894/5/16/religous-union-this-evening-at-8/
B182-02,1894-05-17,contemporary newspaper,Harvard Crimson,Vivekananda's Address,Crimson reported that Vivekananda gave the address the previous evening under Harvard Religious Union auspices and summarized its content,confirmed post-event report,Does not establish Lovejoy attendance,https://www.thecrimson.com/article/1894/5/17/vivekanandas-address-swami-vivekananda-the-hindoo/
B182-03,1898-03-14,digital newspaper page,Harvard Crimson,University Calendar,Digital page places Other Worldliness by A O Lovejoy under Monday March 14 with First Parish Church parlors at 6:45,confirmed current digital page content,Potential duplicated or misattached calendar block requires scan-level verification,https://www.thecrimson.com/article/1898/3/14/university-calendar-president-and-fellows-of/
B182-04,1898-04-09,digital newspaper page,Harvard Crimson,University Calendar for April 11,Digital page places the same Other Worldliness entry under Monday April 11,confirmed current digital page content,Same surrounding program appears on March 14 digital page so exact date is not secure from HTML alone,https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/
B182-05,1898-03-14/1898-04-11,source-critical comparison,Harvard Crimson,digital calendar pages,The Lovejoy item and multiple surrounding events are duplicated across two date contexts,confirmed digital duplication anomaly,Does not distinguish database error rescheduling repeated program or original-print duplication; inspect issue images,multiple URLs
B182-06,1872-1962,archival finding aid,Daniel J Wilson; Johns Hopkins Special Collections,MS-0873 Box 1,Five binders of Lovejoy letter transcriptions are chronological; most professional correspondence begins in 1894 and family correspondence covers 1872-1921,confirmed archival collection description,Transcriptions may contain minor errors and must be checked against originals,https://aspace.library.jhu.edu/repositories/3/resources/1465
B182-07,1872-1963,archival finding aid,Johns Hopkins Special Collections,MS-0038 Arthur Oncken Lovejoy papers,Correspondence is concentrated in Boxes 72-84 and Daniel J Wilson prepared a detailed collection and correspondence index in 1974-1975,confirmed archival finding aid,Finding aid does not itself identify the settlement institution or exact early letter folders,https://aspace.library.jhu.edu/repositories/3/resources/54
B182-08,1891-1895,negative-control research result,public-web sweep,Oakland settlement identity,No new public source located that names Lovejoy in Manse Polytechnic or West Oakland Settlement,negative result after targeted sweep,Absence from indexed public web is not evidence of nonparticipation; archival letters remain decisive,
B182-09,1895-09-24,contemporary newspaper drawing on university pamphlet,Harvard Crimson,The Religious Societies,Harvard Religious Union described interfaith exchange common search for truth character and action and listed V R Gandhi of Bombay among public speakers,confirmed institutional context,Does not prove Lovejoy heard Gandhi or establish Gandhi's exact lecture date,https://www.thecrimson.com/article/1895/9/24/the-religious-societies-there-are-now/
B182-10,1902-08-29,archival digitization of university booklet,Harvard University; William Kerr papers,Opportunities Provided for Religious Worship Instruction and Fellowship 1902-03,A later surviving booklet confirms continuity of the Harvard publication series that described religious organizations,confirmed later-series survival,Does not prove an 1897-98 copy survives in the same repository; earlier issues require targeted archival search,https://digitalcommons.usu.edu/kerr_reports/162/
