id,date,source_type,author_or_institution,location,claim,evidence_status,limitation,url
OW181-01,1891,library catalog of primary publication,George Herbert Palmer,The Glory of the Imperfect first edition,The phrase names a commencement address delivered at the first graduation of a womens college,confirmed title event publication and date,Does not establish Lovejoy attended or owned the first edition,https://catalog.hathitrust.org/Record/100507639
OW181-02,1894-05-16,contemporary newspaper,Harvard Crimson,Religious Union public notice,Vivekananda was announced as a Harvard Religious Union speaker,confirmed public announcement,Lovejoy presence at this event unproven,https://www.thecrimson.com/article/1894/5/16/religous-union-this-evening-at-8/
OW181-03,1895-09-24,contemporary university-derived report,Harvard Crimson,The Religious Societies,Harvard Religious Union sought interchange among persons of various views and faiths,confirmed quoted institutional purpose,Institutional purpose does not establish equal access in practice,https://www.thecrimson.com/article/1895/9/24/the-religious-societies-there-are-now/
OW181-04,1895-09-24,contemporary university-derived report,Harvard Crimson,The Religious Societies,Harvard Religious Union explicitly linked religion with character and action,confirmed quoted institutional purpose,Does not document the content of Lovejoys lost 1898 lecture,https://www.thecrimson.com/article/1895/9/24/the-religious-societies-there-are-now/
OW181-05,1895-09-24,contemporary university-derived report,Harvard Crimson,The Religious Societies,Josiah Royce and V R Gandhi of Bombay appear in the same public speaker list,confirmed institutional juxtaposition,Does not establish simultaneous appearance or mutual meeting,https://www.thecrimson.com/article/1895/9/24/the-religious-societies-there-are-now/
OW181-06,1895-09-24,contemporary university-derived report,Harvard Crimson,The Religious Societies,Private meetings were informal while public meetings featured named outside speakers,confirmed organizational structure,Actual membership and attendance require additional archives,https://www.thecrimson.com/article/1895/9/24/the-religious-societies-there-are-now/
OW181-07,1895-03-21,later retrospective source,Jain scholarly collection,Virchand Raghavji Gandhi chapter,A later source assigns Virchand Gandhi a Harvard Religious Union lecture on this date,retrospective claim requiring primary verification,Cited March 13 Crimson notice has not yet been located,https://jainqq.org/booktext/Development_And_Impact_Of_Jainism_In_India_And_Abroad/032402
OW181-08,1896-01-15,letter quoted in later publication,John P Fox to Sara Bull,Vivekananda documentary narrative,Graduate Philosophical Club was preferred for the best and most philosophical audience,quoted contemporary letter in later secondary transmission,Original letter and editorial accuracy require archival verification,https://www.scribd.com/document/577333208/ND-Vol-4
OW181-09,1896-02-23,letter quoted in later publication,John P Fox to Sara Bull,Vivekananda documentary narrative,Club president Mr Lough reportedly proposed March 25 for Vivekanandas lecture,quoted contemporary letter in later secondary transmission,Does not establish Lovejoy attendance,https://www.scribd.com/document/577333208/ND-Vol-4
OW181-10,1898,library catalog of later edition,George Herbert Palmer,The Glory of the Imperfect Crowell edition,A later edition appeared in 1898 after the documented 1891 original,confirmed edition chronology,Do not confuse later publication with first appearance,https://catalog.hathitrust.org/Record/001975603
OW181-11,1898-04-09,contemporary newspaper,Harvard Crimson,Calendar for April 11,Lovejoy was scheduled to present Other Worldliness to Harvard Religious Union,confirmed named scheduled presentation,Actual delivery and lecture contents remain unverified,https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/
OW181-12,1902-07,author-signed primary article,Arthur O Lovejoy,Religion and the Time-Process p454,Lovejoy explicitly attributes glory of the imperfect to Professor Palmer,confirmed named authorial attribution,Does not identify which edition or oral source he used,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW181-13,1936,author-signed primary book,Arthur O Lovejoy,The Great Chain of Being p25,Lovejoy repeats glory of the imperfect and attributes the phrase to Professor Palmer,confirmed named authorial repetition,Conceptual continuity does not prove unchanged politics,https://archive.org/stream/in.ernet.dli.2015.139572/2015.139572.The-Great-Chain-Of-Being_djvu.txt
OW181-14,1936,author-signed primary book,Arthur O Lovejoy,The Great Chain of Being p27,Lovejoy describes nationalism in India as the Western plague of nationalism,confirmed authorial civilizational framing,Western qualifies nationalism rather than proving Indian movements lacked agency,https://archive.org/stream/in.ernet.dli.2015.139572/2015.139572.The-Great-Chain-Of-Being_djvu.txt
OW181-15,1936,author-signed primary book,Arthur O Lovejoy,The Great Chain of Being p293,Lovejoy links imperfectness to distrust of universal formulas in politics,confirmed same-page conceptual juxtaposition,Does not specify a modern party program,https://archive.org/stream/in.ernet.dli.2015.139572/2015.139572.The-Great-Chain-Of-Being_djvu.txt
OW181-16,1936,author-signed primary book,Arthur O Lovejoy,The Great Chain of Being pp293-294,Lovejoy clusters national and racial peculiarities with antiuniformitarian diversity,confirmed same-page conceptual juxtaposition,Celebrating diversity can coexist with racialized or civilizational hierarchy,https://archive.org/stream/in.ernet.dli.2015.139572/2015.139572.The-Great-Chain-Of-Being_djvu.txt
OW181-17,1936,author-signed primary book,Arthur O Lovejoy,The Great Chain of Being p293,Peoples remote in time or space or cultural condition are grouped together,confirmed authorial grouping,Temporal spatial and cultural distance remain analytically distinct,https://archive.org/stream/in.ernet.dli.2015.139572/2015.139572.The-Great-Chain-Of-Being_djvu.txt
OW181-18,1936,author-signed primary book,Arthur O Lovejoy,The Great Chain of Being p294,Lovejoy identifies a transition from uniformitarianism to diversitarianism,confirmed explicit authorial terminology,Do not treat diversification as inherently egalitarian or anti-imperial,https://archive.org/stream/in.ernet.dli.2015.139572/2015.139572.The-Great-Chain-Of-Being_djvu.txt
