case_id	year_period	claim_level	unit_primary	unit_secondary	relation_primary	relation_secondary	actor_object	claim_or_operation	proof_burden_or_failure_mode	evidence_status	control_note
MARILLIER_SURVIVAL	1892-94	METHOD_PROGRAMME	U4_PRACTICE_RITE_EVENT	U6_TRADITION_CANON	R9_CONTINUITY_SURVIVAL	R6_FUNCTION_MECHANISM	Marillier / survivals	institutions rites legends can survive beliefs that generated them	survival of form does not prove survival of original belief or function	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
MARILLIER_CEREMONY	1894-98	METHOD_PROGRAMME	U4_PRACTICE_RITE_EVENT		R6_FUNCTION_MECHANISM	R4_CAUSATION	Marillier / marriage and sacrifice rites	co-present similar rites divided into union purification preservation fecundation funerary expiatory magical functions	phenomenal unity does not prove functional or causal unity	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
MARILLIER_MONOGRAPH	1895-99	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT	U4_PRACTICE_RITE_EVENT	R7_REPRESENTATIVENESS_DISTRIBUTION	R4_CAUSATION	Marillier comparative programme	comparative generalization tested against monographic case control	general law requires local case verification and may need restriction	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
BRINTON_AMERICAN_RACE	1891->005	SOURCE_USE	U5_SOURCE_WITNESS_INFRASTRUCTURE		R8_SOURCE_DERIVATION_PROVENANCE	R5_TRANSMISSION_INFLUENCE	Brinton / Lovejoy	The American Race enters notebook 005 as ethnographic case infrastructure	bibliographic use does not prove doctrinal adoption or sole source route	DIRECT_MANUSCRIPT_EDGE	research_notes/HANDOFF_Brinton_005_2026-08-30.md
BRINTON_SACRIFICE	1897->005	SOURCE_USE	U5_SOURCE_WITNESS_INFRASTRUCTURE	U11_ANALYTIC_CONSTRUCT	R8_SOURCE_DERIVATION_PROVENANCE	R6_FUNCTION_MECHANISM	Brinton / sacrifice synthesis	Brinton provides bibliography fair sketch and overlapping case cluster while Lovejoy repartitions by mechanism	shared cases or problem cluster does not prove same aggregation rule	DIRECT_EDGE_TITLE_HOLD	research_notes/HANDOFF_Brinton_005_2026-08-30.md
LJ004_VINNANA	1898c	OBJECT_LEVEL	U1_SEMANTIC_PROPOSITIONAL		R2_CLASSIFICATORY_INCLUSION	R3_TEMPORAL_SEQUENCE_PRIORITY	Lovejoy / Buddhist dependent-origination notes	viññāṇa nested inside nāma/nāmarūpa while described as temporally antecedent and logically a subdivision	do not infer temporal order from classificatory inclusion	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ004_SYSTEM_MAPPING	1898c	OBJECT_LEVEL	U11_ANALYTIC_CONSTRUCT	U2_DOCUMENT_TEXTUAL_SEGMENT	R2_CLASSIFICATORY_INCLUSION	R1_SEMANTIC_CONCEPTUAL_IDENTITY	Lovejoy / khandha-nāmarūpa mapping	maps two classificatory systems before testing temporal logical mismatch	cross-system mapping does not prove full semantic identity	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_MORAL_BOUNDARY	1898-1905	OBJECT_LEVEL	U4_PRACTICE_RITE_EVENT	U11_ANALYTIC_CONSTRUCT	R4_CAUSATION	R7_REPRESENTATIVENESS_DISTRIBUTION	Lovejoy / eschatological cases	separates custom ritual social determinants from moral desert with revisions at boundary	differentiated afterlife destination does not automatically prove moral reward punishment	DIRECT_PAGE_IMAGE_TRANSCRIPTION	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_SELECTOR_SCHEMA	1898-1905	OBJECT_LEVEL	U11_ANALYTIC_CONSTRUCT		R6_FUNCTION_MECHANISM	R4_CAUSATION	Lovejoy / afterlife classification	numbered Roman-numeral schema reclassifies cases by distinct selectors	visible similarity or co-presence does not establish common mechanism	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LJ005_COMPOSITE_NOTEBOOK	1898-1905+	SOURCE_USE	U10_COMPOSITE_MATERIAL_ARCHIVAL_OBJECT		R8_SOURCE_DERIVATION_PROVENANCE	R3_TEMPORAL_SEQUENCE_PRIORITY	Lovejoy notebook 005	physically accretive slips foldouts overlay previously written spreads	physical compositeness proves accretion not chronological sequence of ideas	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
