source_entry,source_title,target_entry,target_title_or_cluster,edge_type,direction_status,topic,evidence_note
17,"James Burnett, Lord Monboddo",139,"Monboddo and Rousseau",W-SEE,reciprocal-via-139,evolution-intellectual-history,"entry17 says See 139; entry139 says See 17,116"
139,"Monboddo and Rousseau",17,"James Burnett, Lord Monboddo",W-SEE,reciprocal,evolution-intellectual-history,"later retrospective return to 1895 essay"
139,"Monboddo and Rousseau",116,"The Supposed Primitivism of Rousseau's Discourse on Inequality",W-SEE,outgoing,primitivism-intellectual-history,"formal See line in entry139"
18,"Some Harvard Notes",20,"The Social Rôle of the French University",W-SEE,reciprocal,university-education,"formal See line"
20,"The Social Rôle of the French University",18,"Some Harvard Notes",W-SEE,reciprocal,university-education,"formal See line"
19,"The Buddhistic Technical Terms upadāna and upādisea",243,"Syllabus: The Philosophy of Buddhism",W-IDX,index-co-location,buddhism-indic,"both routed under index heading Buddhism; NOT a formal See edge in current evidence"
21,"Religion and the Time-Process",5,"The Great Chain of Being",W-SEE,outgoing,religion-time-great-chain,"formal See line"
21,"Religion and the Time-Process",22,"The Dialectic of Bruno and Spinoza",W-SEE,reciprocal,religion-time-history-of-ideas,"formal See line"
21,"Religion and the Time-Process",51,TITLE-PENDING,W-SEE,outgoing,temporalism-otherworldliness,"formal numbered edge secure; title pending"
21,"Religion and the Time-Process",435,"Arthur O. Lovejoy and the Moral of The Great Chain of Being",W-SEE,outgoing,great-chain-reception,"formal See line"
22,"The Dialectic of Bruno and Spinoza",21,"Religion and the Time-Process",W-SEE,reciprocal,history-of-ideas-time,"formal See line"
22,"The Dialectic of Bruno and Spinoza",51,TITLE-PENDING,W-SEE,outgoing,temporalism-otherworldliness,"formal numbered edge secure; title pending"
22,"The Dialectic of Bruno and Spinoza",435,"Arthur O. Lovejoy and the Moral of The Great Chain of Being",W-SEE,outgoing,great-chain-reception,"formal See line"
22,"The Dialectic of Bruno and Spinoza",5,"The Great Chain of Being",W-ANN,annotation-only,great-chain,"Wilson annotation says argument anticipates later book; entry22 formal See line omits 5"
21,"Religion and the Time-Process",22,"paired early history-of-ideas essays",W-INTRO,introduction-level,religion-history-of-ideas,"Wilson introduction especially groups 21 and 22"
23,"Ethics and International Relations","6-8","international-organization primary-source cluster",W-SEE,outgoing,international-ethics,"formal See line; target titles pending in this pass"
23,"Ethics and International Relations",16,"international-organization primary-source cluster",W-SEE,outgoing,international-ethics,"formal See line; target title pending in this pass"
25,"Religious Instruction in Non-Sectarian Colleges and Universities",82,TITLE-PENDING,W-SEE,outgoing,academic-freedom,"formal numbered edge secure; title pending"
25,"Religious Instruction in Non-Sectarian Colleges and Universities",127,"Anti-Evolution Laws and the Principle of Religious Neutrality",W-SEE,outgoing,religious-neutrality-academic-freedom,"formal See line"
25,"Religious Instruction in Non-Sectarian Colleges and Universities",128,TITLE-PENDING,W-SEE,outgoing,academic-freedom-religious-neutrality,"formal numbered edge secure; title pending"
26,"Some Eighteenth Century Evolutionists",17,"James Burnett, Lord Monboddo",W-SEE,outgoing,evolution-history-of-science,"formal See line"
26,"Some Eighteenth Century Evolutionists",48,"The Argument for Organic Evolution Before 'The Origin of Species'",W-SEE,outgoing,evolution-history-of-science,"formal See line"
26,"Some Eighteenth Century Evolutionists",54,"Kant and Evolution",W-SEE,outgoing,evolution-history-of-science,"formal See line"
26,"Some Eighteenth Century Evolutionists",57,TITLE-PENDING,W-SEE,outgoing,evolution-history-of-science,"formal numbered edge secure; title pending"
356,"Chains of Being in Early Christianity",21,"Religion and the Time-Process",S-IN,incoming-secondary,great-chain-reception,"later secondary entry directs to 5 and 21-22"
356,"Chains of Being in Early Christianity",22,"The Dialectic of Bruno and Spinoza",S-IN,incoming-secondary,great-chain-reception,"later secondary entry directs to 5 and 21-22"
435,"Arthur O. Lovejoy and the Moral of The Great Chain of Being",21,"Religion and the Time-Process",S-IN,retrospective-secondary,great-chain-reception,"Wilson's 1980 retrospective genealogy"
435,"Arthur O. Lovejoy and the Moral of The Great Chain of Being",22,"The Dialectic of Bruno and Spinoza",S-IN,retrospective-secondary,great-chain-reception,"Wilson's 1980 retrospective genealogy"
