date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action
1898-1899,primary_institutional,strict_core,Maurice Vernes Psalms course,"EPHE programme 1898-99, Persée",confirmed,"Exact course 'Explication du livre des Psaumes' independently corroborates Wilson's letter-based claim that Lovejoy studied Psalms with Vernes","Extract Lovejoy 1898 letters; connect cautiously to 005 Hebrew layer and 1907 Ethical Inwardness"
1898-1899,primary_institutional,history_of_religion,Jean Réville Fourth Gospel course,"EPHE Histoire de l'Église chrétienne report 1898-99, Persée",confirmed,"Saturday conference explicitly critically examined authenticity/origin of the Fourth Gospel and Johannine traditions, exactly corroborating Wilson's claim that Lovejoy frequently heard Réville on the Fourth Gospel","Extract Lovejoy letters and compare later historical-genealogical method without assuming direct influence"
1898-1899,primary_institutional,strict_core,Alfred Foucher Nyāya course,"EPHE Religions de l'Inde report 1898-99 p35, Persée",confirmed_context,"Same EPHE year as Lovejoy's active Marillier participation included detailed Indian logic: definition, causation, perception, inference, analogy, testimony/language and fallacies. Lovejoy attendance unproved","Keep as Paris Indian-philosophy ecology; search letters/course registrations for attendance"
1898-1899,primary_institutional,strict_core,Joseph Trumbull Stickney Sāṃkhya series from Garbe,"EPHE Religions de l'Inde report 1898-99 p35, Persée",confirmed_context,"Stickney delivered a series on Sāṃkhya according to Garbe in the same section/year, directly intersecting the live Sāṃkhya-Buddhism problem-field of 004/1898","Search Lovejoy-Stickney contact and course registrations; do not infer attendance"
1898-1899,primary_institutional,strict_core,Sylvain Lévi Bhagavad-Gītā conference,"EPHE Section historique et philologique Langue sanscrite report for 1898-99 pp65-67, Persée",confirmed_context,"Lévi's actual regular Sanskrit teaching during Lovejoy's Paris year included Bhagavad-Gītā explanation, with Stickney highly active","Use to clarify that desired Pāli-Buddhist course was absent from recovered regular offerings; search letters for private-reading details"
1898-1899,primary_institutional,strict_core,Sylvain Lévi Indian literature survey,"EPHE Section historique et philologique Langue sanscrite report for 1898-99 pp65-67, Persée",confirmed_context,"Lévi gave a continuous survey of major Indian works, passages and current scholarship for students; reconstructs exact Indianist curriculum around Lovejoy","Search registration lists/letters; keep attendance unresolved"
1874-1904,primary_biographical_context,strict_core,Joseph Trumbull Stickney identity,"BnF Catalogue; BnF Patrimoines Partagés",confirmed,"American student Joseph Trumbull Stickney was Lévi/Foucher's Sanskrit-Indian philosophy student, later source of Lévi's Bhagavad-Gītā translation; useful same-year American Indianist control","Search Stickney papers/Paris correspondence for Lovejoy; no direct relation yet"
1897-1898,primary_mission_context,strict_core,Sylvain Lévi Nepal manuscript acquisitions,"CRAI 1898 Barth/Senart reports, Persée",confirmed,"Lévi returned to Paris with rare Sanskrit/Buddhist manuscripts and copies, including Asaṅga's Sūtrālaṃkāra/Mahāyāna-Sūtrālaṃkāra; mission immediately precedes reported private reading with Lovejoy","Do not identify private texts by inference; use as candidate material field pending letters/archive"
1899-01-27,primary_mission_context,strict_core,Sylvain Lévi mission report to Académie,"CRAI 43.1 (1899) pp71-92, Persée",confirmed,"Lévi publicly reported his India/Japan mission in Paris during Lovejoy's year, showing recent Asian manuscript work was actively reintegrated into Paris scholarship","Read full report for teaching/private-reading clues"
1898-present,archive_primary_target,strict_core,Sylvain Lévi scientific archive,"Collège de France Bibliothèque d'études indiennes et centrasiatiques; Salamandre",confirmed_collection,"Official library description confirms S. Lévi scientific archives; part of manuscript/iconographic collection digitized. Public web inventory does not yet expose Lovejoy-level correspondence","Target enquiry: Lovejoy, American students, 1898-99 diaries/address books/private readings, Buddhist/Pāli teaching notes"
1898-1899,evidence_limit,strict_core,Lovejoy in French manuscript web indexes,"Salamandre; Calames; BnF; FranceArchives targeted public-index sweep",web_index_negative_only,"No Lovejoy-specific manuscript/correspondence hit surfaced in this round; not evidence of archival absence because relevant fonds-level Sylvain Lévi archive is confirmed","Proceed by fonds-level enquiry and JHU Wilson letters rather than treating web-index silence as negative evidence"
