packet_id,date,sender,recipient,repository,collection,locator,node_role,evidence_status,relationship_claim,relationship_not_claimed,next_action
PENSPKT001,1919-01-28,Harlan Fiske Stone,Arthur O. Lovejoy,Columbia University RBML,Harlan Fiske Stone Papers 1911-24,Box 37,recipient_side_personal_fonds_node,secondary_exact_item_box_primary_collection_confirmed,"dated Stone-Lovejoy node immediately before the Tyler/Stone-Lovejoy Box83 traffic","does not prove this letter caused or enclosed the 31 Jan Tyler-to-Stone document","retrieve Box37 item and collate with JHU Box83 sequence"
PENSPKT002,1919-01-31,Harry Walter Tyler,Harlan Fiske Stone,Johns Hopkins University,Arthur O. Lovejoy Papers MS-0038,Box 83,third_party_document_in_lovejoy_custody,secondary_exact_item_box_primary_collection_confirmed,"third-party AAUP/Committee P traffic preserved in Lovejoy's fonds; chronological bridge between Stone-Lovejoy and Tyler-Lovejoy documents","does not establish copy/forward/enclosure status or that Lovejoy saw it on 31 Jan","inspect material form and adjacent documents in Box83; search Stone B37 for reciprocal manifestation"
PENSPKT003,1919-02-01,Harry Walter Tyler,Arthur O. Lovejoy,Johns Hopkins University,Arthur O. Lovejoy Papers MS-0038,Box 83,direct_incoming_coordination_node,secondary_exact_item_box_primary_collection_confirmed,"Tiede uses the letter in describing Tyler's warning that Pritchett could exploit Cattell/Jastrow's over-strenuous criticism/excess zeal","exact manuscript wording and relation to 31 Jan Tyler-Stone letter remain unverified","retrieve and compare to Tiede narrative and 31 Jan document"
PENSPKT004,1919-02-21,Henry S. Pritchett,Harry Walter Tyler,Columbia University RBML,Carnegie Foundation for Advancement of Teaching Records,Box 42 Folder 1,organization_side_coordination_node,secondary_exact_folder_item_primary_collection_confirmed,"direct Foundation-to-AAUP secretary correspondence in the same TIAA dispute","does not prove response path or circulation to Lovejoy","retrieve full B42/F1 and trace enclosures/copies/annotations"
PENSPKT005,1919-02-28,Henry S. Pritchett,Eleven Members of Committee P,Columbia University RBML,Carnegie Foundation for Advancement of Teaching Records,Box 42 Folder 2,committee_distribution_node,secondary_exact_folder_item_primary_collection_confirmed,"formal distribution to Committee P members on the same date as Lovejoy's direct Pritchett correspondence","does not establish that the eleven-member circular and Lovejoy letter are textually identical or causally linked","identify recipients and compare packet contents with B42/F1 correspondence"
PENSPKT006,1919-02-28,Arthur O. Lovejoy,Henry S. Pritchett,Columbia University RBML,Carnegie Foundation for Advancement of Teaching Records,Box 42 Folder 1,direct_negotiation_node,secondary_exact_folder_item_primary_collection_confirmed,"Lovejoy-Pritchett direct exchange inside the organization-side policy file","same-date adjacency to Committee P distribution is not a duplicate or causal claim","retrieve both 28 Feb items and collate"
PENSPKT007,1919-03-05,Henry S. Pritchett,Arthur O. Lovejoy,Columbia University RBML,Carnegie Foundation for Advancement of Teaching Records,Box 42 Folder 1,direct_reply_node,secondary_exact_folder_item_primary_collection_confirmed,"dated reply in the Lovejoy-Pritchett sequence","does not establish that it answers every proposition in 28 Feb letter","collate 28 Feb/5 Mar as a paired exchange"
PENSPKT008,1919-03-06,Harlan Fiske Stone,Committee on Pensions and Insurance,Columbia University RBML,Carnegie Foundation for Advancement of Teaching Records,Box 42 Folder 1,committee_statement_node,secondary_exact_folder_item_primary_collection_confirmed,"Stone-to-committee intervention adjacent to Lovejoy/Pritchett exchange","does not establish authorship sharing or coordination language with Lovejoy","retrieve and compare with Stone B37 and Lovejoy letters"
PENSPKT009,1919-03-08,Arthur O. Lovejoy,Henry S. Pritchett,Columbia University RBML,Carnegie Foundation for Advancement of Teaching Records,Box 42 Folder 1,same_day_branch_A,secondary_exact_folder_item_primary_collection_confirmed,"one branch of Lovejoy's same-day outgoing correspondence","no assumption of shared wording with Stone letter","sentence-level compare with PENSPKT010"
PENSPKT010,1919-03-08,Arthur O. Lovejoy,Harlan Fiske Stone,Columbia University RBML,Harlan Fiske Stone Papers 1911-24,Box 37,same_day_branch_B,secondary_exact_item_box_primary_collection_confirmed,"second branch of Lovejoy's same-day outgoing correspondence in a different recipient fonds","same date does not prove same text or identical purpose","retrieve both 8 Mar letters and map audience-specific claim allocation"
