record_id,collection_id,series,component_title,description_level,box,folder,item,component_date_start,component_date_end,date_status,source_url,verification_status,reverse_fonds_status,notes
JHU0038C0001,MS-0038,Series 6 Correspondence,"G. W. Cunningham correspondence",item,73,12,4,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/archival_objects/221694,confirmed_exact_locator,not_run,"ArchivesSpace displays 1872-1963 only from the collection; this is not used as a component date."
JHU0038C0002,MS-0038,Series 6 Correspondence,"Kent Greenfield correspondence",item,75,1,8,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/archival_objects/221817,confirmed_exact_locator,not_run,"Exact item-level physical locator; component date not publicly supplied."
JHU0038C0003,MS-0038,Series 6 Correspondence,"Marjorie Grene correspondence",item,75,2,1,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/archival_objects/221819,confirmed_exact_locator,not_run,"Exact item-level physical locator; component date not publicly supplied."
JHU0038C0004,MS-0038,Series 6 Correspondence,"Franz Martin Joseph correspondence",item,77,5,1,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
JHU0038C0005,MS-0038,Series 6 Correspondence,"M. Bernadette Judge correspondence",item,77,5,2,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
JHU0038C0006,MS-0038,Series 6 Correspondence,"Walter Kahoe correspondence",item,77,5,3,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
JHU0038C0007,MS-0038,Series 6 Correspondence,"Ludwig Kast correspondence",item,77,5,4,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
JHU0038C0008,MS-0038,Series 6 Correspondence,"J. Paul Kaufman correspondence",item,77,5,5,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
JHU0038C0009,MS-0038,Series 6 Correspondence,"Fritz Kaufman correspondence",item,77,5,6,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
JHU0038C0010,MS-0038,Series 6 Correspondence,"F. B. Kaye correspondence",item,77,5,7,,,inherited_collection_date_excluded,https://aspace.library.jhu.edu/repositories/3/top_containers/16838?filter_fields%5B%5D=child_container_u_sstr&filter_values%5B%5D=folder+5,confirmed_exact_locator,not_run,"Recovered from official Box 77 Folder 5 container results."
