target_id,institution,object_or_series,date_scope,digital_status,what_is_confirmed,access_point,next_action,priority,notes
PAR-DIG-001,Archives nationales / EPHE,"EPHE first-century digitization project, FRAN_IR_061975",1868-1968,selected_material_digitized,"EPHE states that the 2021-2025 project digitized selected institutional records and three scholar fonds; registration registers and attendance lists are explicitly named as high-value institutional records; Sylvain Levi is one of the three scholar fonds represented",https://www.siv.archives-nationales.culture.gouv.fr/siv/IR/FRAN_IR_061975,"resolve component-level image-bearing nodes intersecting 1898-1899, especially Ve Section registration/attendance and Sylvain Levi material",1,"Project-level confirmation is secure; exact 1898-99 Lovejoy-bearing image has not yet been resolved."
PAR-DIG-002,Archives nationales / EPHE,"Ve Section institutional archives, scolarite block 20190568/185-368",1886-2005,online_finding_aid_and_selected_digitization,"EPHE inventory identifies the exact scolarite range; project documentation confirms that some institutional records were digitized",https://www.ephe.psl.eu/inventaire-des-archives-de-la-recherche,"map 1897-1900 components to unitids/cotes, then test which have digital objects in FRAN_IR_061975",1,"Do not infer that the entire scolarite block is digitized."
PAR-DIG-003,College de France / Salamandre,"Affiches et programmes de cours du College de France",1688-1900,digitized_collection,"Salamandre lists the entire course-poster/program collection through 1900 among its digitized collections",https://salamandre.college-de-france.fr/nos-collections-numerisees,"isolate 1898-1899 and chair Langue et litterature sanscrites; capture Sylvain Levi/Foucher substitution or resumed teaching wording and dates",1,"This can independently control the regular College de France offering during Lovejoy's Paris year."
PAR-DIG-004,College de France / Salamandre,"Registres des deliberations de l'assemblee des professeurs",1674-1950,digitized_collection,"Salamandre states that fifteen faculty-assembly minute registers from 1674 to 1950 are digitized",https://salamandre.college-de-france.fr/nos-collections-numerisees,"inspect 1897-1899 for Sylvain Levi mission leave, substitution, return, course resumption, scheduling, or related administrative notices",2,"Potentially decisive for explaining why the desired Pali-Buddhist course was unavailable; no relevant minute has yet been located."
PAR-DIG-005,College de France / Bibliotheque d'etudes indiennes,"Sylvain Levi scientific archive / manuscript collection",late_19th-20th_century,partial_digitization,"College de France confirms a Sylvain Levi scientific archive and states that part of the phototheque, audiovisual archives, and manuscripts from the Sylvain Levi collection are already online; Salamandre exposes an iconographic Levi fonds and multiple Nepalese/Indian manuscripts",https://www.college-de-france.fr/fr/bibliotheque-archives/bibliotheque-etudes-indiennes-et-centrasiatiques,"search digitized-only Salamandre results for 1898-1899 manuscripts, teaching material, annotations, correspondence or student traces; keep correspondence status unresolved unless an item is exposed",2,"Current online digitization is proven for some Levi materials, not for Lovejoy correspondence or appointment diaries."
PAR-DIG-006,Persée / EPHE,"Rapport sommaire, Ve Section, exercise 1898-1899",1898-1899,digitized_scan_and_text,"Persée exposes page images and searchable text for the annual report; Lovejoy's institutional participation and the parallel Indian-religions teaching environment are already recoverable digitally",https://www.persee.fr/issue/ephe_0000-0002_1898_num_12_8,"retain as primary published institutional control; collate against any newly found registration/attendance scan",1,"Published annual report is not a substitute for the underlying registration or attendance documents."
PAR-DIG-007,Persée / EPHE,"Annuaire, IVe Section, XV. Langue sanscrite",1898-1899,digitized_scan_and_text,"Persée exposes the 1899 Annuaire and the Sanskrit section authored by Sylvain Levi, Louis Finot and Edouard Specht",https://www.persee.fr/issue/ephe_0000-0001_1899_num_1_1,"extract exact teacher/substitution/course wording and compare with College de France program images",2,"Useful for reconstructing the personnel movements surrounding Levi's return from Asia."
PAR-DIG-008,Persée / Academie des Inscriptions et Belles-Lettres,"Sylvain Levi mission reports and notices",1897-1899,digitized_scan_and_text,"Persée provides contemporary mission notices and Levi's 1899 report; AGORHA dates the mission from 3 Oct 1897 to September 1898",https://www.persee.fr/doc/crai_0065-0536_1899_num_43_1_71335,"extract the latest secure travel/return anchors and compare with autumn 1898 course opening and Lovejoy's October/December letters",2,"May tighten the interval in which private reading with Levi became possible."
PAR-DIG-009,JSTOR / Google Books / BSB,"Marillier, La place du totemisme, RHR 36",1897,direct_digital_facsimile_confirmed,"JSTOR exposes the article pp.208-253 as stable 23661047 with Download/XML; Google Books has a digitized Volume 36",https://www.jstor.org/stable/23661047,"directly collate p.247 and p.250 against the later quotations used in Batch72",1,"This closes a previously explicitly pending facsimile-control task without archival travel."
PAR-DIG-010,JSTOR / Google Books / BSB,"Marillier, La place du totemisme, RHR 37 third article",1898,direct_digital_facsimile_confirmed,"JSTOR Volume 37 exposes the third article with Download/XML; full Volume 37 is digitized by BSB/Google Books",https://www.jstor.org/stable/i23657010,"collate pp.230-231 directly and replace Hubert-Mauss/secondary attribution with facsimile-controlled wording",1,"Exact article-level stable identifier should be captured during collation if the JSTOR item page resolves."
PAR-DIG-011,Johns Hopkins University,"MS-0873 Daniel J. Wilson transcriptions of Arthur O. Lovejoy letters",1872-1962,metadata_online_scan_unconfirmed,"JHU ArchivesSpace confirms the one-box collection, but no public digital object for the 17 Oct, 1 Dec, 5 Dec 1898 transcriptions surfaced in the current online layer",https://aspace.library.jhu.edu/,"continue searching external copies/citations; otherwise make a targeted reproduction request for the three 1898 transcriptions",3,"Treat as scan-unconfirmed, not as definitely undigitized."
PAR-DIG-012,Uppsala University Library / Alvin,"Nathan Soderblom archive and 1894-1901 notebooks",1894-1901,parent_archive_non_digital,"Alvin marks the parent archive Non digital and identifies overlapping diary/notebook groups; metadata/finding aids are online",https://alvin-portal.org/alvin/view.jsf?pid=alvin-record:13019,"search individually catalogued correspondence for Marillier/Paris/EPHE and digital=true; notebooks remain a targeted digitization request unless a child object appears",3,"Electronic metadata is useful, but the crucial notebooks are not currently exposed as scans."
