packet_id,date_or_period,repository,collection_id,series_or_context,box,folder,record_title_or_statement,relation_to_lovejoy_gap,evidence_status,interpretive_limit,next_action,source_url
SS109001,1941,Smithsonian Institution Archives,RU7091,Series 5 Editorial Correspondence,228,6,"Correspondence Has - Haz, 1941. Correspondence He - Sg for 1941 is missing.","directly blocks ordinary annual Lovejoy alphabetic test because Lovejoy falls within He-Sg",official_finding_aid,"proves missing expected filing segment, not existence or loss of any Lovejoy document","inspect B230/F1 note and accession/processing records; do not infer lost Lovejoy correspondence",https://siarchives.si.edu/collections/siris_arc_217249
SS109002,1941,Smithsonian Institution Archives,RU7091,Series 5 Editorial Correspondence,230,1,"Note on missing 1941 folders","internal archival/office note potentially explaining scope or history of 1941 gaps",official_finding_aid_title_only,"public guide exposes the note title but not its contents; no cause for the losses can yet be assigned","request/digitize B230/F1 before any causal interpretation of 1941 missing folders",https://siarchives.si.edu/collections/siris_arc_217249
SS109003,1941,Smithsonian Institution Archives,RU7091,Series 5 Editorial Correspondence,230,2,"Correspondence U, 1941. Correspondence T for 1941 is missing.","demonstrates 1941 loss pattern extends beyond Lovejoy's He-Sg interval",official_finding_aid,"supports broader series-level disruption only; unrelated alphabetic loss does not explain Lovejoy gap cause","collate with B230/F1 note",https://siarchives.si.edu/collections/siris_arc_217249
SS109004,1941,Smithsonian Institution Archives,RU7091,Series 5 Editorial Correspondence,230,4,"Correspondence W - Wa, 1941. Correspondence Wam - War for 1941 is missing.","additional 1941 missing segment outside Lovejoy interval",official_finding_aid,"shows multiple discontiguous losses; cause unknown","collate with B230/F1 note and processing history",https://siarchives.si.edu/collections/siris_arc_217249
SS109005,1941,Smithsonian Institution Archives,RU7091,Series 5 Editorial Correspondence,230,5,"Correspondence We - Wg, 1941. Correspondents include H.G. Wells. Correspondence Wa - Weav for 1941 is missing.","additional 1941 missing segment outside Lovejoy interval",official_finding_aid,"multiple gaps make a single isolated Lovejoy-range anomaly unlikely as a description pattern, but do not establish a historical cause","collate with B230/F1 note and processing history",https://siarchives.si.edu/collections/siris_arc_217249
SS109006,1940-1941,Smithsonian Institution Archives,RU7091,Series 5 transition,223,4,"Correspondence A - Al, 1941 ... Correspondence Ro - Z for 1940 is missing.","neighboring-year preservation control; 1940 explicit Lovejoy folder Li-L survives while a later alphabetic span does not",official_finding_aid,"demonstrates preservation loss also occurs outside 1941; does not affect known 1940 Lovejoy positive component","retain as control when interpreting whether 1941 gaps are exceptional",https://siarchives.si.edu/collections/siris_arc_217249
SS109007,spring 1941,Smithsonian Institution Archives,RU7091,Historical Note,,,,"Science Service purchased its own building at 1719 N Street N.W. after wartime pressure on space at the National Academy of Sciences building","same-year administrative relocation context potentially relevant to file movement",official_finding_aid_historical_note,"temporal coincidence only; no evidence presently links the move to missing correspondence folders","inspect B230/F1 plus move-related administrative files before testing relocation hypothesis",https://siarchives.si.edu/collections/siris_arc_217249
SS109008,1941,Smithsonian Institution Archives,RU7091,Series 1 organization/admin,5,4,"Information memorandum to trustees, 1941; information on purchase and renovation of Science Service building at 1719 N Street N.W.","primary administrative context for the same-year relocation",official_finding_aid,"not evidence of archival loss by itself","request with B230/F1 to test whether records transfer/filing changes are mentioned",https://siarchives.si.edu/collections/siris_arc_217249
SS109009,1941,Smithsonian Institution Archives,RU7091,Series 1 organization/admin,5,5,"Annual meeting of trustees, May 1, 1941","same-year governance context around building purchase/move",official_finding_aid,"meeting folder may or may not discuss records relocation; no assumption","inspect only as supporting administrative packet if B230/F1 suggests move-related explanation",https://siarchives.si.edu/collections/siris_arc_217249
SS109010,1941,Smithsonian Institution Archives,RU7091,Series 5 editorial/admin,242,4,"Science Service invitations, 1941; invitations to October 29 open house in new building","confirms new-building transition continued through 1941",official_finding_aid,"does not establish when files moved or why gaps exist","use as chronology control only",https://siarchives.si.edu/collections/siris_arc_217249
SS109011,1941,Smithsonian Institution Archives,RU7091,Series 5 editorial/admin,229,8,"Staff memos, 1941","surviving same-year office-file class that may preserve filing/move instructions",official_finding_aid,"content unknown; not a preservation explanation yet","search for filing, transfer, cabinet, move, N Street, missing folders, correspondence",https://siarchives.si.edu/collections/siris_arc_217249
