source_file,source_batch,source_row,source_field_count,record_id,country,repository,collection_title,collection_id,series_path,component_title,description_level,date_start,date_end,extent,lovejoy_role,other_party,box,folder,item_or_folio,source_status,verification_status,source_url,notes,source_overflow_1
archive_index/lovejoy_global_archive_component_batch90_delta.csv,90,2,20,GLA0029,US,University of Pennsylvania University Archives and Records Center,Loren Corey Eiseley Papers,UPT 50 E36,Inventory: Books,"Lovejoy, Arthur O. The Great Chain of Being ... Idea.",archival_book_entry,,,unknown,author_of_preserved_book,Loren Corey Eiseley,73,,,official_finding_aid,confirmed_exact_box,https://findingaids.library.upenn.edu/records/UPENN_ARCHIVES_PU-AR.UPT50E36,"The official Eiseley inventory places this Lovejoy title in Box 73 among the collection's books. This proves archival survival of a copy in the Eiseley papers/collection; it does not by itself prove when Eiseley acquired or read it, whether he annotated it, or which edition/copy-specific features it has.",
archive_index/lovejoy_global_archive_component_batch90_delta.csv,90,3,20,GLA0030,US,Johns Hopkins University Ferdinand Hamburger Jr. Archives,,,Bertrand Russell lecture planning,"Lovejoy, Department of Philosophy, on proposed Bertrand Russell lecture at Johns Hopkins",catalogued_external_letter,,,1 letter,author,recipient unresolved; Bertrand Russell is subject of proposed invitation,,,,specialized_correspondence_catalogue,confirmed_document_primary_custody_named_current_container_pending,https://bracers.mcmaster.ca/bracers-notes?page=1211,"BRACERS record 121122 explicitly summarizes a Lovejoy letter saying the Philosophy Department wanted Russell to lecture on technical philosophy and that Lovejoy would not agree to a lecture on war because Russell's views were of an 'ultra-pacifist character'; BRACERS states that the letter is from the Ferdinand Hamburger Jr. Archives at Johns Hopkins. Exact date, recipient, collection identifier and current container are not exposed in the indexed BRACERS note and remain retrieval targets.",
archive_index/lovejoy_global_archive_component_batch95_delta.csv,95,2,20,GLA0031,US,Purdue University Archives and Special Collections,Edward C. Elliott papers,UA 50,,Lovejoy / Edward C. Elliott and Montana-case correspondence,correspondence_document_group,1915-10-09,1916-09-11,at least 7 specifically cited Lovejoy-related documents,correspondent,Edward C. Elliott; Sam V. Stewart,8,,,scholarly_exact_item_citations_plus_official_collection_confirmation,confirmed_specific_documents_partial_box_precision,https://archives.lib.purdue.edu/repositories/2/resources/1107,"Hans-Joerg Tiede cites Lovejoy to Elliott 9 Oct 1915 explicitly to Elliott Papers Box 8, plus Lovejoy to Elliott 25 Oct 1915; Lovejoy to Sam V. Stewart 1 Nov 1915; Lovejoy to Elliott 17 and 24 Jan 1916; Elliott to Lovejoy 21 Jan and 11 Sep 1916. Only the 9 Oct citation is explicitly tied to Box 8 in the published note, so Box 8 is not projected onto the other documents. Purdue's official finding aid confirms UA 50, its correspondence content, and University of Montana material.",
archive_index/lovejoy_global_archive_component_batch95_delta.csv,95,3,20,GLA0032,US,Library of Congress Manuscript Division,William Edward Dodd Papers,MSS18697,General Correspondence,"Arthur O. Lovejoy to William E. Dodd, 12 July 1915",item,1915-07-12,1915-07-12,1 letter,sender,William Edward Dodd,,,,scholarly_exact_item_citation_plus_official_collection_confirmation,confirmed_specific_document_container_pending,https://findingaids.loc.gov/repositories/19/resources/4521,Carol S. Gruber cites this exact dated Lovejoy-to-Dodd letter to the Dodd Papers. The current Library of Congress finding aid confirms MSS18697 and General Correspondence but does not expose a Lovejoy child/container in the public index.,
archive_index/lovejoy_global_archive_component_batch95_delta.csv,95,4,20,GLA0033,US,University of Oklahoma Libraries Western History Collections,William A. Schaper Collection,,,Lovejoy-Schaper correspondence on the Minnesota dismissal,correspondence_document_group,1917-12-04,1917-12-11,at least 2 specifically cited letters,correspondent,William A. Schaper,,,,scholarly_exact_item_and_collection_citations_plus_official_repository_confirmation,confirmed_specific_documents_container_pending,https://libraries.ou.edu/content/western-history-collections,"Gruber cites Arthur O. Lovejoy to Schaper, 4 Dec 1917, and Schaper to Lovejoy, 11 Dec 1917, in the William A. Schaper Collection, Western History Collections, University of Oklahoma Library. Her discussion says Lovejoy was reconstructing what had transpired and quotes Schaper's answer to Lovejoy's question about German success. Current public ArchivesSpace access is robot-blocked, so modern collection identifier and physical container remain unresolved.",
archive_index/lovejoy_global_archive_component_batch95_delta.csv,95,5,20,GLA0034,US,University of Minnesota Archives,Presidents' Papers,,,Lovejoy to M. L. Burton on the Schaper case,correspondence_document_group,1917-11-08,1917-12-18,3 specifically cited letters,sender,M. L. Burton,,,,scholarly_exact_item_and_collection_citations_plus_official_repository_confirmation,confirmed_specific_documents_modern_collection_locator_pending,https://www.lib.umn.edu/collections/special/uarchives,"Gruber cites Lovejoy to M. L. Burton dated 8 Nov, 4 Dec and 18 Dec 1917 in the Minnesota Presidents' Papers. The historical collection title is secure from her archival bibliography and notes, but the modern series/call number and physical containers have not yet been recovered from the current public interface.",
archive_index/lovejoy_global_archive_component_batch95_delta.csv,95,6,20,GLA0035,US,Cornell University Library Division of Rare and Manuscript Collections,American Association of University Professors records,11-8-mf.33,AAUP 1913-18 case and chronological files,Lovejoy correspondence in Brewster and University of Montana case files,correspondence_document_group,1915-08-05,1915-12-24,at least 10 specifically cited Lovejoy-related documents in sampled notes,correspondent_and_committee_member,E. R. A. Seligman; Charles Kofoid; Brewster; Frederick Padelford,,,Brewster Case; University of Montana Folders 2-3,scholarly_exact_folder_and_item_citations_plus_official_collection_confirmation,confirmed_specific_documents_folder_titles_reel_or_container_pending,https://aspace3-test.library.cornell.edu/repositories/resources?field%5B%5D=title&filter_fields%5B%5D=published_agents&filter_values%5B%5D=American+Association+of+University+Professors&from_year%5B%5D=&limit=resource&op%5B%5D=&q%5B%5D=%2A&sort=title_sort+asc&to_year%5B%5D=,"Cornell's current ArchivesSpace result confirms collection 11-8-mf.33, 1913-1918. Tiede cites, among others, Lovejoy to Brewster 16 Aug 1915 in 'Brewster Case'; Lovejoy to Seligman 5 and 21 Aug 1915; Lovejoy to Seligman 11 Sep 1915 in 'Montana Case, Folder 2'; Charles Kofoid to Lovejoy 25 Oct; Lovejoy to Seligman 29 Oct; Lovejoy to Kofoid and Kofoid to Lovejoy 12 Nov in 'University of Montana, Folder 2'; Lovejoy to Kofoid 8 Dec and Frederick Padelford to Lovejoy 24 Dec in Folder 3. Count is a lower bound from sampled explicit citations, not a folder extent.",
archive_index/lovejoy_global_archive_component_batch95_delta.csv,95,7,20,GLA0036,US,George Washington University Special Collections Research Center,American Association of University Professors archives,,Committee A on Academic Freedom and Tenure Case Files 1915-74 / Montana File,Lovejoy-related Montana investigation correspondence,case_file_presence,1915-10-27,1916-11-15,at least 4 specifically cited Lovejoy-related documents; file contains additional unenumerated letters,correspondent_and_committee_member,Sam V. Stewart; Guido Marx; E. R. A. Seligman; Members of Montana Committee,,,Montana File,scholarly_exact_case_file_and_item_citations_plus_official_archive_presence,confirmed_case_file_document_presence_current_call_number_container_pending,https://www.aaup.org/about/history/aaup-archives,"Tiede cites Sam V. Stewart to Lovejoy 27 Oct 1915; Lovejoy to Guido Marx 6 Sep 1916; Lovejoy's unsent letter to Members of the Montana Committee 30 Oct 1916; and Lovejoy to Seligman 15 Nov 1916 to the AAUP Archives (GWU), Committee A case files, 'Montana File', and notes that additional related letters form a significant percentage of the investigative file. Exact GWU collection/call number and box/folder remain to be recovered.",
archive_index/lovejoy_global_archive_component_batch96_delta.csv,96,2,20,GLA0037,US,Columbia University Rare Book and Manuscript Library,"Edwin Robert Anderson Seligman Papers, 1750-1939",,Cataloged Correspondence / Uncataloged Correspondence 1913-14 / Academic Freedom,Lovejoy-related academic-freedom correspondence in Seligman Papers,correspondence_document_group,1915-03-24,1915-06-24,at least 5 specifically cited Lovejoy-related letters,sender_or_correspondent,John Dewey; Edwin R. A. Seligman; Van Cott,,,named internal folders,scholarly_exact_item_and_folder_citations_plus_primary_collection_confirmation,confirmed_specific_documents_box_locator_pending,https://anurao.sandbox.library.columbia.edu/items/show/6,"Tiede specifically cites Lovejoy to Dewey 24 Mar 1915 in 'Cataloged Correspondence, 1913-14'; Lovejoy to Dewey 27 Apr 1915 and Lovejoy to Seligman 12 and 21 Jun 1915 in 'Uncataloged Correspondence, 1913-14'; and Lovejoy to Van Cott 24 Jun 1915 in 'Academic Freedom'. Columbia primary evidence independently confirms the Edwin Robert Anderson Seligman Papers at RBML. Exact box/container numbers for these five items remain unresolved. A separate Batch96 conflict record quarantines the 24 Oct 1916 direction inconsistency in Tiede's notes.",
archive_index/lovejoy_global_archive_component_batch96_delta.csv,96,3,20,GLA0038,US,Wisconsin Historical Society / State Historical Society of Wisconsin,Richard T. Ely Papers,,Microfilm edition,"Arthur O. Lovejoy to Richard T. Ely, 29 June 1915",item,1915-06-29,1915-06-29,1 specifically cited letter,sender,Richard T. Ely,,,Reel 52,scholarly_exact_item_and_reel_citation_plus_official_microfilm_edition_confirmation,confirmed_reel_item_original_container_pending,https://www.archives.gov/nhprc/projects/catalog/richard-ely,"Tiede cites Lovejoy to Ely, 29 Jun 1915, Richard T. Ely Papers (microfilm), Reel 52. The National Archives NHPRC catalog independently confirms the State Historical Society of Wisconsin microfilm edition, 191 reels with a 78-page guide. The original manuscript box/folder underlying Reel 52 has not yet been mapped.",
