map_id,year,collection_id,series_path,box,folder,folder_title,evidence_class,lovejoy_name_explicit,lovejoy_expected_alphabetically,preservation_status,interpretation,next_action,source_url
SSOP001,1927,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",87,2,"Correspondence Li - Ly, 1927",explicit_folder_name_presence,yes,yes,survives,"Positive Lovejoy presence already recorded as GLA0047; this row anchors the later opportunity map.",inspect full folder item by item,https://siarchives.si.edu/collections/siris_arc_217249
SSOP002,1928,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",97,1,"Correspondence Li - Ly, 1928",explicit_folder_name_presence,yes,yes,survives,"Positive Lovejoy presence already recorded as GLA0048.",inspect full folder item by item,https://siarchives.si.edu/collections/siris_arc_217249
SSOP003,1929,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",105,1,"Correspondence Li - Ly, 1929",explicit_folder_name_presence,yes,yes,survives,"Positive Lovejoy presence already recorded as GLA0049.",inspect full folder item by item,https://siarchives.si.edu/collections/siris_arc_217249
SSOP004,1930,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",116,2,"Correspondence Lo - L, 1930",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Lovejoy falls inside the folder's alphabetical span, but the edited description names other correspondents and does not name Lovejoy. This is an exact physical search opportunity, not evidence of Lovejoy presence or absence.",inspect B116/F2 for Lovejoy and record any item-level hits or a physical negative result,https://siarchives.si.edu/collections/siris_arc_217249
SSOP005,1931,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",127,1,"Correspondence Ll - Ly, 1931",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; public edited description does not single out Lovejoy.",inspect B127/F1,https://siarchives.si.edu/collections/siris_arc_217249
SSOP006,1932,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",137,8,"Correspondence Li - L, 1932",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; public edited description names Mark H. Liddell but not Lovejoy. Edited-name silence is not a negative item inventory.",inspect B137/F8,https://siarchives.si.edu/collections/siris_arc_217249
SSOP007,1933,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",147,8,"Correspondence Li - L, 1933",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; public description names Alfred L. Loomis but not Lovejoy.",inspect B147/F8,https://siarchives.si.edu/collections/siris_arc_217249
SSOP008,1934,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",156,3,"Correspondence Li - L, 1934",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; the finding aid exposes no Lovejoy name at folder-description level.",inspect B156/F3,https://siarchives.si.edu/collections/siris_arc_217249
SSOP009,1935,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",166,5,"Correspondence Li - L, 1935",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; no Lovejoy name is exposed in the edited folder description.",inspect B166/F5,https://siarchives.si.edu/collections/siris_arc_217249
SSOP010,1936,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",176,1,"Correspondence Li - L, 1936",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; no Lovejoy name is exposed in the edited folder description.",inspect B176/F1,https://siarchives.si.edu/collections/siris_arc_217249
SSOP011,1937,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",186,7,"Correspondence Leo - L, 1937",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Lovejoy falls in Leo-L. The later finding-aid statement that the remainder of 1937 correspondence is missing occurs after this surviving L-range container and does not negate this exact search opportunity.",inspect B186/F7,https://siarchives.si.edu/collections/siris_arc_217249
SSOP012,1938,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",198,5,"Correspondence Lo - L, 1938",alphabetic_candidate_container_not_positive_presence,no,yes,survives,"Exact alphabetic candidate container; edited description does not name Lovejoy.",inspect B198/F5,https://siarchives.si.edu/collections/siris_arc_217249
SSOP013,1939,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",210,1,"Correspondence J, 1939; Correspondence K - Smi for 1939 is missing",repository_declared_missing_range,no,yes,missing,"Lovejoy falls inside K-Smi. Presence/absence cannot be tested from the missing run; this is GAP0001, not a negative hit.",trace transfer/provenance and related accessions; do not infer a lost Lovejoy item,https://siarchives.si.edu/collections/siris_arc_217249
SSOP014,1940,"Record Unit 7091","Series 5 Editorial Correspondence of the Director and Senior Staff",219,8,"Correspondence Li - L, 1940",explicit_folder_name_presence,yes,yes,survives,"Positive Lovejoy presence already recorded as GLA0050.",inspect B219/F8 and identify exact Lovejoy documents,https://siarchives.si.edu/collections/siris_arc_217249
