case_id,source,date_or_range,locus,attributed_voice,shared_object_or_observation,blocked_or_unfinished_inference,resisting_relation_or_counterevidence,publication_or_later_outcome,outcome_class,evidence_status,caution
004_01,MS38_004,c.1897-1898,PDF 4-5 / MS 8-9,Garbe excerpt copied by Lovejoy,Indian systems distinguish perception inference and testimony,These categories directly caused Lovejoy's mature method,Copied presentation rather than demonstrated direct conceptual transmission,Not demonstrably retained as an independent methodological declaration,mediated_background,direct manuscript,Attribute wording to Garbe rather than Lovejoy
004_02,MS38_004,c.1897-1898,PDF 16 / MS 61,Lovejoy working outline,Buddhism declines four logically possible assertions,A complete positive doctrinal statement follows from recorded refusals,Unfinished numbered line and question mark after possible causeless origin,Full outline does not appear in 1898,unfinished_not_published,direct manuscript,Do not infer psychological failure
004_03,MS38_004,c.1897-1898,PDF 17 / MS 63,Rhys Davids excerpt followed by Lovejoy intervention,Buddhist passages resemble features associated with Sāṃkhya,Resemblance proves the complete later Sāṃkhya system already existed,Lovejoy asks which feature is sufficiently specific to diagnose a stronger historical relation,Broad system-scale discussion omitted from 1898,scope_compression,direct manuscript,Rhys Davids owns the opening complete-system objection
004_04,MS38_004,c.1897-1898,PDF 18 / MS 65,Lovejoy authorial qualification,Buddhist teachers decline certain speculative questions,Refusal necessarily proves merely practical philosophical agnosticism,Objection may concern the form of the questions while salvation remains based on insight,1898 condenses the issue; Great Chain 97 reduces it to refusal of speculative questions,later_typological_flattening,direct manuscript,Do not claim the early notebook denies practical concerns
004_05,MS38_004,c.1897-1898,PDF 22 / MS 75,Lovejoy responding to Warren,Desire and attachment are closely related in dependent origination,Related terms are therefore identical,Four attachments and six kinds of desire require a relation more specific than identity,1898 126-129 retains the dispute and redescribes attachment through psychological vocabulary,retained_and_redescribed,direct manuscript,The will terminology is Lovejoy's interpretation
004_06,MS38_004,c.1897-1898,PDF 27 / MS 85,Lovejoy working classification,Doctrinal terms participate in multiple classifications,One exhaustive linear sequence captures all relations,Cross-classification places the same object in more than one arrangement,Full diagrammatic structure omitted in 1898,diagrammatic_surplus,direct manuscript,Do not infer order of composition from diagram alone
004_07,MS38_004,c.1897-1898,PDF 32 / MS 95,Lovejoy working outline,Some doctrinal links form groups and some orders can be inverted,Every link has the same strict sequential relation,Reversible segments coexist with an indivisible grouped sequence,1898 130 rejects strict temporal sequence but uses a three-life explanatory scheme,selective_narrative_compression,direct manuscript,Classification and temporal succession are distinct axes
004_08,MS38_004,c.1897-1898,PDF 37 / MS 107,Lovejoy notes on Milinda,A causal sequence does not exhibit an obvious ultimate starting point,The sequence must disclose a single recoverable historical or logical beginning,The ultimate point remains unavailable in the cited discussion,Not separately elaborated in 1898,unresolved_not_published,direct manuscript,Do not turn a local causal problem into a global chronology thesis
004_09,MS38_004,c.1897-1898,PDF 41-42 / MS 121-123,Lovejoy diagram and qualification,Viññāṇa and nāmarūpa stand in more than one relation,Temporal antecedence and logical inclusion must coincide,Temporally question-marked antecedence coexists with logical subdivision,1898 130 partially retains non-strict sequence but drops the full diagram,partial_retention,direct manuscript,Preserve the question mark after temporally
004_10,MS38_004,c.1897-1898,PDF 45 / MS 129,Lovejoy classificatory note,A scheme contains fifty-two divisions,The divisions are mutually exclusive and collectively form one clean taxonomy,The notebook expressly says the divisions are not mutually exclusive,Complete taxonomy not published in 1898,diagrammatic_surplus,direct manuscript,Nonexclusive classification is not a complete theory of primitive
004_11,MS38_004 and JAOS article,c.1897-1898,PDF 49 / MS 137; 1898 127-132,Lovejoy responding to Senart,The formula may contain borrowed heterogeneous and historically composite elements,Composite provenance proves accidental order or present unintelligibility,Arrangement and application may be original and characteristic despite borrowed terms or ideas,1898 preserves and sharpens the objection,retained_as_argument,direct manuscript and published article,Senart also used historical filiation; disagreement concerns inference
004_12,JAOS article,1898,printed 128-129,Lovejoy drawing on Buddhist interpretation,Skandhas and attachment can be linked causally,Causation must run in only one direction,Both interpretations can be accepted across successive contexts,Published article retains reciprocal explanatory possibilities,friction_preserved,direct published article,Do not erase the role of Buddhist commentary
004_13,MS38_004 and JAOS article,c.1897-1898,PDF 68 / MS 177; 1898 131-132,Lovejoy outline and published redescription,Sensation psychology and khandhas are present in Buddhism,Historically derived components cannot be central to present doctrinal functioning,Historical derivation and current structural importance are different predicates,Original-versus-derived outline omitted while functional centrality is retained,axis_reallocation,direct manuscript and published article,Derived does not mean insignificant
004_14,MS38_004 and JAOS article,c.1897-1898,PDF 61-62 / MS 163-165; PDF 66 / MS 173; 1898 134-136,Lovejoy confronting competing passages,Two etymologies and competing nirvana interpretations remain available,Etymological possibility alone settles actual usage or doctrine,Observed use and contrary passages leave the question not finally settled,1898 explicitly publishes remaining uncertainty,uncertainty_formalized,direct manuscript and published article,Do not describe publication as uniformly smoothing uncertainty
005_01,MS38_005,composite; includes 1905,PDF 42,composite teaching notes,The sequence includes O.T. Greek primitive N.T. and Persian materials,Primitive is reserved exclusively for non-European living societies,Greek primitive marks an early layer within a classical tradition,No direct literal draft relation to 1906 established,category_counterexample,direct manuscript,Notebook voices and dates are heterogeneous
005_02,MS38_005,composite; includes 1905,PDF 11 and 14-20,composite teaching notes,Postmortem destinations differ across cases,Different outcomes automatically indicate a uniform moral-retribution doctrine,Death type kinship ritual status social rank and contact provide different mechanisms,1906 shares mechanism-discrimination concerns without proven page-to-page derivation,mechanism_plurality,direct manuscript and secondary clean summaries,Do not assign the argument uniquely to Lovejoy
005_03,MS38_005,composite; includes 1905,PDF 64-71,composite teaching notes,Ritualized death and mixed ceremonial motives are reported,Ritual form automatically establishes sacrifice or a single origin,Rainmaker killing may punish failed performance and motives can be mixed,1906 abstracts a transferable-efficacy hypothesis from a broader mechanism field,mechanism_plurality,direct manuscript and secondary clean summaries,Teacher or source authorship may intervene
005_04,MS38_005,composite; includes 1905,PDF 72-80 and 118,composite teaching notes,Retainers or companions are killed in funerary settings,Funerary killing necessarily establishes sacramental communion,Provision service communication status and propitiation remain possible,Not reducible to one verified 1906 draft source,mechanism_plurality,direct manuscript and secondary clean summaries,Do not claim exhaustive motive classification
005_05,MS38_005,composite; includes 1905,PDF 84-90 and 119,composite teaching notes,Blood body parts charms and objects display attributed efficacy,Every efficacious object contains a personal spirit or constitutes a sacrifice,Transferable intrinsic efficacy differs from fetish inhabitation and communion,1906 selects impersonal communicable efficacy as a cross-regional hypothesis,selective_theoretical_abstraction,direct manuscript and secondary clean summaries,Shared problem ecology does not prove direct manuscript dependence
005_06,MS38_005,composite; includes 1905,PDF 94-103,composite teaching notes,Divinities and ritual systems display multiple overlapping forms,Political hierarchy or a fixed agricultural sequence explains every genealogy,Combined local ancestral and natural divinities plus regional counterexamples complicate the sequence,No single uniform developmental account follows,developmental_friction,direct manuscript and secondary clean summaries,Notebook also contains evolutionary reconstructions elsewhere
005_07,MS38_005,composite; includes 1905,PDF 106-117,composite teaching notes,Cannibalism initiation and bodily injury appear in regulated ceremonies,Shared outward ceremony proves sacrificial origin or communion,Hunger revenge affection transfer purification and incorporation differ in function,1906's transferable-force model covers some cases but not every motive,mechanism_plurality,direct manuscript and secondary clean summaries,Do not convert course notes into Lovejoy's published doctrine
1906_01,Fundamental Concept article,1906,printed 359 362 and 377,Lovejoy,Languages and customs may attest impersonal transferable power,A proposed cause is proven solely by the same customs it explains,Vera causa requires lexical or other independent support before explanatory use,Methodological constraint remains explicit despite uneven regional evidence,evidence_constraint,prior direct-primary collation recorded in repository,Independent evidence is not equally strong in every region
1906_02,Fundamental Concept article and William Jones source,1905-1906,Lovejoy 371 and 379-382; Jones local study,William Jones and Lovejoy,Local vocabulary supports impersonal transferable properties,Local lexical evidence alone proves universally regular causal laws,Jones limits scope and retains irregular-rule qualifications while Lovejoy expands theoretical jurisdiction,Primitive Energetics generalizes beyond Jones's independently demonstrated conclusions,interpretive_authority_reallocated,prior direct-primary collation recorded in repository,The two regularity statements may concern different propositions
1906_03,Fundamental Concept article and Codrington source,1891-1906,Lovejoy 372-373,Codrington and Lovejoy,Mana is associated with transferable effective power,Mana is wholly independent of personal beings,Codrington states that originating power essentially belongs to personal beings,Lovejoy retains adverse evidence while emphasizing efficacy and transfer,adverse_evidence_reweighted,prior direct-primary collation recorded in repository,Do not claim the personal-origin sentence was deleted
1906_04,Fundamental Concept article,1906,printed 374-377,Lovejoy handling Yao and Maasai sources,Multiple African materials describe religious power,Every regional source supports impersonal force equally,Yao grammatical evidence contrasts with Maasai prayer to a personal deity,Lovejoy qualifies regional extrapolation while preserving a broader hypothesis,asymmetric_triangulation,prior direct-primary collation recorded in repository,Source attribution and regional evidence require separate verification
1902_01,Religion and the Time-Process,1902,printed 442-443 and surrounding comparisons,Lovejoy,Buddhism and Platonism or Aristotle and Vedānta exhibit real affinities,Structural resemblance automatically proves identity or historical borrowing,Independent transmission evidence and internal historical development must be assessed,1898 is self-cited while the scale of comparison expands,continuity_with_scale_change,prior direct-primary collation recorded in repository,Self-citation proves topic linkage rather than complete method continuity
