claim_id,claim,source_1,source_2,source_3,assessment,status_or_limit
HC119-01,"Harvard intended Russell to teach during the second half of 1916-17","Harvard Crimson 1916-02-24 provisional course announcement","Harvard Crimson 1916-04-12 final course announcement","BRACERS 3597 Woods offer",high_confidence,"Curricular/public planning is clear; exact formal appointment instrument and approval date still need Harvard Corporation/catalogue records."
HC119-02,"The Harvard plan included both technical philosophy/logic and ethically or socially oriented teaching","BRACERS 3597: symbolic logic or theory of knowledge plus ethics with social/international applications","Harvard Crimson 1916-02-24: Social Psychology and Ethics + Advanced Logic","Harvard Crimson 1916-04-12: Contemporary Ethical and Social Problems; Advanced Logic remains in curriculum",high_confidence,"Course labels shift between provisional and final announcements; do not assume all labels describe one unchanged contract."
HC119-03,"British authorities blocked Russell's travel to the United States in connection with the Harvard engagement","BRACERS 122555: Samuel says no passport should issue","BRACERS 122592: no passport will be issued; inform President of Harvard","Harvard Crimson 1916-09-22: government restrictions prevent Russell coming",very_high_confidence,"Decision outcome is multiply attested across British administrative-copy catalogue and Harvard public reporting."
HC119-04,"The state treated Russell's contemplated U.S. journey as a Home Office/Foreign Office matter","BRACERS 122554: Grey's office informs Samuel of planned U.S. travel","BRACERS 122555: Samuel replies on passport","BRACERS 122592: notification to inform Harvard President",very_high_confidence,"Exact dates and current TNA item numbers remain unresolved."
HC119-05,"The passport refusal was justified by British officials in terms of risk that Russell would continue anti-war/anti-British propaganda in a neutral country","BRACERS 122551 Samuel response","Hansard 1916-10-19 statement quoted on 1916-11-28","Hansard 1916-11-28 government defence of restrictions",high_confidence_as_official_rationale,"This establishes rationale asserted by officials, not the truth of the underlying allegations against Russell."
HC119-06,"Russell was asked for an undertaking not to engage in anti-British propaganda in America and refused","Hansard quotation of Samuel's 1916-10-19 statement","Hansard 1916-11-28 Trevelyan denial","No direct undertaking document yet recovered",contested,"Must remain unresolved pending archival document; contemporary parliamentary record contains direct contradiction."
HC119-07,"Russell himself applied for the passport","Hansard 1916-11-28 Trevelyan says he did not and Harvard made the request","BRACERS 122554-55 describe contemplated travel/passport opinion but do not expose applicant field in public Notes","BRACERS 122592 records decision/notification rather than application",unresolved,"Do not write 'Russell applied and was refused' until application or request document is recovered. Safer: British authorities refused permission/passport for the Harvard journey."
HC119-08,"The intercepted 30 July Russell-to-Woods letter and the Harvard passport refusal were the same administrative act","Batch118 BRACERS 57120/122538/122539 interception chain","Batch119 BRACERS 122554/122555/122592 mobility chain","Different document functions and control mechanisms",false_conflation_to_avoid,"They belong to one transatlantic episode but must remain analytically distinct: message transmission control versus person mobility control."
HC119-09,"Lovejoy participated in the Harvard appointment or passport decision","GLA0030 / BRACERS 121122 is Johns Hopkins-specific","No Harvard or British administrative source in this batch names Lovejoy","Parallel 1916 institutional chronology only",unsupported,"Keep Lovejoy as a Hopkins anchor and comparison point; do not infer coordination or knowledge."
HC119-10,"Harvard had publicly institutionalized the Russell appointment before the summer 1916 censorship/passport episode","Harvard Crimson 1916-02-24 provisional announcement","Harvard Crimson 1916-04-12 final announcement","Harvard Crimson 1916-09-22 cancellation report",high_confidence,"This strengthens the appointment from private invitation to published institutional plan, while formal governance paperwork remains a separate retrieval target."
