event_date,event_year,witness_year,actor,action_or_document,location_or_locus,source_type,evidence_grade,political_or_methodological_relevance,personal_attribution_limit,source_url,cutoff_status
"1866","1866","modern","California Theological Seminary; Congregational founders","Institution is founded and subsequently becomes Pacific Theological Seminary and Pacific School of Religion","Oakland; later Berkeley","official institutional retrospective","D_institutional_retrospective","Identifies the correct historical predecessor of Wallace Lovejoy's documented employer","Institutional chronology does not establish either Lovejoy's participation in its founding","https://www.psr.edu/about/history/","pre1899_institutional_background"
"1868","1868","modern","First Congregational Church of Oakland; unnamed Chinese participants","Congregation begins a Chinese Sunday school","Oakland","denominational historical study","D_scholarly_retrospective","Locates organized Chinese religious activity in the Oakland Congregational network","No personal connection with either Lovejoy is established","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_background"
"1870","1870","modern","Three Chinese congregants; First Congregational Church of Oakland","Three Chinese participants are admitted to church membership","Oakland","denominational historical study","D_scholarly_retrospective","Shows Asian institutional agency and early church membership before the Lovejoy family's arrival","The individuals' names and any Lovejoy connection remain unverified","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_background"
"1872","1872","modern","Charles Carroll Everett","Teaches East Asiatic Religions at Harvard","Harvard Divinity School","official university historical account","D_institutional_retrospective","Shows comparative Asian religion existed in Everett's teaching before Kozaki or Lovejoy arrived","Neither later student's enrollment in this 1872 course is possible","https://library.hds.harvard.edu/exhibits/hds-20th-century/everett","pre1899_institutional_background"
"1873-02-23 and surrounding months","1873","modern","William C. Pond; Chinese converts; Bethany Congregational Church","Church conflict over Chinese membership leads to Pond's resignation and a new congregation","San Francisco","denominational historical study drawing on Pond's writings","D_scholarly_retrospective","Documents opposition to racial exclusion inside the same Congregational network","Neither Wallace nor Arthur Lovejoy is named in the 1873 dispute","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_background"
"1873","1873","modern","William C. Pond; Pacific Theological Seminary","Pond has committed to raising funds for Pacific Theological Seminary","California; Oakland seminary network","denominational historical study","D_scholarly_retrospective","Connects the Chinese mission leader to Wallace Lovejoy's later documented employer","The connection precedes Wallace Lovejoy's confirmed appointment by approximately two decades","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_background"
"1876-03-09","1876","modern","California Chinese Mission; William C. Pond","California Chinese Mission is established with Pond as secretary","San Francisco; statewide network including Oakland","denominational historical study","D_scholarly_retrospective","Identifies the organization behind the signed 1887 mission report","Membership by either Lovejoy is unproved","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_background"
"1878-1900","1878-1900","modern","Charles Carroll Everett","Serves as dean of Harvard Divinity School","Harvard Divinity School","official university historical account","D_institutional_retrospective","Places both Kozaki's Harvard graduation and Lovejoy's later religious instruction under the same institutional leadership","A shared dean does not establish direct thesis supervision or a Kozaki-Lovejoy encounter","https://library.hds.harvard.edu/exhibits/hds-20th-century/everett","pre1899_institutional_bridge"
"1879","1879","modern","American Missionary Association","Association protests discriminatory legislation and wrongs against Chinese residents","Denominational annual meeting","retrospective historical quotation of an institutional resolution","D_scholarly_retrospective","Documents an explicit antidiscrimination position within the wider missionary network","The resolution cannot be attributed personally to Wallace or Arthur Lovejoy","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_background"
"1882-05-06","1882","1882; modern archival description","United States Congress; Chinese immigrants","Chinese Exclusion Act restricts immigration and naturalization","United States federal legislation","original federal statute presented by the National Archives","A_primary_legal_text","Establishes the exclusionary legal regime preceding the family's Oakland years","No personal response by either Lovejoy is documented","https://www.archives.gov/milestone-documents/chinese-exclusion-act","pre1899_legal_context"
