year	volume_issue	role_layer	item_or_count	regional_object	address_type	evidence_status	control_note
1973	1.1	SUBSTANTIVE_DENOMINATOR	9			DIRECT_SAGE_TOC	Defined census unit includes research articles/comments/rejoinders/graduate article; excludes editorial, book notes, bibliography, announcements.
1973	1.2	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Excludes From the Editors and review/bibliography items.
1973	1.3	SUBSTANTIVE_DENOMINATOR	6			DIRECT_SAGE_TOC	Includes graduate student article; excludes reviews/bibliography/announcements/correction.
1973	1.4	SUBSTANTIVE_DENOMINATOR	7			DIRECT_SAGE_TOC	Includes article/comment-type units; excludes editor note, reviews, bibliographies.
1973	1.4	SUBSTANTIVE_REGIONAL_HIT	IDEALISM AND PEOPLE'S WAR: Sartre on Algeria	Algeria / colonial North Africa	EXTERNAL_GAZE_CONTACT_EVENT	DIRECT_SAGE_ARTICLE_TITLE_REFERENCES	Historical-political object includes Algerian colonial/decolonization setting and African/Algerian sources, but named analytic center is Sartre; do not code as internal Algerian intellectual history.
1974	2.1	SUBSTANTIVE_DENOMINATOR	7			DIRECT_SAGE_TOC	Includes comment and graduate article; excludes Books in Review and bibliography.
1974	2.1	REVIEW_REGIONAL_HIT	The Origins of Statecraft in China: Volume One: The Western Chou Empire	China / Western Chou	REGIONALLY_ADDRESSED_REVIEW	DIRECT_SAGE_REVIEW_RECORD	Chinese statecraft enters journal's review/reception layer, not original research-article layer.
1974	2.2	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Excludes review and bibliography layers.
1974	2.2	BIBLIOGRAPHIC_SURVEILLANCE	Political Theory Articles bibliography indexes multiple GANDHI MARG items	India / Gandhi-associated nonviolence field	BIBLIOGRAPHIC_MONITORING	DIRECT_SAGE_REFERENCE_LIST	Direct visible examples include Bowman, Galtung, Gould, Hurwitz, Mookherji; do not treat bibliography inclusion as journal research publication or endorsement.
1974	2.2	BIBLIOGRAPHIC_SURVEILLANCE	James M. Glass, The Yogin and the Utopian: Nirvana and the Discovery of Being	Buddhist / South-Asian-derived conceptual material	BIBLIOGRAPHIC_MONITORING	DIRECT_SAGE_REFERENCE_LIST	External article in Polity is monitored by Political Theory bibliography; this shows surveillance beyond own research corpus.
