source_clause,Codrington1891_source_status,Lovejoy1906_operation,Durkheim1912_operation,epistemic_effect
"mana is non-physical power/influence","AFFIRM","retain/use","retain/quote","licenses impersonal efficacy field"
"mana manifests as physical force/power/excellence","AFFIRM","retain/use as efficacy/productivity","retain/quote","connects invisible force to observable efficacy"
"mana not fixed; conveyable through many things","AFFIRM","retain/use as communicability/transferability","retain/quote","supports mobile/diffuse force"
"spirits/ghosts have mana and impart it","AFFIRM / LOAD-BEARING","adverse evidence remains visible in controlled source packet","falls within marked ellipsis in proof-bearing Codrington quotation","personal mediation removed from local warrant sequence"
"mana essentially belongs to personal beings to originate","AFFIRM / LOAD-BEARING CAUSAL ARROW","preserved as tension; final semantic axis reweighted toward efficacy","falls within marked ellipsis","directional contradiction with primordial impersonality excluded from excerpt"
"mana may act through water stone bone","AFFIRM","compatible with material mediation/transfer","omitted together with personal-origin sentence in quotation","Durkheim retains general conveyability but not this exact personal-origin-plus-media structure"
"all Melanesian religion consists in getting/using mana","AFFIRM","supports practical manipulation but not clean autonomous impersonality","quotation resumes here after ellipsis","closes excerpt on manipulation rather than personal origination"
"impersonal power always connected with some person who directs it","AFFIRM in surrounding chapter","source tension consistent with Lovejoy Batch78 control","not acknowledged in immediate Codrington proof sequence","surrounding Codrington context complicates second-order impersonalization"
"powerful stone works because spirit associated with it","AFFIRM in surrounding chapter","does not control Lovejoy universal category alone","not in quoted packet","shows material carrier and personal source coexist"
"religious/magical actions done by aid of ghosts/spirits","AFFIRM in surrounding chapter","adverse to fully autonomous energy reading","not in quoted packet; Durkheim later permits spirit-independent rite efficacy","different causal architecture"
"spirits/demons/gods relation to force","Codrington: personal beings can originate/impart mana","Lovejoy: impersonal energy category coexists with adverse personal-origin evidence","Durkheim: spirits/demons/gods are individualized forms of prior energy","causal arrow reverses between source and Durkheim theory"
"quotation typography","n/a","proposition-relative source discussion","visible ellipsis marks abbreviation","omission is open typography but epistemically consequential"
"best code","HYBRID CAUSAL CONFIGURATION","PROPOSITION-RELATIVE REWEIGHTING","ELLIPSIS-MEDIATED SOURCE TRANSFORMATION","same source supports different comparative abstractions"
