"source_id","date_or_period","actor_or_object","source_type","documented_proposition","evidence_grade","political_or_methodological_relevance","boundary_or_negative_control","url"
"B176-01","1895","Arthur O. Lovejoy; Lord Monboddo","annotated scholarly bibliography","Lovejoy published James Burnett, Lord Monboddo in University of California Magazine 1 (1895), pages 68-79","bibliographically confirmed; original article not yet inspected","Moves Lovejoy's first known publication and chosen topic to language origins, evolution, and stadial human development before the 1898 Buddhist article","Cannot infer discussion of slavery, Sanskrit, Le Blanc, Knight, race, or colonialism without the 1895 original","https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive"
"B176-02","1896","Arthur O. Lovejoy","annotated scholarly bibliography","Lovejoy published Some Harvard Notes in University of California Magazine 2 (1896), describing public spirit, social services, religion, and graduate education","bibliographically confirmed; original pagination and article not yet inspected","Connects Lovejoy's own public writing to educational reform, university social service, and religious organization before 1898","OCR corrupts page number; no specific party, settlement, racial, labor, or anti-imperial position established","https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive"
"B176-03","1895-1904","University of California Magazine; Sacramento Public Library","institutional catalog","The periodical ran from 1895 to 1904 and Sacramento Room holds SPE PERIODICAL 1895 SAC for library use","confirmed institutional holding","Provides actionable location for obtaining Lovejoy's 1895 and 1896 original articles","Specific issues, completeness, scans, and reproduction availability remain unverified","https://catalog.saclibrary.org/Record/.b18137842"
"B176-04","1895 onward","Cal Alumni Association","official institutional history","The Berkeley alumni magazine was founded in 1895 and continued in later forms","confirmed official institutional statement","Identifies original publishing organization and an additional archival request route","Does not itself establish preservation of particular issues or Lovejoy manuscripts","https://alumni.berkeley.edu/california-magazine/2022-summer/editors-note-7/"
"B176-05","September 1895","University of California Magazine","scholarly bibliography","California and the Orient is cited as University of California Magazine 1.5 (September 1895), page 219","bibliographic lead; original article unread","Places questions about California and the Orient in the same first journal volume that printed Lovejoy on Monboddo","No author, full text, direct relation to Lovejoy, or proof that he read it","https://www.imperialsanfrancisco.com/further-reading"
"B176-06","1768","Marie-Angélique Memmie Le Blanc; William Robertson; Lord Monboddo","digitized historical printed title page","The Edinburgh English translation names William Robertson as translator and prints an unsigned preface conventionally associated with Monboddo","direct primary print; prefatory attribution requires qualification","Separates French authorship, English translation, editorial mediation, and Monboddo-related inquiry","Anonymous preface and shifts of narrative voice prevent treating all wording as conclusively authenticated Monboddo autograph","https://en.wikisource.org/wiki/An_Account_of_a_Savage_Girl%2C_Caught_Wild_in_the_Woods_of_Champagne"
"B176-07","1768; recollections of earlier events","Marie-Angélique Memmie Le Blanc","digitized historical printed preface","The preface reports childhood transportation, skin painted black, sale into slavery, forced work, beatings, shipwreck, and escape with a Black girl","direct primary evidence for reported testimony; biographical details not independently corroborated","Connects supposedly primitive evidence to coerced displacement, slavery, racial marking, gendered violence, translation, and survival","Printed reported testimony is not automatic proof of every narrated event or of Le Blanc's actual ethnicity","https://en.wikisource.org/wiki/An_Account_of_a_Savage_Girl%2C_Caught_Wild_in_the_Woods_of_Champagne/Preface"
"B176-08","1768","Unsigned preface conventionally attributed to Monboddo","digitized historical printed preface","The preface transforms Le Blanc's mediated testimony into arguments about human progression, society, and the prelinguistic state","direct primary text","Shows how a trafficking survivor's account became evidence for stadial history and language origins","No evidence that Lovejoy read this preface or used it in notebooks 004 or 005","https://en.wikisource.org/wiki/An_Account_of_a_Savage_Girl%2C_Caught_Wild_in_the_Woods_of_Champagne/Preface"
"B176-09","1768","Le Blanc; unnamed Black companion","digitized historical printed preface","The narrative preserves funeral-language recollections and states that the Black companion had her own language, while retaining only a recalled word","direct primary text","Exposes differential survival of Indigenous and Black speech inside an archive about the origin of language","Does not prove the companion's name, ethnicity, biography, or direct transmission to Lovejoy","https://en.wikisource.org/wiki/An_Account_of_a_Savage_Girl%2C_Caught_Wild_in_the_Woods_of_Champagne/Preface"
"B176-10","1778","Joseph Knight; John Wedderburn; Court of Session","national archival description","Knight v Wedderburn challenged enslaved or perpetual-servitude status in Scottish law; National Records of Scotland identifies the case and its archival materials","confirmed national archival record","Places legal personhood, enslavement, and evidence inside the judicial milieu associated with Monboddo","Official page does not independently establish Monboddo's individual vote","https://www.nrscotland.gov.uk/learning-and-events/slavery-and-scotland/the-joseph-knight-case/"
"B176-11","1778; discussed 2021","Monboddo; Joseph Knight; James Boswell","scholarly historical essay","Karl Steel reports that Boswell placed Monboddo among four judges opposing Knight's freedom and discusses a Black servant called Gory","named scholarly claim; original letter and vote not inspected","Links language-origin philosopher to disputed slavery jurisprudence and household relations","Cannot elevate Steel's interpretation into independently verified original judicial vote or fully documented household status","https://www.laphamsquarterly.org/roundtable/adapted-words-memmie-le-blanc"
"B176-12","2024; interpretation of eighteenth century","R. J. W. Mills; Lord Monboddo","peer-reviewed article metadata and abstract","Mills reassesses Monboddo on slavery, race, and Black Egyptian civilization and qualifies the usual account of his supposed vote in Knight's case","confirmed current scholarly intervention; full article unread","Prevents reducing Monboddo to a single pro-slavery or anti-racist label","Individual vote, precise arguments, and full evidence require the complete article and primary judicial records","https://colab.ws/articles/10.3366%2Fjsp.2024.0389"
"B176-13","2022; interpretation of eighteenth century","Silvia Sebastiani; Lord Monboddo","peer-reviewed article bibliographic record","Sebastiani studies the question of evidence in Monboddo's Enlightenment science of man","confirmed scholarly publication; full article unread","Provides a targeted route into judicial epistemology, classification, and credibility of testimony","Cannot infer Lovejoy's knowledge of Sebastiani's interpretation or assume courtroom methods directly caused his philological practice","https://philpapers.org/rec/SEBMUT"
"B176-14","1746-1794; cited 1904","Sir William Jones; Lord Monboddo","Lovejoy's signed published primary text","Lovejoy identifies Sir William Jones as Monboddo's correspondent in a discussion of Sanskrit and European-language descent","direct Lovejoy-authored primary evidence for 1904","Places colonial Indian Orientalism and comparative language history inside Lovejoy's own later Monboddo discussion","Sir William Jones is not the Fox anthropologist William Jones; 1904 evidence cannot automatically be projected into 1895","https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II"
"B176-15","1871-1909","William Jones; Fox nation","official museum collection history","The Field Museum identifies Jones as a member of the Fox nation, Harvard graduate, Boas student, and first Native American anthropology PhD","confirmed official institutional biography","Restores Indigenous intellectual authorship to the linguistic source used by Lovejoy in 1906","Does not establish that Lovejoy knew Jones personally or knew how Jones identified himself","https://philippines.fieldmuseum.org/heritage/narrative/4705"
"B176-16","1896-1900","William Jones; Harvard University","university-linked Indigenous writers biographical archive","Jones entered Harvard in 1896, collected Sauk and Fox materials during summer 1897, and graduated in 1900","confirmed dated biographical chronology","Makes Jones a contemporary Harvard Indigenous intellectual already doing relevant community research before 1898","Does not prove shared classes, acquaintance, correspondence, or Lovejoy's knowledge of the 1897 work","https://ualrexhibits.org/tribalwriters/artifacts/Jones_Biography.html"
"B176-17","1896-1898","Arthur O. Lovejoy; William Jones","cross-checked independent biographies","Lovejoy studied at Harvard during 1895-1898 while Jones studied there from 1896 to 1900, producing at least two academic years of overlap","confirmed institutional co-presence; personal contact unproven","Relocates later Indigenous source relations within a shared and temporally specific university setting","Same institution and overlapping dates do not establish encounter, friendship, intellectual exchange, or joint organizational membership","https://ualrexhibits.org/tribalwriters/artifacts/Jones_Biography.html"
"B176-18","1897 summer","William Jones; Sauk and Fox communities","university-linked Indigenous writers biographical archive","Jones collected information among Sauk and Fox people near Tama, Iowa, during the summer of 1897","confirmed retrospective institutional biography","Places relevant Indigenous community fieldwork during Lovejoy's Harvard years and before the 1898 Buddhist article","Field notebooks, precise research objectives, sponsors, and Lovejoy's awareness remain unexamined","https://ualrexhibits.org/tribalwriters/artifacts/Jones_Biography.html"
"B176-19","April 11, 1898","Arthur O. Lovejoy; Harvard Religious Union","contemporary digitized student newspaper","Harvard calendar scheduled Lovejoy to discuss Other Worldliness at First Parish Church at 6:45 pm","confirmed contemporary advance notice; already recorded in batch175","Documents Lovejoy's public religious role during the immediate Spanish-American War crisis","This is an existing batch175 discovery; announcement does not prove delivery, audience, content, or position on war","https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/"
"B176-20","April 11, 1898","Harvard Freshman Debating Club","contemporary digitized student newspaper","The same campus calendar schedules debate on whether the United States should construct and operate the Nicaragua canal","confirmed contemporary advance notice; already recorded in batch175","Documents contemporaneous campus discussion of United States control over trans-isthmian infrastructure","Existing batch175 evidence; no indication Lovejoy attended or held a specific view","https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/"
"B176-21","April 11, 1898","President William McKinley; Congress; Cuba","official United States government historical account","McKinley asked Congress on April 11, 1898, for authorization to intervene in the Cuban conflict","confirmed official chronology","Places Lovejoy's scheduled Religious Union lecture on the exact day of a decisive federal move toward Caribbean intervention","Temporal coincidence does not establish the lecture's content or Lovejoy's support or opposition","https://history.state.gov/milestones/1866-1898/spanish-american-war"
"B176-22","April 11, 1898","President William McKinley","National Archives historical documentation","National Archives independently identifies April 11, 1898, as the date McKinley delivered a war message seeking forcible intervention in Cuba","confirmed independent official chronology","Corroborates the exact same-day relationship with Lovejoy's scheduled campus lecture","Federal policy cannot be attributed to Lovejoy merely through date and university setting","https://www.archives.gov/milestone-documents/delome-letter"
"B176-23","April 18-25, 1898","United States Congress; Spain; Cuba","official House historical account","Congress advanced the Cuba resolution April 18-19, presidential approval followed April 20, Spain declared war April 24, and the United States declared war April 25 retroactive to April 21","confirmed official legislative chronology","Sets the April 11 lecture within an immediate and dated transition toward the Spanish-American War","Does not establish any personal political response by Lovejoy or Jones","https://history.house.gov/Historical-Highlights/1851-1900/The-House-recognition-of-Cuban-independence-from-Spain/"
"B176-24","August 1904","Arthur O. Lovejoy; Lord Monboddo","signed digitized primary article","Lovejoy connects Monboddo, Sanskrit, Sir William Jones, language origins, orangutans, species boundaries, and a political state","direct Lovejoy-authored primary evidence","Demonstrates his own explicit convergence of Orientalism, social organization, human classification, and politics","Proves a 1904 argument only; cannot reconstruct uninspected 1895 wording","https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II"
"B176-25","1900 edition cited in 1904","William Knight; Arthur O. Lovejoy; Monboddo letters","signed primary article footnote","Lovejoy explicitly cites Knight's 1900 edition of Monboddo correspondence and a 1774 edition of Origin and Progress of Language","direct dated source citation","Explains how Lovejoy's evidentiary resources changed between his 1895 and 1904 Monboddo articles","Private-letter details available from the 1900 volume cannot automatically be presumed available to Lovejoy in 1895","https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II"
"B176-26","1895 versus 1904","Arthur O. Lovejoy; Lord Monboddo","bibliographic abstract compared with signed primary article","The 1895 abstract praises Monboddo as anticipating important evolutionary thought, while the 1904 article distinguishes linguistic development from biological transformism and questions his status as an evolutionist","confirmed comparative trajectory with 1895 wording only indirectly known","Shows continuity of subject alongside revision of interpretive verdict","Exact extent of change requires the original 1895 article and comparison of both texts","https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II"
"B176-27","July-September 1905","William Jones; Sauk, Fox, and Kickapoo communities","digitized Indigenous-authored primary article","The Algonkin Manitou limits its account to three communities and discusses impersonal property, grammatical gender, transferable efficacy, and emotional experience","direct Indigenous-authored published primary evidence","Identifies a community-grounded and linguistically controlled source behind Lovejoy's subsequent universalizing theory","Jones's own period vocabulary can contain developmental assumptions; he should not be idealized as outside contemporary anthropology","https://ualrexhibits.org/tribalwriters/artifacts/Jones_AlgonkinManitou.html"
"B176-28","1905-1906","William Jones; Arthur O. Lovejoy","primary source comparison already developed in repository batch77, batch78, batch92","Jones denies a regular interpretive rule, whereas Lovejoy uses Jones's grammatical evidence while describing primitive energy in terms of regular and intelligible laws","confirmed source-to-receiver interpretive divergence","Turns evidentiary refinement into a specific question of Indigenous authorship, interpretive authority, and universalization","Does not prove deliberate suppression, personal hostility, racial motive, or that Lovejoy knew Jones's identity","https://ualrexhibits.org/tribalwriters/artifacts/Jones_AlgonkinManitou.html"
"B176-29","1904","St. Louis Louisiana Purchase Exposition; Philippines; Field Museum","official museum collection history","The Field Museum states that its Philippine expeditions followed the 1904 exposition and that Robert F. Cummings pledged at least 20,000 dollars for fieldwork and a permanent exhibition","confirmed official institutional account","Links colonial display to museum finance and later anthropological collecting","Does not establish that Lovejoy attended the fair or participated in this funding arrangement","https://philippines.fieldmuseum.org/heritage/narrative/4705"
"B176-30","1904","Igorot Village; Washington University in St. Louis","university special-collections catalog","Washington University holds a 1904 Igorot Village booklet in its St. Louis World's Fair Collection, Box S2: Box 2, Folder 5","confirmed institutional archival item","Provides a material and accessible record of Philippine colonial display in Lovejoy's then city and university setting","The booklet does not prove Lovejoy saw it, visited the exhibit, or discussed Igorot people","https://aspace.wustl.edu/repositories/11/archival_objects/467709"
"B176-31","1901-1907","Arthur O. Lovejoy; Washington University in St. Louis","scholarly biography","Wilson states that Lovejoy taught at Washington University in St. Louis from 1901 until 1907","confirmed scholarly biographical chronology","Places Lovejoy in the city during the 1904 fair and during publication of the 1904 Monboddo and 1906 manitou discussions","Same city and institution do not independently prove fair attendance or contact with William Jones","https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive"
"B176-32","1906-1909","William Jones; Field Museum; Philippines","two institutional biographies","One biography dates acceptance of a Philippine assignment to 1906; the Field Museum dates travel to 1908; both place his death in Philippine fieldwork in March 1909","confirmed institutional association and death; assignment-versus-travel sequence unresolved","Links a Fox scholar to United States colonial collecting generated by the 1904 exposition","1906 may denote appointment and 1908 travel; contracts, voyages, field diaries, exact dates, and circumstances require primary verification","https://philippines.fieldmuseum.org/heritage/narrative/4705"
"B176-33","1933","Arthur O. Lovejoy; Monboddo; Rousseau","annotated scholarly bibliography","Monboddo and Rousseau appeared in Modern Philology 30 (1933), pages 275-296, and interprets the authors as undermining idealized primitivism while retaining a developmental ascent toward rational social life","bibliographically confirmed; complete 1933 text not re-collated in this batch","Distinguishes criticism of romantic primitivism from dismantling stadial civilizational hierarchy","Does not itself establish direct transmission from 1768 slavery testimony or Lovejoy's position on twentieth-century imperial policy","https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive"
