row_id,authority_page_order,repository,collection_or_record,collection_id,level,dates,authority_relation,explicit_lovejoy_material,evidence_class,positive_component_candidate,source_url,notes,next_action
JHU110A01,1,Johns Hopkins University Special Collections,"Arthur O. (Oncken) Lovejoy, 1948-06-16",MS-0907,file,1948-06-16,"Lovejoy authority attached to exact archival object; path Richard Macksey papers / Author Letters / Hopkins Festival","exact file title names Arthur O. Lovejoy",positive_exact_archival_object,yes,https://aspace.library.jhu.edu/agents/people/66,"The public Lovejoy authority page exposes an exact dated file and its hierarchy. The object page was not retrievable in the current web session, so item count, physical form, direction and correspondent remain unknown. Do not infer sender/recipient merely from the Author Letters hierarchy.",retrieve archival object 247044 or request MS-0907 Hopkins Festival file; capture container, material form, signer/addressee and item count
JHU110A02,2,Johns Hopkins University Special Collections,Arthur Oncken Lovejoy papers,MS-0038,collection,1872-1963,Lovejoy creator fonds,"correspondence; notes; diaries; photographs; drafts; typescripts; galley proofs; books and other papers",positive_creator_fonds_already_mapped,no_new_component,https://aspace.library.jhu.edu/repositories/3/resources/54,"Existing core fonds. Processing history records several descriptive layers: Nicolson arrangement in 1963; Daniel J. Wilson detailed indexing in 1974-75; reboxing in 1979 while retaining order; container list in 1993.",use as original-custody/control fonds when comparing MS-0873 transcriptions and other JHU manifestations
JHU110A03,3,Johns Hopkins University Special Collections,Daniel J. Wilson transcriptions of Arthur O. Lovejoy letters,MS-0873,collection,1872-1962,"Lovejoy named in collection title and abstract","transcriptions, mostly typewritten but some handwritten, of letters of Arthur O. Lovejoy; Box 1",positive_derivative_transcription_collection,yes,https://aspace.library.jhu.edu/agents/people/66,"This is a separate archival collection from MS-0038. Its transcription status means it is a derivative textual witness, not evidence that the original letters are physically held in MS-0873.",inventory Box 1; record each transcribed letter's sender/recipient/date/source notation and crosswalk to original repositories where identifiable
JHU110A04,4,Johns Hopkins University Special Collections,Department of Romance Languages records,RG-04-080,record_group,1902-1989,Lovejoy authority association,"none exposed beyond authority linkage; collection contains reports student records and correspondence",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"An authority-record association is not equivalent to a Lovejoy document. The public authority page does not expose the reason for the link.",search collection hierarchy for Lovejoy and inspect authority relationship before promotion
JHU110A05,5,Johns Hopkins University Special Collections,Edward Franklin Buchner papers,MS-0089,collection,1890-1913,Lovejoy authority association,"none exposed beyond authority linkage; collection largely Buchner correspondence with educators and philosophers",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"Chronology overlaps Lovejoy's Hopkins career but does not prove a Lovejoy item.",search internal correspondence hierarchy and request name-index information
JHU110A06,6,Johns Hopkins University Special Collections,George Boas papers,MS-0010,collection,1920-1980,Lovejoy authority association,"none item-specific exposed on Lovejoy authority page; collection contains correspondence among other materials",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"Boas's known institutional relationship with Lovejoy makes this a strong contextual target, but creator biography is not document evidence.",search collection organization for Lovejoy and History of Ideas Club/1947-48 publication files
JHU110A07,7,Johns Hopkins University Special Collections,"Henri Bergson, 1931-05-28",MS-0907,file,1931-05-28,"Lovejoy appears as Related Names: Source on exact Bergson file","file is created by Henri Bergson; Lovejoy is a related Source name",authority_linked_exact_object_relation_ambiguous,no,https://aspace.library.jhu.edu/repositories/3/archival_objects/246930,"This is especially important as a warning against reading every entry on Lovejoy's authority page as a Lovejoy-authored document. The file creator is Bergson and the interface labels Lovejoy as Source; the archival meaning of Source needs inspection.",inspect object and cataloging relation to determine whether Lovejoy supplied/provenanced the item or is linked for another reason
JHU110A08,8,Johns Hopkins University Special Collections,Hermann Collitz papers,MS-0014,collection,1846-1935,Lovejoy authority association,"none item-specific exposed; collection includes correspondence and collected scholarly material",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"Authority association alone is insufficient for promotion.",search collection hierarchy for Lovejoy exact component or correspondence folder
JHU110A09,9,Johns Hopkins University Special Collections,History of Ideas Club records,RG-15-120,record_group,1923-1977,"Lovejoy is a creator and named in scope/content","special correspondence file about publication of Lovejoy's collected papers; a number of letters handwritten by Professor Lovejoy",positive_collection_level_explicit_lovejoy_material,yes,https://aspace.library.jhu.edu/repositories/3/resources/1029,"Primary finding aid explicitly identifies both organizational correspondence concerning Lovejoy's collected papers and handwritten Lovejoy letters. Exact dates, folders, recipients and item counts are not exposed; no requestable containers are shown publicly.",request correspondence files and capture the handwritten Lovejoy letters separately from third-party publication correspondence
JHU110A10,10,Johns Hopkins University Special Collections,Johns Hopkins University Press records,RG-03-020,record_group,1876-1995;2015-ongoing,Lovejoy authority association,"none item-specific exposed on authority page",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"The authority relation may reflect authorship/publishing activity but does not itself identify a letter contract manuscript or file.",search Press records for Lovejoy titles and author correspondence before assigning a manifestation type
JHU110A11,11,Johns Hopkins University Special Collections,Margaret Donaldson Boehm papers,MS-0044-a,collection,1883-1956,"Lovejoy authority association; collection abstract says Boehm was a student of Lovejoy","no Lovejoy document exposed by the authority-page summary",contextual_person_relation_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"The biographical student-teacher relation can explain an authority link without implying surviving Lovejoy correspondence.",inspect diaries/master's essay metadata for explicit Lovejoy references only if research value justifies it
JHU110A12,12,Johns Hopkins University Special Collections,Philosophy Department records,RG-04-120,record_group,1922-1993;2015-ongoing,Lovejoy authority association,"none item-specific exposed; records include faculty series correspondence and administrative records",authority_linked_institutional_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"This is a high-value institutional context because Lovejoy was faculty, but the authority relation is not yet a component locator.",search Faculty and administrative series for Lovejoy exact folders; distinguish personnel/administrative records from correspondence
JHU110A13,13,Johns Hopkins University Special Collections,Raymond Dexter Havens papers,MS-0024,collection,1769-1954,Lovejoy authority association,"none item-specific exposed; collection includes correspondence and autograph material",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"No positive Lovejoy object is exposed on the authority page.",search collection organization/name index for Lovejoy before promotion
JHU110A14,14,Johns Hopkins University Special Collections,Victor Lowe papers,MS-0284,collection,1925-1988,Lovejoy authority association,"none item-specific exposed; collection mainly Whitehead research notes correspondence and collected articles",authority_linked_collection_item_presence_unverified,no,https://aspace.library.jhu.edu/agents/people/66,"The relation may arise from intellectual or collected-reference context; it cannot be converted into Lovejoy correspondence without a child record.",search internal hierarchy for Lovejoy and identify whether any hit is correspondence research note or collected publication
