stage,stronger_claim_being_tested,lower_level_observation,independent_control_channel,decision_rule,result,primary_anchor,status
004_upadisesa,semantic meaning versus etymological/textual genealogy,"competing passages and lexical forms","contextual canonical usage and doctrinal role","usage can support semantic judgment without settling derivation/scribal history","ethical-residue reading retained while total genealogy remains open","MS38 004 pp55-71; Lovejoy JAOS 1898",confirmed
004_upadana_karma,semantic/causal identity and external Indic genealogy,"upadana and karma occupy same rebirth causal field","term-specific textual usage and causal allocation","shared causal neighborhood does not establish semantic identity or historical dependence","different explanatory jobs reconstructed; assimilation/genealogy separately tested","MS38 004 p33; JAOS 1898",confirmed
005_report_provenance,indigenous historical status of reported belief,"published ethnographic belief report","reporter date missionary/contact history internal mixture","report can enter comparison while contaminated/borrowed layers remain to be decomposed","witness admissible at lower level but genealogy/moral stage held","MS38 005 pp16-19",confirmed_archive
005_developmental_sequence,necessary historical sequence,"formal/typological ordering of agrarian sacrifice victim forms","independent chronology of agriculture and domestication plus countercases","typological order cannot prove historical order circularly","simple developmental chain blocked by chronological counterevidence","MS38 005 pp103-105",confirmed_archive
005_rite_mechanism,sacramental/religious mechanism from ceremonial morphology,"public repeated solemn ritual/cannibalistic form","motive relations source scrutiny and negative cases","ceremoniality itself cannot establish mechanism","comparison retained while sacramental mechanism/common origin rejected in many cases","MS38 005 pp106-119",confirmed_archive
1902_Aristotle_Vedanta,historical Oriental influence,"obvious philosophical affinity","internal Platonic conceptual genealogy","affinity is insufficient for transmission when internal derivation explains result","Oriental influence hypothesis rejected as gratuitous/unnecessary","Religion and the Time-Process pp446-447",confirmed_primary
1902_Neoplatonism,provenance of logical structure,"mystical tone/rhetoric and conceptual similarity","logical import and derivation of determinative presuppositions","temperament is not the same evidentiary object as logical genealogy","core structure assigned internal Greek derivation with emanationism excepted","Religion and the Time-Process p447",confirmed_primary
1906_primitive_energy,existence of explanatory causal conception,"large variety of customs and beliefs potentially redescribable by mana/manitou","native linguistic usage across independent vocabularies","explanatory idea must be a vera causa not merely inferred from customs it explains","concept first established linguistically then applied to customs","Fundamental Concept of Primitive Philosophy pp362 and 377",confirmed_primary
1906_scope_application,scope and practical operation of causal conception,"linguistic evidence establishes category and gives clue to applications","analysis/comparison of customs and ceremonies","two evidence classes should reciprocally corroborate and illuminate","language plus custom jointly support scope while allowing different manners/reasons","Fundamental Concept of Primitive Philosophy p377",confirmed_primary
cross_stage_operator,higher-level mechanism/genealogy/transmission claims,"resemblance or classificatory fit at lower level","new evidence type appropriate to stronger proposition","higher inference should not bootstrap from the same morphology used as its explanation","proof-level separation enforced through cross-evidential triangulation","004; 005; Lovejoy 1902; Lovejoy 1906",strong_reconstruction
