dimension,date_or_range,mauss,Lovejoy,shared_node_or_problem,relationship_status,evidence_strength,historiographical_status
institutional_training,1895-1899,"Studies at EPHE under Léon Marillier from 1895; scholarship 1895-97; mission 1897-98","Active auditor in Marillier EPHE conference 1898-99",Léon Marillier / Religions des peuples non civilisés,"successive adjacent cohorts; no proven classmate relation",high,"EPHE prosopography documents Mauss; Lovejoy participation reconstructed archivally"
document_circulation,1896-1899,"Explicitly credits Marillier with bibliography and notes from different courses for Steinmetz critique","005 contains Marillier-dated material source packets and Steinmetz title; direct handoff not proven",Marillier paper-based research apparatus,"shared infrastructure plausible; direct Mauss→Lovejoy transfer unproved",high_for_Mauss_medium_for_Lovejoy,"not previously connected to Lovejoy in standard historiography located"
Steinmetz_endocannibalism,1896-1899,"Critiques Steinmetz; narrows endocannibalism to ritual anthropophagy of relatives","005 bibliography records Endokannibalismus and later decomposes anthropophagy by motive/mechanism",Steinmetz controversy,"same live problem field; direct reading of Mauss unproved",high,"current archival reconstruction"
kin_transfer_microtaxonomy,1896-1899,"Transfer of dead relative's virtues through eating/body fragments classified as communion","Body-part transfer of intelligence/courage/life/sexual power can be sympathetic transferable efficacy rather than communion",transfer-through-ingestion,"proposition-level divergence",high,"appears new at 005 level"
sacrifice_macro_method,1897-1899,"With Hubert rejects Robertson Smith genealogy deriving sacrifices from primordial totemic communion; explicitly cites Marillier critique","005 repeatedly rejects outward resemblance or common meal/blood/killing as sufficient proof of common sacramental origin",Marillier anti-unilateral sacrifice critique,"macro-method convergence without direct textual dependence",high,"Hubert/Mauss relation to Marillier known; Lovejoy side newly reconstructed"
Marillier_inheritance,1895-1902,"Later says Marillier taught 'critique des faits' but rejects Marillier's universal psychological explanatory endpoint","1906 explicitly credits Marillier as strong influence on conclusions reached in 1900",Marillier method vs explanatory endpoint,"shared teacher with divergent inheritance",high,"Mauss-Marillier studied; Lovejoy-Marillier largely absent from standard biography"
mana_efficacy_abstraction,1904-1906,"Hubert/Mauss socialize mana/magical efficacy through collective states collective life and category formation","Lovejoy causalizes mana/manitou/orenda etc. as impersonal quasi-mechanical communicable efficacy: primitive energetics",Codrington mana + comparative efficacy problem,"divergent abstraction in adjacent intellectual genealogy",high,"explicitly compared by Nicolas Meylan 2017"
direct_personal_relation,1895-1950,"No meeting/correspondence with Lovejoy located in current audit","No meeting/correspondence with Mauss located in current audit",possible Paris/EPHE overlap,"open archival negative; non-contact not proven",low_negative,"no dedicated relationship study located in current search"
direct_citation,1896-1906,"No Mauss citation of Lovejoy located in current audit","No Mauss/Hubert citation located in currently collated Lovejoy 1898-1906 material",printed comparative-religion literature,"open negative; requires full citation/review audit",low_negative,"not established"
historiography_mana,1948-2017,"Hubert/Mauss repeatedly treated in histories of mana/dynamism","Lovejoy 1906 treated in same mana/dynamism genealogy",mana/dynamism,"theoretical adjacency noticed",high,"Hutton Webster broad constellation; Nicolas Meylan 2017 strongest explicit comparison"
historiography_Lovejoy,1980,"Mauss not part of standard Lovejoy Paris narrative","Wilson names Vernes Réville Sylvain Lévi and libraries but not Marillier EPHE node",Lovejoy Paris 1898-99,"historiographic blind spot on institutional infrastructure",medium_high,"archival reconstruction substantially revises context"
