upload_file,sha256,identified_source,printed_target,prior_queue_or_batch,status,primary_result,research_consequence,remaining_action
"MS38_004_001_061_004.pdf_by_PaddleOCR-VL-1.6.json","e14956e2904f2c907d29163bbea3f3f162a011da2a53928dbf370efe7d031d84","Lovejoy notebook MS38_004_001_061_004","71 PDF/OCR pages","ARCHIVE_TRANSCRIPTION_PROGRESS; 004 source map","BASELINE_CONTROL","First-pass notebook already complete; upload used as source-side comparison control rather than retranscription","Preserves separation between manuscript transcription and external source audit","Second-pass only for marked Pali/Sanskrit/French/bibliographic uncertainties"
"MS38_004_001_061_005.pdf_by_PaddleOCR-VL-1.6.json","e420b098a2cf2bdd272e918434fb452fae923a9fcfb730117825d9dd366ef9c2","Lovejoy notebook MS38_004_001_061_005","120 PDF/OCR pages","ARCHIVE_TRANSCRIPTION_PROGRESS; EPHE concordance","BASELINE_CONTROL","First-pass notebook already complete; upload used to control source/mechanism comparisons","Supports existing 005 mechanism map without replacing corrected transcription","Second-pass only for marked names/titles/page references/low-confidence fragments"
"lovejoy_clean_text_corpus_20260817_211123.json","cc2bbc38d76a70d986f8176acfeef6a0abb214f309bfa3480bc0962111b1e351","Lovejoy clean-text corpus; doc 5 = 1898 JAOS technical-terms article","Lovejoy 1898 pp.126-136","Batch33; Batch41","AUTHORIAL_CONTROL","Confirms Lovejoy himself prints Müller footnote as 'Pali Grammar, p. 30' and quotes Rhys Davids formulation","Makes Müller p30 mismatch a real authorial citation problem rather than repo transcription error","Retain as authorial citation control"
"1898_Über das Verhältnis der buddhistischen Philosophie zu Smankhya-Yoga und die Bedeutung der Nidanas.pdf_by_PaddleOCR-VL-1.6.json","22032b4dc005945469cb2185f4e51fcd15e854bedd89e76f71a52802ac8d9d80","Hermann Jacobi, Über das Verhältnis... (1898)","pp.1-15","Batch33; manual_retrieval_queue_004_batch32","RESOLVED_CONTROL","Reconfirms Jacobi's references to Oldenberg 3rd ed p273 note/p448ff, Senart, and his 1897 Dahlmann review","No revival of Lovejoy priority; fixes live controversy architecture","Still retrieve Jacobi 1897 GGA pp267-273"
"提取自12946592543477.pdf_by_PaddleOCR-VL-1.6.json","4d90ddb33241d5a385b8887a5e3a50f8e0bb1fc6a9f225803185ed8462a0723f","Hermann Oldenberg, Buddhistische Studien, ZDMG 52 (1898)","pp.681-695; core pp.690-694","Batch33; manual_retrieval_queue_004_batch32","RESOLVED_CONTROL","Reconfirms textual-semantic upadana analysis and differentiation of adjacent nidanas","Functional non-equivalence is not uniquely Lovejoyian","No new manual action from this upload"
"mlangescharlesd00goog.pdf_by_PaddleOCR-VL-1.6.json","bfa9b7474ca3b028c81dee3ca749a61c9476133aabd4f2bfd76358ff7ea16028","Mélanges Charles de Harlez; Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)","Senart pp.281-297","Batch33; manual_retrieval_queue_004_batch32","RESOLVED_CONTROL","Full-volume witness reconfirms composition, term-filiation and stratification argument","Keeps 004 originality claim narrowed to evidentiary allocation/recomposition","No new manual action from this upload"
"Nirvāṇa.pdf_by_PaddleOCR-VL-1.6.json","4208ba84fe5580369d1d3c6ef9941ee60386161c34e5b3c40d2644cf6698ba79","Joseph Dahlmann, Nirvāṇa (1896)","pp.13-15; Lovejoy target p.14","manual_retrieval_queue_004_batch32 P0; Batch41","RESOLVED","p14 argues for close/internal connection between Buddhist anupādisesanibbāna and orthodox anupādhīśeṣanirvāṇa while warning that orthodox substantial-self meaning cannot simply be transferred","Lovejoy compresses a doctrinal/historical comparison into an etymological-equivalence side of his fork","Remove Dahlmann p14 from live retrieval queue"
"A simplified grammar of the Pali language -- E_ Müller -- 1884 -- 49974c7ed7dd5c19598b36ae3a773025 -- Anna’s Archive.pdf_by_PaddleOCR-VL-1.6.json","bd10b03d1283b3f8287aa9b15a7b4ed3473202eea96fb025e7744c15eda81923","Edward Müller, A Simplified Grammar of the Pali Language (Trübner, 1884)","Lovejoy cites p.30; relevant witness locus p.36","manual_retrieval_queue_004_batch32 P1; Batch41","NEGATIVE_AT_CITED_PAGE_RELEVANT_LOCUS_RECOVERED","Printed p30 has consonantal phonology and no relevant upadi/upadhi statement; printed p36 contains the relevant aspiration-loss correspondence, OCR approximately upādisea=upadhiqesha, with Oldenberg p437ff reference","Probable six-page citation slip in Lovejoy unless another pagination witness explains p30","Optional edition/pagination control; do not silently emend Lovejoy footnote"
"buddhismbeingske00daviiala.pdf_by_PaddleOCR-VL-1.6.json","c89228951a85079a5ebb282ec908fd781510885078ef869fc5ae20143464d953","T. W. Rhys Davids, Buddhism: Being a Sketch..., new/revised ed. (1894)","p.113","manual_retrieval_queue_004_batch32 P1; Batch41","RESOLVED","Exact primary wording behind Lovejoy's quotation: upādi as comprehensive name for five skandhas, derived in allusion to upādāna from upādā","Rhys-Davids side of lexical fork now page-level secure","Remove Rhys exact-locus request; Childers facsimile remains citation hygiene only"
"buddhaseinleben03oldegoog.pdf_by_PaddleOCR-VL-1.6.json","84fbe9f24394b0419fb7057e0ff546665173ac3e93c655d30b642439a10f9a3f","Hermann Oldenberg, Buddha: Sein Leben..., second edition","title page says ZWEITE AUFLAGE; 1890; p.273 checked","manual_retrieval_queue_004_batch32 P1; Batch33","WRONG_EDITION_CONTROL","Second-edition p273 lacks the later Senart-related note; filename cannot be trusted as edition metadata","Confirms true 1897 third edition is still required and gives an earlier-edition control","Retrieve true 3rd enlarged ed 1897 title + p273 note + pp443-455/p448ff"
