node_id,date,sender,recipient,repository_or_source,record_or_locator,document_relation,evidence_state,relation_to_lovejoy,retrieval_or_identity_action,source_url,notes
RW118A,"1916-17 episode; literal date unresolved",Woods,"Frank J. Goodnow","BRACERS / historical Ferdinand Hamburger Jr. Archives at Johns Hopkins",121121,"Woods asks whether Bertrand Russell might lecture at Johns Hopkins on Principles of Social Reconstruction and criticism of war",specific_document_catalogue_historical_repository_only,"adjacent institutional episode to GLA0030; not a Lovejoy document","continue MS-0003 Woods-writer-file and JHU RG-02-001/RG-10-001 current-custody tests",https://bracers.mcmaster.ca/bracers-notes?page=1211,"Recipient Goodnow is explicit for this node only and must not be transferred to RW118B."
RW118B,"1916-17 episode; literal date unresolved","Arthur O. Lovejoy / Department of Philosophy",unresolved,"BRACERS / historical Ferdinand Hamburger Jr. Archives at Johns Hopkins",121122 / canonical GLA0030,"Lovejoy wants Russell at Hopkins for technical philosophy but objects to a war lecture because Russell's views are described as ultra-pacifist",specific_lovejoy_document_catalogue_historical_repository_modern_container_pending,"Lovejoy anchor for the Russell-Woods-Hopkins reconstruction","recover literal date recipient form and modern JHU fonds/container; current priority RG-02-001 Series 1 post-1915 Philosophy file architecture",https://bracers.mcmaster.ca/bracers-notes?page=1211,"Do not infer recipient from RW118A."
RW118C,"1916; exact date not exposed by public Notes",Woods,"Bertrand Russell",BRACERS,3597,"Woods offers Russell a half-year position beginning February 1917 teaching symbolic logic or theory of knowledge plus ethics with social/international applications",specific_document_catalogue,"Harvard-side actor/network continuation contextual to Lovejoy-JHU Russell gatekeeping; no Lovejoy participation in this document","recover full record metadata/date/form and distinguish from other Harvard invitation letters",https://bracers.mcmaster.ca/bracers-notes?page=35,"Do not collapse with a separately reported 23 Sep 1916 Harvard/Peirce invitation without object-level matching."
RW118D,1916-07-30,"Bertrand Russell","James Haughton Woods","Bertrand Russell Autobiography + BRACERS",3598,"Russell replies to Woods and enclosed British Ambassador letter; discusses 1895 Berlin episode and Kaiser","historical_letter_event_exact_date_recipient_text; BRACERS identity textually_resolved_by_unique_phrase","Harvard reciprocal/transmission-history node; no Lovejoy authorship","treat BRACERS 3598 as the 30 Jul 1916 Russell-to-Woods event because recipient, enclosure relation and unique Kaiser sentence match; still recover direct BRACERS form/source fields",https://bracers.mcmaster.ca/bracers-notes?page=35,"Russell's published text says he doubts prior cable reached Woods and later explicitly anticipates this letter may be stopped by the censor."
RW118E,1916-07-30,"Bertrand Russell","James Haughton Woods","BRACERS Home Office-derived acquisition context",57120,"intercepted Russell letter to Woods; Cockerill asks advice and Troup instructs that it should be stopped",same_historical_event_as_RW118D_high_confidence_pending_direct_BRACERS_crosslink,"transmission failure of a Harvard-side Russell/Woods document in the wider 1916 network","retain 3598↔57120 as high-confidence event identity rather than direct catalogue alias until full 57120 fields or source image are inspected",https://bracers.mcmaster.ca/bracers-notes?page=1225,"Identity inference is supported jointly by explicit Woods recipient/interception in BRACERS and exact distinctive content in published archival scholarship: won't be silent / war for liberty, which appears verbatim in the 30 Jul letter."
RW118F,1916-07-30,"Bertrand Russell","James Haughton Woods","BRACERS",55840,"another copy of the letter represented by Rec. Acq. 903c record 57120",catalogue_explicit_copy_relation,"parallel manifestation of RW118E if record identity is confirmed; no Lovejoy authorship","recover form/source fields for 55840 and 57120 before counting physical manifestations or assigning original/copy hierarchy",https://bracers.mcmaster.ca/bracers-notes?page=558,"BRACERS explicitly says another copy of this letter is record 57120; object count is at least two catalogue manifestations/copies, but physical-original status remains unresolved."
RW118G,"1916; exact date pending",Cockerill,unresolved,"BRACERS / government-record copy context",122538,"asks for advice regarding Russell's intercepted letter to James Wood(s), record 57120",specific_administrative_document_catalogue,"government intervention context explaining transmission history of RW118E","recover sender/recipient/date/source and current Home Office/TNA locator",https://bracers.mcmaster.ca/bracers-notes?page=1225,"BRACERS uses James Wood in this note; RW118H independently clarifies Professor Woods of Harvard University."
RW118H,"1916; exact date pending","office communicating Sir Edward Troup's instruction",unresolved,"BRACERS / government-record copy context",122539,"Troup's view that Russell's letter record 57120 to Professor Woods of Harvard University should be stopped",specific_administrative_document_catalogue,"primary catalogue evidence of deliberate non-delivery/interception relevant to Harvard reciprocal silence","recover full metadata/current government file and collate with TNA HO45 parent file",https://bracers.mcmaster.ca/bracers-notes?page=1225,"This is stronger than generic censorship context: it refers to the specific Woods-bound record 57120."
RW118I,"1916; parent file",,"","UK National Archives Home Office records","HO 45/11012/314670","Home Office file on pacifist Bertrand Russell; TNA educational surface separately exposes item /29, Letter from Bertrand Russell, 12 August",primary_repository_parent_file_confirmed_item_relation_to_57120_unresolved,"external government custody domain for the interception episode","search the parent file for Woods/Troup/Cockerill and exact 30 Jul intercepted letter; do not equate /29 dated 12 Aug with 57120 without text/image match",https://www.nationalarchives.gov.uk/search/results/19?_q=home+office,"Published scholarship on the interception cites HO 45/11012/314670 X.1.3173, giving a strong parent-file bridge but not yet an exact modern item mapping."
RW118J,1860s-1961,"James Haughton Woods papers",,"Harvard University Archives","HUG 1880.2xx","recipient-side personal/archive domain; correspondence to/from/about Woods",official_collection_confirmed_no_public_Russell_child,"reciprocal candidate for Russell/Woods and broader Lovejoy-Woods network; already an orientalist-track target","search/request 1916 correspondence subseries but interpret absence of the specific 30 Jul Russell letter in light of independently documented interception; do not generalize that logic to other letters",https://hollisarchives.lib.harvard.edu/catalog/hua63020,"Public HOLLIS exposes correspondence subseries including circa1860s-1936 and 1865-1961 but not a Russell child."
