id,date,source_type,author_or_institution,location_or_pages,claim,evidence_status,limitation,url
OW180-01,1894-05-16,contemporary newspaper,Harvard Crimson,Religous Union notice,Harvard Religious Union announced Vivekananda as a public speaker,confirmed scheduled event,Does not establish Lovejoy attendance or even his presence at Harvard in 1894,https://www.thecrimson.com/article/1894/5/16/religous-union-this-evening-at-8/
OW180-02,1896,author publication summarized in bibliography,Arthur O. Lovejoy,Some Harvard Notes,Lovejoy discussed Harvard public spirit and social services,confirmed bibliographic summary,Original article and precise wording not yet checked,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
OW180-03,1896-03-25,printed lecture bibliographic record,Swami Vivekananda,Harvard Graduate Philosophical Society,Vivekananda addressed the society to which Lovejoy belonged,confirmed institutional intersection,Lovejoy attendance and personal encounter unproven,https://nrs.harvard.edu/urn-3:HUL.ARCH:40128815
OW180-04,1898-04-09,contemporary newspaper,Harvard Crimson,Calendar for Monday April 11,"Other Worldliness. Mr. A. O. Lovejoy",confirmed scheduled event,No lecture text or evidence that event occurred,https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/
OW180-05,1899,primary journal table of contents,Journal of the American Oriental Society,20:303-337,"Everett, Toy, Lanman, Warren obituary and primitive religion occupy the same issue",confirmed institutional publication adjacency,Adjacency does not prove collaboration or Lovejoy attendance,https://www.jstor.org/stable/i225070
OW180-06,1899,primary journal table of contents,Charles Carroll Everett,JAOS 20:309-316,The Psychology of the Vedanta and Sankhya Philosophies,confirmed title authorship pagination,Does not establish the exact content of Everett courses Lovejoy attended,https://www.jstor.org/stable/592337
OW180-07,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.439,The historical problem is religious valuation of time and becoming,confirmed authorial statement,Postdates 1898 lecture by four years,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-08,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.440,"Otherworldliness is not future life but otherness of ultimate Being and genuine Worth",confirmed authorial definition,Cannot establish that identical definition was presented in 1898,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-09,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.441,Vedanta and Buddhism are the first explicit analytical cases,confirmed authorial sequence,Does not prove either appeared in lost 1898 lecture,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-10,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.442 footnote,Lovejoy cites his own article on upadana and upadisesa,confirmed explicit self-citation,Footnote misprints JAOS volume XVIII rather than actual volume XIX,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
