source_id,actor,date,title_or_description,source_type,url_or_location,relevance,evidence_status,notes
B61_EPHE_1898_99,MARILLIER_L,1898-1899,"I. Religions des peuples non civilisés; retrospective report on conferences","primary institutional report","https://www.persee.fr/doc/ephe_0000-0002_1898_num_12_8_19501","names Lovejoy among active participants; Monday survivance conference; Tuesday human sacrifice/ritual anthropophagy conference; mechanism-specific programme","direct primary","central institutional control for session-level reconstruction"
B61_EPHE_PROGRAM_1898_99,EPHE,1897,"Programme des conférences pour l'année 1898-1899","primary preliminary programme","https://www.persee.fr/doc/ephe_0000-0002_1897_num_11_7_19495","announced survivance Wednesday and sacrifice Friday; differs from retrospective Monday/Tuesday report","direct primary","use as evidence timetable changed; do not substitute preliminary programme for actual-year report"
B61_005_MAY29,LOVEJOY_AO,1899-05-29,"MS38 005 PDF p27 / MS p53 dated May 29","archival manuscript","MS38_004_001_061_005.pdf p.27","future-life and moral/non-moral eschatology material; 29 May 1899 Monday","direct archival + calendar control","strong inferred alignment with Marillier Monday survivance session"
B61_005_JUN6,LOVEJOY_AO,1899-06-06,"MS38 005 PDF p47 / MS p93 headed Sac. / June 6","archival manuscript","MS38_004_001_061_005.pdf p.47","opens African/sacrifice sequence; 6 June 1899 Tuesday","direct archival + calendar control","fresh high-resolution visual check: heading is Sac., correcting earlier Soc. transcription"
B61_005_JUN12,LOVEJOY_AO,1899-06-12,"MS38 005 PDF p29 / MS p55 inserted slip headed Marillier — Survivance — 12 June","archival manuscript","MS38_004_001_061_005.pdf p.29","explicit Marillier + survivance + date; 12 June 1899 Monday","direct archival","strongest session marker in 005 so far"
B61_MAUSS_METHOD,MAUSS_M,1902,"Métier d'ethnographe, méthode sociologique / methodological section of opening lesson","primary text in electronic reproduction of RHR 45 pp42-54","https://classiques.uqam.ca/classiques/mauss_marcel/oeuvres_3/oeuvres_3_09/metier_ethnographe.html","Mauss explicitly attributes critique des faits to Marillier's example; exhaustive bibliography; collective critical work; close document analysis; seminar work","primary text via later electronic reproduction","facsimile control still desirable; original RHR 45 pp42-54"
B61_EPHE_MAUSS_1901_02,MAUSS_M,1901-1902,"I. Religions des peuples non civilisés; retrospective report","primary institutional report","https://www.persee.fr/doc/ephe_0000-0002_1901_num_15_11_19570","critical study of Melanesian magic documents; says he maintained traditions implanted by Marillier; scientific seminar work and ethnographic bibliography","direct primary","independent institutional confirmation of methodological tradition"
B61_MARILLIER_1897_98,MARILLIER_L,1897-1898,"I. Religions des peuples non civilisés; retrospective report","primary institutional report","https://www.persee.fr/doc/ephe_0000-0002_1897_num_11_7_19478","pre-Lovejoy continuity: distinguishes union rites from magical purification/preservation and fecundative rites; funerary/expiatory/anthropophagic/magical sacrifice","direct primary","shows mechanism-discrimination programme predates Lovejoy year"
B61_MARILLIER_1899_1900,MARILLIER_L,1899-1900,"I. Religions des peuples non civilisés; retrospective report","primary institutional report","https://www.persee.fr/doc/ephe_0000-0002_1899_num_13_9_19524","post-Lovejoy continuity: agrarian sacrifice, magical/fecundative power of blood, expiatory rites, critical Frazer study; amoral eschatology","direct primary","shows continuing research programme"
B61_MARILLIER_FOLKLORE,MARILLIER_L,1901,"Le folklore et la science des religions","primary publication; facsimile pending","https://ia300224.us.archive.org/2/items/revuedelhistoir08alphgoog/revuedelhistoir08alphgoog.pdf","potential direct Marillier methodological statement; RHR 43 pp166-183","manual retrieval pending","fallback congress printing at https://archive.org/details/actesdupremierc00parigoog printed pp182-199"
B61_MAUSS_RHR_FACSIMILE,MAUSS_M,1902,"L'Enseignement de l'histoire des religions des peuples non-civilisés à l'École des Hautes Études","primary publication; facsimile pending","https://ia351426.us.archive.org/0/items/revuedelhistoir17alphgoog/revuedelhistoir17alphgoog.pdf","facsimile control for critique des faits / bibliography / document seminar section","manual retrieval pending","target original RHR 45 pp42-54; article pp36-55"
