notebook_pdf_pages,manuscript_pages,notebook_topic,identified_source,source_pages,relationship,verbal_closeness,lovejoy_operation,evidence_status,next_action
4-5,8-9,Sankhya method / pramana,"Richard Garbe, Die Sâmkhya-Philosophie (1894)",150ff,"Direct named source; notebook heading 'Garbe p.150' and sequence of pramana/logical-method claims matches source",very_high,"Selection/abbreviation; adopted/alien logical material supplies historical-layering problem",confirmed_exact_source,"Build sentence-level transcription↔Garbe table only if needed for publication"
12-14,53-57,Sankhya/Buddhism priority and chronology,"T. W. Rhys Davids, Buddhism: Its History and Literature (1896)",24-30,"Close extract/digest including Garbe chronology, 'most doubtful', 'great gap', Kapila conclusion",very_high,"Source uptake; no independent Lovejoy endorsement should be inferred from copied first-person wording",confirmed_exact_source,"Keep source boundary explicit in paper draft"
14-16,57-61,Brahmajala sixty-two heresies,"Rhys Davids, Buddhism: Its History and Literature (1896)",30-36,"List/order/descriptions closely follow Rhys Davids; source says opinions need not represent separate schools",very_high,"Notebook condenses source; decomposition/recombination partly inherited from Rhys Davids",confirmed_exact_source,"Map exact authorial hinge only if quoted"
15-16,59-61,Detached doctrines / coherent systematic reason,"Rhys Davids upstream; exact Lovejoy wording not matched in source",30-36,"Notebook says doctrines need not be separate systems and may combine, then adds that Buddhism rejects all for a coherent/systematic reason",medium_high,"Likely synthesis/recasting: turns source classification into question of systematic reason",probable_authorial_synthesis_source_control_needed,"Search exact phrases in other immediate sources before treating wording as uniquely Lovejoy"
16-17,61-63,Sankhya comparison from Buddhist heresy list,"Rhys Davids 1896 plus notebook supplement",28-30,"Notebook follows Rhys Davids then explicitly shifts to 'To R.D.'s remark it should be added'",high_until_explicit_hinge,"Lovejoy redefines diagnostic core as separateness of Self and World/thorough-going dualism and seeks more genuinely Sankhyan parallel in Majjhima Nikaya 63",confirmed_authorial_hinge,"Use as principal example of diagnostic-resemblance control"
18,65,Buddhist refusal of speculative assertions,"Henry Clarke Warren, Buddhism in Translations (1896), Chapter II intro; T.W. Rhys Davids 1896 Lecture I",111-116;39-43,"Warren explicitly pairs false-presupposition/out-of-court explanation with 'purely practical aim'; Rhys Davids says negative anti-soul position is not whole Dharma",high_conceptual_match,"Lovejoy reweights sources: not merely practical philosophical agnosticism; objection lies in form/presuppositions of questions while Buddhism remains salvation through insight",strong_authorial_reweighting_exact_lexical_source_partly_open,"Search 'common-sense moralist' phrase only if needed"
20,71,Program for analyzing nidanas,"Notebook programmatic voice",null,"Uses 'present effort' and states aim explicitly",authorial_programmatic,"General philosophical position + Three Characteristics → technical working out in paticca-samuppada → twelve notions/interrelation/current Indic ideas",confirmed_programmatic_notebook_voice,"Use as principal manuscript anchor for system-reconstruction thesis"
20-36,71-105,Term-by-term dependent origination analysis,"Warren; Oldenberg; Childers; Nidana-Samyutta; Buddhaghosa; Hardy and others",various,"Heavy mediated textual apparatus; quotations/definitions assembled term by term",mixed,"Juxtaposition and causal/semantic mapping; diagram consciousness→namarupa→sense organs→contact→sensation→desire",confirmed_mediated_research_apparatus,"Resolve only references needed for argument"
20-36,71-105,Historical compositeness / duplicate-generation problem,"Henry Clarke Warren, Buddhism in Translations (1896)",115-116,"Warren already suspects full dependent-origination formula is a 'piece of patchwork' because sentient being is generated twice; Buddha may have combined/modified older formulas",very_high,"Important upstream hypothesis: notebook's compositeness problem belongs to source environment; Lovejoy's later contribution must be located in reconstruction rather than discovery of patchwork",confirmed_primary_source_context,"Compare with Senart only at the level needed for genealogy-vs-configuration argument"
30,91,Saṅkhāra / karma contextual use,"R. Spence Hardy, A Manual of Budhism (1853)",386,"Notebook directly cites Hardy p.386 in the saṅkhāra/karma discussion",high_named_source,"Uses Hardy within broader causal-continuity apparatus; confirms direct use of the Manual before the p394 distinction",confirmed_direct_notebook_citation,"Recover p386 only if exact quotation becomes necessary"
33,97,Upādāna relation to karma — fact versus manner of continued existence,"R. Spence Hardy, A Manual of Budhism (1853)",394-396,"Direct named source under heading 'Upādāna, Relation to Karma'; notebook asks whether upādāna causes the fact of continued existence while karma causes its manner; direct Hardy primary recovered",very_high_conceptual_medium_transcription,"Transforms Hardy's two-factor reproduction/manner description into explicit fact/manner analytic question; direct precursor to 1898 particular-condition/fact-of-rebirth distinction",confirmed_direct_notebook_source_and_primary_recovered,"Use Hardy→004→1898 as principal source-transformation microgenesis; no manual Hardy retrieval needed"
1853_primary,NA,Hardy causal architecture primary control,"R. Spence Hardy, A Manual of Budhism (1853)",394-396,"Primary says upādāna is cleaving to existing objects; by upādāna a new existence is produced while karma controls its manner; karma specifies species/state/grade; p396 says karma produces new existence in conjunction with upādāna",exact_primary,"Upstream two-factor architecture with some ambiguity over efficient causation; supplies material Lovejoy later regularizes",confirmed_primary_recovered,"Cite Internet Archive item manualofbudhism00hard; distinguish Hardy's wording from Lovejoy's fact/manner terminology"
48-52,135-143,Senart / composite nidana formula,"Émile Senart, À propos de la théorie bouddhique des douze nidânas (1896)",281-297,"Direct named engagement; uploaded primary confirms late/composite thesis and upādāna = pañca upādānaskandhas claim; notebook/article partly grant heterogeneity but reject semantic premise/inference to incoherence",high,"Test whether apparent repeated components perform same semantic/causal role; separate source composition from present function",confirmed_primary_recovered_and_notebook_engagement,"Use Senart→004→1898 claim table already built; no further primary retrieval required"
55-71,149-183,upādāna/upadhi/upādisesa/Nirvana,"Hermann Oldenberg, Buddha: His Life, His Doctrine, His Order, English tr. (1882); Childers; Rhys Davids; Burnouf; Sutta Nipata; Samyutta; Buddhaghosa",427-438 plus notebook wider sources,"Lovejoy explicitly cites Oldenberg English tr. p433 in 1898; Oldenberg already supplies ethical-residue thesis, Itivuttaka counterevidence, Anagamin and deceased-monk evidence, upādāna≈samyojana, and upādi=upadhi orthographic hypothesis; notebook extends/tests this package",high_primary_plus_notebook,"Controlled recomposition: retain Oldenberg ethical direction but decouple it from settled etymology, add/repurpose usage evidence, preserve contradictory textual witnesses and provisionality",confirmed_direct_source_primary_recovered,"Use Oldenberg1882→004→Lovejoy1898 matrix; test only specific lexical forks in Childers/RhysDavids/Dahlmann/Müller"
1882_primary,NA,Oldenberg upādisesa semantic and orthographic control,"Hermann Oldenberg, Buddha, English tr. William Hoey (1882)",427-438,"Primary explicitly acknowledges Itivuttaka physical reading; then uses systemic parallel plus Satipatthana/Anagamin, deceased monk, poison-remnant and nirupadhi evidence to argue ethical residue; declares upādi a Pali spelling of upadhi and explains orthography conjecturally",exact_primary,"Upstream source already contains most semantic/canonical architecture later praised by Lovejoy; ends with stronger orthographic resolution than Lovejoy accepts",confirmed_primary_recovered,"No manual retrieval needed for 1882; compare exact claims to Lovejoy pp133-136"
1898_context,NA,Hardy causal source in contemporary controversy,"Hermann Jacobi, Über das Verhältnis der buddhistischen Philosophie zu Sāṁkhya-Yoga und die Bedeutung der Nidānas (1898)",13,"Jacobi independently quotes Hardy p394 and uses it to draw upādāna toward adrṣṭa/karma",high_primary,"Same Hardy locus generates rival assimilation strategy; Jacobi is parallel appropriation, not necessary relay to Lovejoy because 004 cites Hardy directly",confirmed_primary_recovered,"Use in branching-source microhistory; do not infer Lovejoy read Jacobi before article without chronology/access evidence"
1898_context,NA,Textual-semantic control against karma/adrṣṭa assimilation,"Hermann Oldenberg, Buddhistische Studien, ZDMG 52 (1898)",690-694,"Oldenberg criticizes Jacobi's Hardy-based construction and reconstructs upādāna from Buddhist lexical/textual usage; phassa→vedanā→taṇhā→upādāna are distinct stages",high_primary,"Contemporary opposing control: semantics and causal sequence before genealogy; functional non-equivalence is not uniquely Lovejoyian",confirmed_primary_recovered,"Recover true Buddha³ p273/443-455 to measure how much was already explicit in 1897; dependence on Lovejoy remains unsupported"
1898_article,NA,published system reconstruction,"Arthur O. Lovejoy, The Buddhistic Technical Terms upādāna and upādisesa, JAOS 19 (1898)",126-136,"Published endpoint of notebook line; first half grows from Hardy p394 and Senart controversy; second half explicitly praises Oldenberg English tr. p433 but modifies evidentiary posture",secure_primary,"Two linked recompositions: historical-functional allocation of karma/upādāna; semantic reconstruction of upādisesa under unresolved etymology/textual genealogy; usage prioritized over etymological certainty and final contradiction retained",confirmed_primary_authorial_recomposition_not_priority,"Treat full article as source-transformation case rather than novelty/priority claim"
1902_article,NA,transport into comparative category history,"Arthur O. Lovejoy, Religion and the Time-Process, American Journal of Theology 6.3 (1902)",439-472,"Article explicitly self-cites 1898 Buddhist technical paper; treats Buddhism/Vedānta as first major case; separates conceptual resemblance from demonstrated borrowing and tracks presuppositions/logical motives through changing configurations",secure_primary_from_prior_recovery,"Scale expansion: division between genealogy/transmission and present logical/configurational function is generalized beyond Buddhist technical terminology",confirmed_primary_authorial_bridge,"Use cautiously as operational continuity; do not project mature unit-idea terminology backward"
