year	volume_issue	author	title	region_object	role_code	role_description	internal_vs_relation_address	evidence_status	interpretive_note
1956	17.3	Johanna M. Menzel	The Sinophilism of J. H. G. Justi	China/Germany	R2_SOURCE_ANTECEDENT+R7_REPRESENTATION	China/Chinese civilization functions as an intellectual model and represented source within an eighteenth-century German European genealogy	WEST_FACING_RELATIONAL	DIRECT_BIBLIOGRAPHIC+JSTOR_METADATA	Useful anti-linearity control: China remains a source/object inside European intellectual history even as internally addressed Asian cases begin to appear elsewhere.
1956	17.4	Arnold H. Rowbotham	The Jesuit Figurists and Eighteenth-Century Religious Thought	China/Europe/Jesuit transmission	R2_SOURCE_ANTECEDENT+R4_CONTACT_TRANSMISSION	Chinese classical materials move through Jesuit figurist interpretation into eighteenth-century European religious/intellectual controversy	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC+HIGH_GRADE_SECONDARY_CONTROL	A dense mediation case: Chinese texts matter through missionary translation, interpretation and circulation rather than as a self-contained Chinese intellectual history.
1956	17.4	Ursula Lamb	Religious Conflicts in the Conquest of Mexico	Indigenous Mexico/Spanish conquest	R5_REACTION_TRANSFORMATION+R8_IDEA_TO_ACTION+R4_CONTACT_TRANSMISSION	Rival religious world-views under armed intercultural contact are treated as a history-of-ideas problem of conflict, acculturation and attempted substitution	COLONIAL_CONTACT_BILATERAL	DIRECT_JSTOR_TOC+SEARCHABLE_FULLTEXT_CONTROL	Especially important because Lamb explicitly argues that compulsory contacts between civilizations and acculturation should become objects of historical history-of-ideas analysis, not remain only anthropology/political history.
1959	20.1	George Sansom	Early Sources of Japanese Tradition	Japan	R6_REGIONAL_HISTORIOGRAPHY_REVIEW	Review treatment of primary/source architecture for Japanese tradition inside JHI	REGIONALLY_ADDRESSED_META	DIRECT_JSTOR_TOC	Review presence matters for field infrastructure: Japan enters not only as source for Europe but as a tradition with its own source corpus requiring historiographical evaluation.
1959	20.2	Max Hamburger	Aristotle and Confucius: A Comparison	China/Greece	R3_COMPARATIVE_COCASE	Confucius and Aristotle are placed as explicit co-cases in comparative philosophy	BILATERAL_COMPARATIVE	DIRECT_JSTOR_TOC	A useful pre-1960 International Society comparator: parity at the title/problem level already exists before Loehr/Hightower, though the precise comparative asymmetries require article-level reading.
1960	21.2	Arthur F. Wright	The Study of Chinese Civilization	China/Sinology	R6_REGIONAL_HISTORIOGRAPHY+R9_FIELD_METHOD	How Chinese civilization should be studied historically; disciplinary reconstruction of Sinology toward history/social science	REGIONALLY_ADDRESSED_META	DIRECT_METADATA+FULLTEXT_CARRIER	Major field-method marker; later 1964 peer explicitly reads it as freeing Sinology from the 'incubus of Orientalism' by learning to write history and use social science.
1961	22.2	Max Loehr	The Question of Individualism in Chinese Art	China/art	R3_COMPARATIVE_COCASE+R1_INTERNAL_CONCEPTUAL_HISTORY	Chinese art used as a core co-case for the International Society's individualism problem	BILATERAL/INTERNATIONAL_COMPARATIVE	DIRECT_JSTOR_TOC	Not supplementary tail material: opens the issue generated from the Cambridge International Society meeting.
1961	22.2	James R. Hightower	Individualism in Chinese Literature	China/literature	R3_COMPARATIVE_COCASE+R1_INTERNAL_CONCEPTUAL_HISTORY	Chinese literature as a core comparative site for individualism	BILATERAL/INTERNATIONAL_COMPARATIVE	DIRECT_JSTOR_TOC	Pairs with Loehr; strong sign that Chinese materials have moved into the central conference/problem architecture.
1963	24.1	Nicholas Rescher	Al-Fārābī on Logical Tradition	Islamic/Arabic philosophy	R1_INTERNAL_CONCEPTUAL_HISTORY+R6_REGIONAL_HISTORIOGRAPHY	Al-Fārābī's logical work and place in Arabic-speaking philosophical tradition are treated as the article's principal intellectual-historical object	INTERNALLY_ADDRESSED	DIRECT_JSTOR_TOC+SEARCHABLE_TEXT_CONTROL	Important pre-Fakhry internal-object marker: Islamic philosophy is not functioning chiefly as an intermediary to Europe; Rescher opens by stressing al-Fārābī's stature within Islam and Arabic logical studies.
1963	24.1	Franco Venturi	Oriental Despotism	Asia/Middle East/European political representation	R7_REPRESENTATION+R6_CONCEPT_HISTORY	Genealogy and critique of the European concept of Oriental despotism	WEST_FACING_REPRESENTATION_META	DIRECT_JSTOR_TOC+HIGH_GRADE_SECONDARY_CONTROL	Necessary negative/control role: wider regional coverage can coexist with continued study of 'the Orient' as a European conceptual construction rather than internally addressed Asian thought.
