notebook,pdf_page,ms_page,lexeme_or_phrase,object_of_analysis,operation,evidentiary_rule,confidence
004,20,71,"technical working out; inter-relation; careful analysis",dependent origination/textual doctrine,"analyze relations among links and texts","understanding requires relation-level analysis, not isolated terms",medium
004,37,107,"Infinity of Causal Series; from contact as a cause",nidana causal chain,"assign causal position","sequence interpreted through cause/condition relations",medium
004,49,137,"technical system; unintelligible; accidental",composite nidana formula,"separate provenance from arrangement","composite provenance does not prove absence of systematic relation",medium
004,50,139,"relation; temporally as well as logically; causes/conditions",nidana/khandha overlap,"distinguish temporal and logical relations","formal recurrence does not settle functional relation",low-medium
005,7,11,"special cause",origin of death,"seek specific explanatory cause","reported phenomenon requires causal explanation rather than generic category",medium
005,14,27,"heterogeneity; determinants of destiny",future-life belief,"separate moral supernatural ritual social determinants","co-present features need not have same explanatory status",medium-low
005,15,29,"determine; elimination of later elements; reconstruct",future-life strata,"separate determinants and historical layers","present mixture can be decomposed to reconstruct earlier forms",medium-low
005,61,123,"analyze carefully; determine; natural/social character; motive",sacrifice,"determine character before classification","outward sacrificial form does not determine original/religious character",low-medium
005,65,131,"motives; delicate analysis; distinct in character; syncretism",mixed sacrifice complex,"disaggregate mixed motives and elements","current ritual complex may combine historically distinct motives",medium
005,70,141,"function effectively; sacrificial meaning",ritual killing of rain-maker,"distinguish role/function from sacrifice","ritualized killing alone does not establish sacrifice",medium-high
005,76,153,"outward form alone; motive",human sacrifice,"interpret by motive/function not visible form","same visible rite need not have one motive",medium
005,106,,"original motive; original cause; present ceremonial form",anthropophagy,"separate present ceremony from genesis","present form is poor evidence for original cause",medium
