source_or_family,005_presence_and_job,1906_presence_and_job,migration_type,proposition_shift,interpretive_significance,status
Codrington The Melanesians,"Directly present in 005 opening bibliography and early Melanesian comparative material; one ethnographic authority among broad death/taboo/myth/rite packet","Central Oceanic lexical-semantic witness for mana; used to establish transferability/efficacy while personal-origin/supernatural clauses are reweighted","PERSIST_FUNCTION_MIGRATION","ethnographic comparison -> lexical-semantic existence/control","Same source survives because it can be reassigned to the vera-causa proof stage; persistence is functional not merely bibliographic",confirmed_both_stages
Daniel G Brinton,"The American Race directly present; Brinton belongs to American comparative/corrective authority field and source-weighting ecology","Named near opening among anthropomorphic/personal master-theory representatives to be displaced","PERSIST_ROLE_REVERSAL","evidence/corrective authority -> theoretical target","Scholar persists while argumentative job flips; empirical and theoretical authority are separable",confirmed_field_role_shift
James G Frazer,"Recurring theory/problem source across sacrifice substitution agriculture sympathetic magic and developmental sequences","Explicit foil for sharp magic/religion division and overworked sympathetic magic","PERSIST_THEORETICAL_FOIL","local theory testing -> published master-classification critique","Persistence reflects value as a problem generator rather than endorsement",confirmed
H C Trumbull,"Blood Covenant and Threshold Covenant used for blood alliance foundation boundary and protective efficacy cases","Not central in 1906 lexical first-stage authority packet","DEFER_SCOPE","custom/application evidence -> postponed customs stage","Omission fits paper's stated lexical proof scope; not evidence of abandonment",strong_from_full_1906_audit
Mary Kingsley,"West-African blood fetish house idol and protective-efficacy applications","Not central in 1906 lexical first-stage authority packet","DEFER_SCOPE","custom/application evidence -> postponed customs stage","Custom-rich source loses visibility when current proposition is conceptual existence rather than application",strong_from_full_1906_audit
Callaway Religious System of the Amazulu,"Zulu/ancestor sacrifice provision propitiation transaction and social-continuity evidence","Not central in 1906 lexical first-stage authority packet","DEFER_SCOPE","sacrificial classification -> postponed customs stage","Disappearance is positive scope evidence for division between existence proof and application proof",strong_from_full_1906_audit
Duff MacDonald,"005 p96 African counterexample in high-god/chieftainship developmental test; descriptive divine/custom evidence","Not principal lexical proof authority; African semantic proof instead relies heavily on Hetherwick Yao grammar","FUNCTIONAL_REPLACEMENT","ethnographic developmental counterexample -> superseded for lexical ontology by grammatical source","Replacement driven by fit-to-proposition rather than simple newer-is-better hierarchy",confirmed_005_plus_1906_selection
Alexander Hetherwick,"Not a major 005 authority in current source map","High-resolution Yao grammatical witness: non-personal noun class/inhering property","NEW_SOURCE_FOR_NEW_PROOF_JOB","NA -> grammatical ontology/semantic control","Publication recruits a new source class to independently warrant impersonal property category",confirmed_1906
North-American early missionaries/travelers,"005 uses travelers/missionary-contact reports mainly to establish beliefs practices provenance and contamination","1906 retains early Williams/Jesuit/Bressani material only for concrete lexical applications then limits proof ceiling","SOURCE_CLASS_RETOOLED","belief-report provenance -> lexical-attestation with interpretation stripped","Same observer class is made to carry narrower lower-level propositions",confirmed_cross_stage
McGee Fletcher Jones,"Not central 005 source packet in current concordance","High-resolution North-American lexical/grammatical/native-explanation controls","NEW_SOURCE_CHANNEL","NA/notebook custom apparatus -> independent semantic/mechanism proof","New evidence channel is constructed so published category does not bootstrap solely from notebook customs",confirmed_1906
005_customs_bibliography_as_whole,"Dense rite/custom packet: sacrifice blood fetish agriculture cannibalism initiation eschatology","Much of packet absent/deferred in 1906 first chapter; article announces later customs analysis","PROGRAMMATIC_RESELECTION","application corpus -> conceptual first-stage proof","Bibliography is reorganized by argument stage; citation frequency cannot stand in for intellectual importance",strong_structural_reconstruction
