issue,smith_1906_original_claim_or_operation,smith_1906_evidence_grade,lovejoy_1908_objection_as_preserved_in_smith_1909,smith_1909_defense_or_shift,proof_burden_transition,batch164_interpretation,evidence_status,caution
programmatic evidence scope,"Preface says Vorstudien raise questions more than solve them and publish roughly the first quarter of collected evidence","explicitly preliminary/cumulative","Lovejoy attacks particular links rather than accepting total configuration","Reply insists whole theory is cumulative and must be judged as a unit/in entirety","partial evidence -> large historical synthesis","1909 cumulative defense continues an already explicit 1906 programme; it is not obviously ad hoc","Smith 1906 OCR primary-content + Smith 1909 primary","facsimile-control exact wording before quotation"
Apollos / ta peri tou Iesou,"Acts 18 Apollos taught things concerning Jesus while knowing only John's baptism; Smith infers a doctrine about Jesus preceding the Gospel biography","presented as clear/inevitable conclusion, surrounded by further witnesses","Lovejoy's exact treatment not yet directly recovered","Smith later defends cumulative rather than isolated reading","textual-semantic inference -> pre-biographical doctrine","Smith begins from local semantic differentiation but rapidly historicizes it","Smith 1906 primary-content","Lovejoy direct column pending"
Simon / common root,"Simon's conversion to Philip is said impossible without deep hidden affinity; both must have at least a common root; Hippolyt's order later reinforces priority","strong necessity language","Lovejoy challenges use of Hippolytus to establish Naassene/Gnostic descent and chronology","Smith distinguishes direct source statement from his own inference and defends distributed-source synthesis/parsimony","affinity -> common root -> genealogical priority","critical issue is escalation threshold, not absence of source criticism","Smith 1906 + 1909 primary-content; Lovejoy objection opponent-preserved","check Lovejoy pp597-609 directly"
heresy chronology,"heresy is a heterodox form and may be older than later orthodoxy","semantic/category control","Lovejoy uses Hippolytus calling Naassenes a heresy/Christians against pre-Christian dating","Smith replies that heresy carries no necessary chronological priority/posteriority","label -> chronology","both sides reject automatic label chronology; disagreement lies downstream","Smith 1906/1909 primary; Lovejoy quoted/reconstructed","do not caricature Smith as label-essentialist"
brother terminology,"brothers of Jesus/Lord often denotes religious circles; some biological readings may be later materializations","semantic possibility with textual comparisons","Lovejoy points to lineage via James brother of the Lord as post-apostolic evidence","Smith stresses classificatory/spiritual kinship","kinship semantics -> chronology","shared semantic-decomposition toolkit; semantic ambiguity alone does not establish earlier dating","Smith primary; Lovejoy opponent-preserved","biological/classificatory historical claim needs separate source control"
Elymas / Bar-Jesus,"Smith explicitly says initial considerations are not decisive and prove nothing, establish possibility/probability; pseudo-prophet predicate then raises claim to certainty","explicit graded ladder possibility -> probability -> certainty","not central in recovered Lovejoy objections","n/a","additional discriminant -> certainty","direct proof that Smith possesses proposition-sensitive evidence grading; question is whether discriminator warrants escalation","Smith 1906 primary-content","not evidence of Lovejoy-Smith disagreement by itself"
Naassene hymn chronology,"Hymn directly attests pre-Christian Jesus idea; immediately concedes date unknown, calls it old, then says reasons favor earlier and all indications pre-Christian","unknown date -> antiquity -> pre-Christian -> direct attestation","Lovejoy stresses Hippolytus describes Naassenes as Christian/post-apostolic and disputes genealogy","Smith defends earlier strata/ideas and cumulative reconstruction","old/undated -> pre-Christian chronological bridge","clearest proof-burden mismatch: global fit cannot itself supply missing chronology","Smith 1906/1909 primary; Lovejoy opponent-preserved","highest-value direct Lovejoy check once pp597-609 recovered"
Saeculi Silentium literary parallel,"Smith accepts 1 Clement/Romans resemblance as non-accidental but denies direct citation; omissions/additions/context and common earlier catalogue undermine dependence","strict anti-borrowing control","not part of known Lovejoy review target","n/a","nonaccidental similarity -> direct dependence","Smith independently uses a rule very close to Lovejoy's resemblance/genealogy discipline; difference is calibration/consistency across claim domains","Smith 1906 primary-content","avoid implying direct methodological exchange"
many centres / origin theory,"Acts traditions interpreted as evidence Christianity spread from many centres rather than one Jerusalem source; uncertainty of beginnings supports older widespread cult","cumulative historical reconstruction","Lovejoy overall conclusion reportedly denies Smith has established major pre-Christian-origin theory","Smith says individual objections miss cumulative whole","multiple anomalies -> alternative origin genealogy","both local and configurational reasoning are present; disagreement is confidence escalation","Smith primary; Lovejoy overall conclusion still secondary/opponent-preserved","direct Lovejoy text required for symmetric adjudication"
meta-level comparison,"Smith can grade evidence and reject direct borrowing, yet permits cumulative configuration to elevate uncertain chronological links","mixed/claim-sensitive","Lovejoy repeatedly reopens semantics, chronology, adverse passages and descent links","Smith insists reciprocal support of whole configuration matters","component proof -> configuration proof","best adversarial model is proof-burden calibration, especially for genealogy, rather than rigor vs speculation","cross-batch synthesis","project analytical vocabulary, not historical terminology"
