date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action
1895-1897,institutional_primary_secondary,005,Marcel Mauss EPHE training under Léon Marillier,"EPHE Dictionnaire prosopographique: Marcel Mauss",confirmed,"Places Mauss in Marillier's Religions des peuples non civilisés orbit immediately before Lovejoy's 1898-99 participation","Keep as institutional adjacency not classmate claim"
1896-1897,primary_reproduction,005,Mauss acknowledgement of Marillier bibliography/course notes,"La religion et les origines du droit pénal d’après un livre récent; RHR 34-35 reproduction",confirmed_text_original_page_alignment_pending,"Direct documentary evidence that Marillier's bibliographies and course notes entered Mauss's Steinmetz research","Align exact original RHR page"
1896-1897,primary_reproduction,005,Mauss kin anthropophagy classification,"same Mauss Steinmetz critique",confirmed_text_original_page_alignment_pending,"Transfer of dead person's virtues/body fragment is explicitly classified as communion; proposition-level contrast with 005","Align original page and compare Marillier review"
1897-1899,primary,005,Hubert and Mauss sacrifice essay,"L’Année sociologique II; 1909 facsimile reprint",confirmed,"Rejects universal genealogy from totemic communion and explicitly cites Marillier as a major Robertson Smith critic; macro-method convergence with 005","Determine exact publication timing/availability in Paris 1899 without inferring Lovejoy reading"
1902,primary_via_secondary_control,005,Mauss assessment of Marillier,"Léon Marillier et la science des religions; quoted/reconstructed by EPHE and Pascal Le Maléfan",confirmed_core_quote,"Mauss credits Marillier with teaching critique des faits while rejecting his universal psychological explanatory endpoint; models method inheritance plus theoretical break","Retrieve full Mauss 1902 primary text if convenient"
1904,primary,005,Hubert and Mauss theory of magic/mana,"Esquisse d’une théorie générale de la magie",confirmed,"Moves efficacy toward social/collective explanation and category formation","Build proposition-level comparison with Lovejoy 1906 if paper expands beyond 005"
1906,primary,005,Arthur O. Lovejoy Primitive Energetics,"The Fundamental Concept of the Primitive Philosophy; The Monist 16",confirmed,"Impersonal quasi-mechanical communicable efficacy; Lovejoy states conclusions reached in 1900 under strong Marillier influence","Keep as endpoint and test direct Mauss/Hubert citations in full bibliography"
1948,historiography,005,Hutton Webster mana/dynamism genealogy,"Magic: A Sociological Study",confirmed_bibliography_broad_grouping,"Early reception groups Lovejoy and Hubert/Mauss within broader force/mana literature rather than reconstructing personal relation","Use only as reception control"
1980,historiography,005,Daniel J Wilson Lovejoy Paris biography,"Arthur O. Lovejoy and the Quest for Intelligibility",confirmed,"Paris narrative names Vernes Réville Sylvain Lévi and libraries but omits recovered Marillier EPHE node; helps explain historiographic invisibility","Avoid global claim that Wilson never mentions Marillier without full-book audit"
2017,historiography,005,Nicolas Meylan,"Mana: A History of a Western Category, esp. Bringing Mana Within Theory",confirmed,"Strongest prior theoretical comparison: Mauss trained under Marillier; Hubert/Mauss socialize magic/mana; Lovejoy 1906 reconfigures mana as causality/primitive energetics","Frame novelty as documentary reconstruction not first recognition of theoretical adjacency"
2026,current_audit,005,Direct Mauss-Lovejoy personal/textual relation,"web + repository audit",not_located_not_disproved,"No meeting correspondence or direct citation located so far; direct influence claim is currently unsupported","Search Lovejoy correspondence index Mauss/Hubert/Durkheim/Bouglé and Mauss correspondence/reviews for Lovejoy"
