id,date_or_year,institution,teacher_or_actor,evidence,source,status,implication_for_Lovejoy_1898
P128-01,1895,EPHE / Paris,"Marcel Mauss; Sylvain Lévi",Modern institutional history places Mauss's first meeting with Lévi in 1895 after his philosophy agrégation.,https://books.openedition.org/editionscnrs/60559,secondary_control,"Provides the calendar anchor for Mauss's later recollection that 'the following year' Lévi and Finot initiated him into Pāli and Buddhist translation."
P128-02,1895-1896,EPHE IVe Section,"Sylvain Lévi; Louis Finot",Official annual report says Finot handled grammatical theory and slow analysis of elementary texts for beginners while Lévi trained newcomers in rapid Sanskrit reading and fundamental Indianist history/religion/literature.,https://www.persee.fr/doc/ephe_0000-0001_1896_num_1_1_2053,primary,"Confirms the first-stage Sanskrit training structure that closely matches Mauss's retrospective description of submitting to Finot and Lévi."
P128-03,c.1896-1897,EPHE IVe Section,"Sylvain Lévi; Louis Finot; Marcel Mauss","In his 1935 memorial for Lévi, Mauss recalled that after the initial Sanskrit/chrestomathy training, 'the following year' Lévi together with Finot initiated them into Pāli and Buddhist translation; Lévi alone also guided them through Manu and Hindu theatre.","Marcel Mauss, 'Sylvain Lévi' (1935), repr. Oeuvres III (1969), pp.537-538; quotation controlled via https://books.openedition.org/editionscnrs/60559",retrospective_primary_text_via_secondary_reprint,"Strong evidence that Pāli/Buddhist-translation teaching by the Lévi-Finot circle was a real recent Paris precedent before Lovejoy arrived. Exact formal course title/year still requires annual-report/facsimile reconciliation."
P128-04,1896-1897,EPHE Ve Section,"Louis Finot substituting Alfred Foucher; Sylvain Lévi",Official report records Finot teaching Vedānta exegetical method; Marcel Mauss is explicitly one of the élèves titulaires.,https://www.persee.fr/doc/ephe_0000-0002_1896_num_10_6_19458,primary,"Places Mauss inside the same cross-section Indianist training ecology during the likely Pāli-precedent year, but this Ve-section course itself was Vedānta rather than Pāli."
P128-05,1896-1897 / before 1897 mission,"Sylvain Lévi; Marcel Mauss",Modern source citing Mauss's memorial says Lévi's Brāhmaṇa/sacrifice lessons were personally directed to Mauss in 1896-97 before Lévi left for Nepal.,https://books.openedition.org/editionscnrs/60559,secondary_with_primary_quote,"Shows highly individualized/supplementary teaching could coexist with the published course structure; therefore absence of a Pāli title in a summary programme would not by itself falsify Mauss's recollection."
P128-06,1897-1898,EPHE IVe Section,Sylvain Lévi,Official annual report states Lévi was on mission in India and could direct no conference during the academic year; Finot gave three conferences weekly.,https://www.persee.fr/doc/ephe_0000-0001_1899_num_1_1_2200,primary,"Explains a one-year discontinuity immediately before Lovejoy's Paris year."
P128-07,Jan-Jun 1898,EPHE IVe + Ve Sections,"Louis Finot; Alfred Foucher","Finot and Foucher's contemporary article explicitly says Sanskrit was taught in both historical-philological and religious-sciences sections; Indian-religion study required the sacred language, and the two teachings differed more by commentary orientation than by text choice; both had historically been entrusted to Sylvain Lévi.",https://education.persee.fr/doc/revin_1775-6014_1898_num_35_1_3636,primary_contemporary,"Shows that 'Pāli Buddhism with Lévi' need not map neatly onto one modern-looking course label or one institutional silo; language, text, and religion teaching overlapped across IVe/Ve Section practice."
P128-08,1898-1899,EPHE IVe Section,Sylvain Lévi,"Official report shows Lévi back and teaching Bhagavad-Gītā plus a continuous survey of Indian literature; no formal Pāli-Buddhism course appears in the recovered regular offerings.",https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2251,primary,"Independently corroborates Wilson's letter-based statement that the Pāli-Buddhism study Lovejoy wanted was not being offered that year, while avoiding any claim that private Pāli reading occurred."
P128-09,1898-1899,EPHE Ve Section,Alfred Foucher,"Recovered annual report/course matrix has Nyāya and related Indian-religion work rather than a Pāli-Buddhism offering; Stickney gives a Sāṃkhya series from Garbe.",https://www.persee.fr/issue/ephe_0000-0002_1898_num_12_8,primary,"Confirms that the other institutional Indian-religion track also does not simply supply the missing Pāli course."
P128-10,1899-1900,EPHE Ve Section,Alfred Foucher,"Immediate next-year report includes archaeology of Buddhism alongside Manu work and an added Nyāya reading at Hubert's request.",https://www.persee.fr/doc/ephe_0000-0002_1899_num_13_9_19527,primary_control,"Shows Buddhist subject matter rotated through the programme; one year's absence of a desired course need not imply Pāli/Buddhist teaching was alien to the institution."
P128-11,unresolved,EPHE IVe Section,"Lévi; Finot",The exact annual-report wording that corresponds to Mauss's remembered Pāli/Buddhist-translation initiation has not yet been directly recovered at proposition level.,https://www.persee.fr/doc/ephe_0000-0001_1897_num_1_1_2102,open,"Do not yet state that a formally advertised 1896-97 Pāli course has been proven. The current claim is a strong recent teaching precedent from Mauss's retrospective testimony plus institutional chronology."
