source_date,source_or_object,bhava_role,temporal_boundary_or_partition,paccaya_time_view,upadana_role,relationship_to_Lovejoy,evidence_status
1882,"Hermann Oldenberg, Buddha, English translation","Rendered in contemporary relay as rebirth/continuance of being for another existence","Boundary effectively after link 9 in Waddell's quotation/critique of Oldenberg","Direct underlying passage still to be checked","Clinging is antecedent of renewed existence","Available pre-Lovejoy interpretive line; Lovejoy demonstrably knew/used Oldenberg generally, but direct dependence for partition unproved",contemporary_relay_direct_primary_pending
1893,"Henry Clarke Warren, AOS Proceedings p.xxvii","NA","NA","Contemporary Waddell relay says Warren warns cause is used too strictly, time should be secondary, paccaya flexible/different senses","Same page also source cited by Lovejoy for desire/attachment identity","Highly plausible upstream methodological environment; direct page needed before dependence claim",contemporary_relay_plus_Lovejoy_citation_direct_page_pending
1895,"L. A. Waddell, Buddhism of Tibet / JRAS discussion","Quotes/criticizes Oldenberg bhava as rebirth and continuance for another existence","Explicitly says through link 9 evolution is life-history; link 10 opens renewal problem","Relays Warren 1893 warning on time/cause","Discusses chain as life-history and renewal","Contemporary field witness only; no evidence Lovejoy read Waddell",secure_contemporary_relay_direct_facsimile_cleanup_pending
1896,"Warren, Buddhism in Translations / Visuddhimagga source packet","Bhava-type karma-existence belongs to causal factors associated with present/future production","Standard scholastic architecture later summarized as 2-8-2: past 1-2, present 3-10, future 11-12","Commentarial causal model distinguishes multiple causal/resultant factors rather than one simple time sequence","Attachment belongs among present causal conditions","Competing model available in source environment; do not equate translation with Warren personal endorsement",secure_source_packet
c1896-1898,"MS38_004 p21","Bhava glossed as 'continued existence' and specifically taken in form of jati/jaramarana","Implicitly groups bhava with renewal/birth-death end of chain","Not yet formal partition statement","Upadana analysis follows immediately in notebook sequence","Direct notebook precursor to published 9→10 hinge",confirmed_archive
c1896-1898,"MS38_004 pp27-28","New namarupa accompanies rebirth","Links 3-8 diagrammed as one present sentient/psychological complex","Causal relations mapped across categories rather than as bare chronological list","Desire at link8 leads into later attachment analysis","Strengthens present-complex interpretation before causal hinge",confirmed_archive
c1896-1898,"MS38_004 p33 / Hardy p394","Renewed/continued existence is problem to be caused","Fact vs manner of continued existence","Causal jobs distinguished, not one homogeneous temporal cause","Upadana proposed cause of fact; karma cause of manner","Direct Hardy source transformation feeding 1898",confirmed_archive_plus_primary
1898,"Lovejoy, Buddhistic Technical Terms","Bhava grouped with future renewal after upadana","2-7-3: 1-2 past, 3-9 present, 10-12 future","Explicitly says formula does not express strict temporal sequence","Upadana is cause of fact of rebirth; karma particular condition","Published synthesis/configuration",confirmed_primary
1905-1906,"La Vallée Poussin, Deux notes sur le Pratityasamutpada","Temporal distribution is explicit dogmatic problem","Claims orthodox past/present/future distribution; exact page-level allocation cleanup pending","Treats stratification and exegetical ordering as separate from temporal model","NA in recovered opening","Later field control, not source",primary_problem_statement_exact_model_cleanup_pending
1913,"La Vallée Poussin, Théorie des douze causes","Bhava remains in present causal complex in dominant scholastic three-life model","2-8-2 standard: past 1-2, present 3-10, future 11-12","Separates temporal allocation from klesa/karman/vipaka and other systemic models","Part of present causal mechanism","Later control showing Lovejoy 2-7-3 was one competing reconstruction, not standard scholastic allocation",confirmed_primary
