record_id,event_year,subject,primary_source,evidence_grade,documented_finding,evidence_limit
B189-01,1904,Historiographical programme,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/July_1904/Some_Eighteenth_Century_Evolutionists_I,A_direct_primary,"Lovejoy opens by saying a satisfactory history of descent remains unwritten because persistent errors and illusions of historical perspective distort the subject; he calls existing English histories inadequate or inaccurate and proposes a fresh correction.",Does not by itself identify the origin of Lovejoy's source-critical habits.
B189-02,1904,Retrospective resemblance versus historical emergence,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/July_1904/Some_Eighteenth_Century_Evolutionists_I,A_direct_primary,"Lovejoy distinguishes ancient fortuitous foreshadowings from mid-eighteenth-century evolutionism generated by concrete advances in natural science.",Difference in historical status does not mean ancient anticipations are textually irrelevant.
B189-03,1904,Maupertuis hypothesis and research programme,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/July_1904/Some_Eighteenth_Century_Evolutionists_I,A_direct_primary,"Lovejoy says Maupertuis advanced transformation as a likely hypothesis rather than settled truth and locates his greater significance in heredity variation experimentation overproduction selection and adaptation problems.",Lovejoy's assessment of priority is itself a historiographical judgment and can be independently reassessed.
B189-04,1904,Diderot distinct evidentiary route,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy reconstructs Diderot's transformist hypothesis from anatomical homologies associated with Daubenton and Buffon while distinguishing it from Maupertuis's embryological route.",Shared conclusion plus distinct route does not exclude all interpersonal or textual influence.
B189-05,1904,Herder chronology and influence correction,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy corrects current accounts of Herder including publication date place and a simplified Kant influence claim and calls for a more accurate account based on Herder's own position.",Lovejoy's alternative influence reconstruction still requires independent historical evaluation.
B189-06,1904,Temporal succession versus transformism,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy states that Herder's progressive temporal sequence of forms does not necessarily imply species mutability and is compatible with special but gradual creation.",Does not deny that individual Herder passages can be important antecedents to later evolutionary ideas.
B189-07,1904,Components versus full doctrine,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy catalogs Herder's separate contentions and concludes that numerous evolution-adjacent propositions do not establish acceptance of the essential doctrine of species mutability and literal descent.",System-level classification remains Lovejoy's interpretive conclusion rather than a neutral fact.
B189-08,1904,Translation and access controls,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy explicitly marks one Bärenbach work as inaccessible and calls Osborn's Herder translation singularly inaccurate including a place where it reverses Herder's meaning.",Wikisource transcription should be checked against scan if exact typography becomes decisive.
B189-09,1904,Monboddo language evolution versus biological transformism,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy argues Monboddo's main contention concerns evolution of language and that his human-orang species-identity argument does not necessarily imply general species transformation.",Monboddo material and Sanskrit/Jones connection were already registered in Batch176 and are not new discoveries here.
B189-10,1904,Proof-bearing evidence,https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_65/August_1904/Some_Eighteenth_Century_Evolutionists_II,A_direct_primary,"Lovejoy calls the tailed-human evidence irrelevant to Monboddo's main thesis and says it suggests much but is not designed to bear any of the weight of proof.",This explicit proof-burden language supports methodological comparison but does not prove conscious continuity with notebook 004.
