date,text_or_object,domain,actor_term_or_operation,relation_partition_or_scope,named_logic_sources,primary_status,relation_to_historical_method,causal_status
1898,"MS38_004 notebook / Buddhistic Technical Terms",Buddhist philology,"temporal vs logical vs semantic vs causal/genealogical distinctions","same item can occupy different relation-types; provenance does not settle function",,direct notebook + 1898 article,"early relation-sensitive decomposition; material page preserves temporal antecedence and logical subdivision simultaneously","pre-formal-logic genealogy unproved"
1904,"The Dialectic of Bruno and Spinoza",history of philosophy,"logical tension; dialectical generator; both logically and historically","logical structure distinguished from historical source, affinity, transmission and current function",,direct primary,"explicit mixed logical + historical reconstruction","formal-logic causation unproved"
1907,"The Origins of Ethical Inwardness in Jewish Thought",history of religion,"logical sequence vs relative chronology","Toy authority for chronology does not settle logical-developmental stage",,direct primary,"question-relative authority and chronology/logical-stage partition","formal-logic causation unproved"
1908,"The Thirteen Pragmatisms I-II",contemporary philosophy / historical classification,"logically independent contentions; decomposition of shared label","acceptance/refutation cannot migrate among independent propositions",,direct primary,"historical label decomposed into proposition units before adjudication","source of operation not yet identified"
1909,"Pragmatism and Realism",philosophy / intellectual classification,"logical analysis; historical comparison; complete enumeration; compatible recombination","distinctiveness may reside in transformed configuration after components are controlled",,direct primary,"explicitly joins logical analysis and historical comparison","source of operation not yet identified"
1910,"The Treatment of 'Opposition' in Formal Logic",formal logic,"exhaustive denotational cases; mutually exclusive relations; diagrams; derived opposition/inference","infer only after complete relation-space is controlled","John Venn; Gergonne; Ernst Schröder; H. W. B. Joseph",direct primary,"very strong operation-level homology with 1908-09 enumeration/independence/scope discipline","documented logic-source ecology; transfer to historical method unproved"
1911,"Existence and Formal Logic",formal logic / ontology,"formal logic asserts implications rather than existences","inferential jurisdiction of formal logic does not automatically license existential assertion","Walter T. Marvin dispute",direct primary,"strong homology with warrant-scope rule across early historical work","causal transfer unproved"
1911,"Buffon and the Problem of Species",history of science / ideas,"close analysis of language + chronology; competing interpretations","semantic and chronological evidence jointly constrain interpretation",,primary bibliographic/secondary summary controlled,"historical-conceptual analysis contemporaneous with formal-logic work","co-presence secure; causal relation unproved"
1911,"The Import of Vitalism",philosophy of biology,"rigorous meaning; distinguish vitalism/mechanism","concept boundary must be clarified before substantive dispute",,primary bibliographic/secondary summary controlled,"definition/discrimination across another domain","co-presence secure; causal relation unproved"
1911,"Review of Bertrand Russell, Philosophical Essays",philosophy,"contemporary engagement with Russell",,"Bertrand Russell",review bibliographic control,"contact control only; does not establish logical influence","Russell influence unproved"
1912,"Review of Bosanquet / Coffey / Schiller logic books",logic review ecology,"science of correct reasoning; modern developments in logic; dispute over science of logic","multiple rival logic programmes treated as live alternatives","Bernard Bosanquet; P. Coffey; F. C. S. Schiller",primary bibliographic/secondary summary controlled,"places Lovejoy in heterogeneous logic ecology, not a single analytic lineage","no single-school genealogy warranted"
1913,"Review of A. T. Robinson, The Applications of Logic",logic pedagogy,"cultivation of logicality; logical self-consciousness","logical discipline treated as educational/scholarly virtue","A. T. Robinson",primary bibliographic/secondary summary controlled,"extends logic from technical work to persona/pedagogy","training genealogy still open"
1941,"Historiography of Ideas",methodology of history of ideas,"logical / psychological / historical-genetic relations; logical analysis as first task","analyst-level implication is tentative hypothesis; must return to historical data",,direct primary controlled in repo,"mature explicit relation partition and hypothesis/data firewall","longitudinal recurrence secure; causal source chain unproved"
