year	volume_issue	author	title	region_object	object_unit_primary	object_unit_secondary	unit_confidence	unit_construal_note	role_code	address	evidence_status
1943	4.1	Louis B. Wright	The Noble Savage of Madagascar in 1640	Madagascar/Africa	U1_SEMANTIC_PROPOSITIONAL		HIGH	primary historical object is the noble-savage representation/concept rather than Malagasy intellectual life	R7_REPRESENTATION	WEST_FACING_REPRESENTATION	DIRECT_JSTOR_TOC
1945	6.4	Donald F. Lach	Leibniz and China	China	U3_AGENT_UTTERANCE	U5_SOURCE_WITNESS_INFRASTRUCTURE	HIGH	Leibniz/source-recipient genealogy organized around a named European thinker and Chinese knowledge materials	R2_SOURCE_ANTECEDENT+R4_CONTACT_TRANSMISSION	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC
1949	10.1	Elizabeth Flower	The Mexican Revolt Against Positivism	Mexico/Latin America	U6_TRADITION_CANON	U7_INSTITUTIONAL_COLLECTIVE_ARENA	HIGH	positivism is treated as an imported intellectual programme transformed by a regional movement/field	R5_REACTION_TRANSFORMATION+R6_REGIONAL_HISTORIOGRAPHY	REGIONALLY_ADDRESSED	DIRECT_JSTOR_TOC
1949	10.1	Herrlee Glessner Creel	Sinism--A Clarification	China	U1_SEMANTIC_PROPOSITIONAL	U11_ANALYTIC_CONSTRUCT	MEDIUM	article is a clarification/classification dispute around the concept Sinism; full text still needed for exact unit hierarchy	R1_CONCEPTUAL_CLARIFICATION+R3_COMPARATIVE_CONTROL	MIXED_INTERNAL_COMPARATIVE	DIRECT_JSTOR_TOC_CONTENT_READ_PENDING
1949	10.1	Arthur F. Wright	Professor Northrop's Chapter on the Traditional Culture of the Orient	Asia/Orient	U11_ANALYTIC_CONSTRUCT	U6_TRADITION_CANON	HIGH	object is Northrop's comparative model of Oriental traditional culture as an analytic construction	R3_COMPARATIVE_META_CRITIQUE	META_COMPARATIVE	DIRECT_JSTOR_TOC
1949	10.4	Mary Wyman	Chinese Mysticism and Wordsworth	China/England	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	HIGH	Wordsworth-centered source/influence genealogy relates a named author to Chinese mystical materials	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC
1950	11.3	R. C. Bald	Sir William Chambers and the Chinese Garden	China/Britain	U3_AGENT_UTTERANCE	U4_PRACTICE_RITE_EVENT	HIGH	Chambers-centered reception genealogy uses garden/aesthetic practice as transferred material	R2_SOURCE_ANTECEDENT+R4_CULTURAL_TRANSFER	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC
1951	12.1	Joseph Needham	Human Laws and Laws of Nature in China and the West (I)	China/West	U6_TRADITION_CANON	U11_ANALYTIC_CONSTRUCT	HIGH	China and West are co-comparable intellectual traditions under a common law/nature problem	R3_COMPARATIVE_COCASE	BILATERAL_COMPARATIVE	DIRECT_JSTOR_TOC
1951	12.1	Arthur F. Wright	Fu I and the Rejection of Buddhism	China/Buddhism	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	HIGH	named Chinese actor operates within a reception/rejection relation between traditions	R5_REACTION_TRANSFORMATION	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_JSTOR_TOC
1951	12.1	Hellmut Wilhelm	The Problem of Within and without, a Confucian Attempt in Syncretism	China/Confucianism	U6_TRADITION_CANON	U11_ANALYTIC_CONSTRUCT	HIGH	Confucian intellectual formation/syncretic system rather than one author is principal historical unit	R5_REACTION_TRANSFORMATION	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_JSTOR_TOC
