notebook,pdf_page,ms_locator,topic,grade,published_pages,relation
"MS38_004","001","leaf not visibly numbered","封面与所有者题记","N","—","物质载体信息；无刊文对应。"
"MS38_004","002","leaf not visibly numbered","封面与所有者题记","N","—","物质载体信息；无刊文对应。"
"MS38_004","003","p.5","主题索引（anicca/anattā/agnosticism）","C","132–133","只显示共同问题域；不是刊文段落草稿。"
"MS38_004","004","p.8","数论派的知识来源与推论法","N","—","数论派方法论笔记；1898年技术术语论文未采用。"
"MS38_004","005","p.9","数论派的知识来源与推论法","N","—","数论派方法论笔记；1898年技术术语论文未采用。"
"MS38_004","006","p.21","佛教对无益形上追问的限制","C","132","与刊文把无明限定为不知佛法、拒绝本体绝对者同属背景；无可证文字承继。"
"MS38_004","007","p.23","佛教对无益形上追问的限制","C","132","与刊文把无明限定为不知佛法、拒绝本体绝对者同属背景；无可证文字承继。"
"MS38_004","008","p.25","佛教对无益形上追问的限制","C","132","与刊文把无明限定为不知佛法、拒绝本体绝对者同属背景；无可证文字承继。"
"MS38_004","009","p.43","数论派与佛教的先后问题索引","N","—","历史先后问题未进入刊文。"
"MS38_004","010","p.49","刹那生灭、相续与流变例证","C","132–133","无常/流变成为刊文解释缘起中段的背景，但这些引文与论证未直接刊出。"
"MS38_004","011","p.51","刹那生灭、相续与流变例证","C","132–133","无常/流变成为刊文解释缘起中段的背景，但这些引文与论证未直接刊出。"
"MS38_004","012","p.53","刹那生灭、相续与流变例证","C","132–133","无常/流变成为刊文解释缘起中段的背景，但这些引文与论证未直接刊出。"
"MS38_004","013","p.55","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","014","p.57","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","015","p.59","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","016","p.61","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","017","p.63","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","018","p.65","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","019","p.67","数论派年代、六十二见与佛教形上立场","N","—","大段历史—形上支线被排除于技术术语论文。"
"MS38_004","020","p.71","以比较文本分析十二缘起概念","T2","126, 130–133","研究任务与刊文自述高度一致：由语词用例澄清缘起结构；措辞经压缩重组。"
"MS38_004","021","p.73","生、老死、有的定义与再生位置","T1","130–131","作为三世分段的资料底层被吸收，定义本身未逐条刊出。"
"MS38_004","022","p.75","四取与Warren的欲—取同一说","T3","126, 129–130","刊文开头明确引Warren的identity命题并以四取/六欲的不对称反驳；同一争点与证据。"
"MS38_004","023","p.77","欲与取的对象及功能差别","T2","129–131","刊文把taṇhā与upādāna区分为相邻而不同的因果功能；笔记论证被重写。"
"MS38_004","024","p.79","受、触、六入的六重分类","T1","132","刊文明确承认无法在篇幅内复核1–8支中的蕴分析；属被指认而省略的工作。"
"MS38_004","025","p.81","受、触、六入的六重分类","T1","132","刊文明确承认无法在篇幅内复核1–8支中的蕴分析；属被指认而省略的工作。"
"MS38_004","026","p.83","受、触、六入的六重分类","T1","132","刊文明确承认无法在篇幅内复核1–8支中的蕴分析；属被指认而省略的工作。"
"MS38_004","027","p.85","缘起3–8支的关系图","T1","132","正对应刊文所称未能展开的分析；图示证明笔记按关系而非单一线性链处理。"
"MS38_004","028","p.87","名色、识及心理分类","T1","132","进入刊文的只是“诸蕴隐约出现于1–8支”的结论，细部分类被省略。"
"MS38_004","029","p.89","名色、识及心理分类","T1","132","进入刊文的只是“诸蕴隐约出现于1–8支”的结论，细部分类被省略。"
"MS38_004","030","p.91","行、业与再生倾向","T2","130–132","刊文三世分段及业的特定果报功能建立在同一材料群上，未逐字照录。"
"MS38_004","031","p.93","无明不是宇宙力或本体实体","T3","131–132","刊文直接驳斥把无明解释为Hartmann式绝对意志；与本页否定宇宙力的命题高度同构。"
"MS38_004","032","p.95","缘起次序可逆、3–9成组、10–12换视角","T3","130–131","刊文“不表达严格时间次序”及过去/现在/未来三段划分，是本页结构实验的定稿化。"
"MS38_004","033","p.97","upādāna管再生事实、karma管再生方式","T3","130","几近逐句进入刊文：业决定再生于何种状况，取决定再生事实本身。"
"MS38_004","034","p.99","五蕴构成与业维持跨生连续","T1","127, 130–132","刊文采用诸蕴已分布于缘起多支及业决定具体再生的结论，细部材料被压缩。"
"MS38_004","035","p.101","五蕴构成与业维持跨生连续","T1","127, 130–132","刊文采用诸蕴已分布于缘起多支及业决定具体再生的结论，细部材料被压缩。"
"MS38_004","036","p.103","四取及八正道灭取","T2","129–131","刊文的取之伦理定义与灭取/止息再生功能由此证据群支撑。"
"MS38_004","037","p.107","因果系列无始与时间问题","C","130–132","同属缘起解释背景；无限回溯论证未进入刊文。"
"MS38_004","038","p.109","因果系列无始与时间问题","C","130–132","同属缘起解释背景；无限回溯论证未进入刊文。"
"MS38_004","039","p.111","色法与派生色分类","C","127, 132","只作为蕴/名色分析背景；未形成可定位的刊文论段。"
"MS38_004","040","p.113","色法与派生色分类","C","127, 132","只作为蕴/名色分析背景；未形成可定位的刊文论段。"
"MS38_004","041","p.121","诸蕴、名色、识、受、想、行的交叉分类","T1","127, 132","刊文明确说诸蕴在1–8支中被隐约指涉，却因篇幅不展开；这六页正是被省略的分析体。"
"MS38_004","042","p.123","诸蕴、名色、识、受、想、行的交叉分类","T1","127, 132","刊文明确说诸蕴在1–8支中被隐约指涉，却因篇幅不展开；这六页正是被省略的分析体。"
"MS38_004","043","p.125","诸蕴、名色、识、受、想、行的交叉分类","T1","127, 132","刊文明确说诸蕴在1–8支中被隐约指涉，却因篇幅不展开；这六页正是被省略的分析体。"
"MS38_004","044","p.127","诸蕴、名色、识、受、想、行的交叉分类","T1","127, 132","刊文明确说诸蕴在1–8支中被隐约指涉，却因篇幅不展开；这六页正是被省略的分析体。"
"MS38_004","045","p.129","诸蕴、名色、识、受、想、行的交叉分类","T1","127, 132","刊文明确说诸蕴在1–8支中被隐约指涉，却因篇幅不展开；这六页正是被省略的分析体。"
"MS38_004","046","p.131","诸蕴、名色、识、受、想、行的交叉分类","T1","127, 132","刊文明确说诸蕴在1–8支中被隐约指涉，却因篇幅不展开；这六页正是被省略的分析体。"
"MS38_004","047","p.133","upādāna与upādhi的语义邻近","T2","133–134","成为第二节把upādi与upādāna联系起来的词义背景；刊文改以用例而非词源作裁决。"
"MS38_004","048","p.135","Senart：upādāna是upādānakkhandha缩写？","T3","126–128","刊文完整提出并反驳Senart的集体名称论；同一引文与问题结构。"
"MS38_004","049","p.137","复合来源不等于无逻辑或无意义","T3","127, 131–132","刊文从Senart的‘重复—拼凑—无意义’结论撤回，并保留术语借入/编排原创的区分。"
"MS38_004","050","p.139","双重/三重列举、集体名称与时序/逻辑关系","T2","127–132","刊文反驳重复性并区分诸蕴、名色与取的关系；论证经大幅压缩。"
"MS38_004","051","p.141","无明与行的历史谱系及本体化风险","T2","131–132","刊文保留前佛教语汇/佛教重新配置及反本体论判断，舍弃大部分谱系假说。"
