box,currently_captured_exact_components,known_exact_examples,current_public_search_pass_status,negative_evidence_rule,next_technique
72,0,,"direct web-index box query produced no new exact child in current pass","no result means not publicly search-indexed, not no correspondence","enumerate ArchivesSpace top-container children/API or downloadable finding-aid structure"
73,1,"G. W. Cunningham — Folder 12 item 4","existing exact child retained; no additional box-level hit promoted","no result means not publicly search-indexed, not no correspondence","container-tree enumeration rather than surname search"
74,1,"Thomas K. Ford — Folder 12","existing exact File-level child retained; no additional box-level hit promoted","no result means not publicly search-indexed, not no correspondence","query both File-level and grandchild item containers"
75,2,"Kent Greenfield — Folder 1 item 8; Marjorie Grene — Folder 2 item 1","existing exact children retained","sparse indexed children cannot be treated as folder inventory","top-container child walk"
76,0,,"direct web-index box query produced no new exact child in current pass","no result means not publicly search-indexed, not no correspondence","top-container child walk"
77,12,"Folder 5 items 1-10; Krapp F6/i10; Lattimore F11/i10; Levinson F15/i10; Long F16/i10 are among current captures","dense but query-shaped sample already proves harvestability","captured grandchild item-number queries are not an exhaustive box inventory","systematically enumerate every child/grandchild rather than item-10 probes"
78,0,,"direct site-index query returned no exact MS-0038 child","no result means not publicly search-indexed, not no correspondence","ArchivesSpace structural enumeration"
79,0,,"direct site-index query returned no exact MS-0038 child","no result means not publicly search-indexed, not no correspondence","ArchivesSpace structural enumeration"
80,0,,"direct site-index query returned no exact MS-0038 child","no result means not publicly search-indexed, not no correspondence","ArchivesSpace structural enumeration"
81,0,,"direct site-index query returned no exact MS-0038 child","no result means not publicly search-indexed, not no correspondence","ArchivesSpace structural enumeration"
82,0,,"direct site-index query returned no exact MS-0038 child","no result means not publicly search-indexed, not no correspondence","ArchivesSpace structural enumeration"
83,1,"I. G. Spaulding — Folder 6 item 3","official exact child reconfirmed; other search results were unrelated collections sharing Box 83","box number alone is not collection identity and search silence is not absence","scope all queries to MS-0038 resource/top-container before harvesting children"
84,0,,"direct site-index query returned no exact MS-0038 child","no result means not publicly search-indexed, not no correspondence","ArchivesSpace structural enumeration"
