problem,Senart_1896_evidence,Senart_inference,004_response,Lovejoy_1898_publication,Lovejoy_1902_analogue,evidence_status
nidana_composition,"p288: core at trṣṇā/upādāna; next three natural; remainder includes Sāṁkhya borrowing and alleged detailed repetition of skandhas","formula has recoverable historical layers; later/borrowed components limit claims of original unitary conception","p49 grants composite origin, inherited terms, heterogeneous categories and nonhomogeneous temporal ordering but denies unintelligibility/accidental arrangement","p127 rejects upādāna=skandhas semantic premise before accepting repetition/composition inference; later says borrowed terms/ideas can have original/characteristic arrangement and application","different historical systems can contain/recombine recurrent logical motives without being historically or conceptually identical",secure_primary_both_sides
term_filiation,"p295: explicit programme of analysis and filiation of terms; authoritative texts contain successive stratifications","term genealogy is a principal route to historical reconstruction and to exposing scholastic accretion","p49/p53ff uses genealogy but continues to test relation and causal function among terms","p134: when rival derivations of upādi are both possible, meaning must be settled without reference to etymology","conceptual resemblance does not itself establish historical transmission; separate internal genealogy is required",secure_primary_Senart_and_Lovejoy_1898;1902_secure_prior_primary
upadhi_upadi_genealogy,"p293: semantic affinity among Buddhist/Sāṁkhya upadhi; northern/southern forms used to infer correspondence and historical relation","formal/semantic relations support term filiation and Sāṁkhya/Buddhist historical layering","pp47-48 and later pages compare derivations/connotations but ask what apparently related terms do systematically","pp133-135 stages Childers/Rhys Davids versus Müller/Dahlmann derivational fork and brackets etymology when it fails to decide usage",NA,secure_Senart_and_Lovejoy;Muller_Dahlmann_page_control_pending
repetition_identity,"upādāna treated as reduction/collective designation for upādānaskandhas; repetition becomes evidence of composition","formal recurrence is made historically probative because recurring expressions are treated as semantically identical","pp49-50 says duplication problem depends on interpretation; collective recurrence alone is not decisive","pp127-129 separates skandhas, upādānakkhandhas, and attachment itself through Sutta usage","related categories/motives can recur across systems without identity of the systems",secure_primary
historical_borrowing,"p295: Sāṁkhya-Yoga influence after Kern/Garbe/Jacobi hard to doubt; need determine periods, conditions and character","historical layering/appropriation is central explanatory task","p49 concedes terms brought from existing sources; later closing outline distinguishes original/derived elements","published claim: terms and perhaps ideas largely borrowed, but arrangement/application original and characteristic","Aristotle/Vedānta resemblance does not require eastern borrowing if internal Greek genealogy explains conception",secure_primary_or_prior_full_primary
system_intelligibility,"p295 warns nomenclatures may reflect tyranny of frameworks/words and scholastic phraseology rather than conscious profound speculation","historical-philological analysis often downgrades apparent systematic depth of inherited nomenclature","p49: composite provenance does not entail unintelligibility; a discoverable technical system gives arrangement","article seeks more definite/coherent interpretation and reconstructs causal roles inside dependent origination","historian tracks presuppositions/logical motives across recombinations and can decompose one doctrine into warring categories",004_and_1898_secure;1902_prior_primary
causal_role,"not the central p295 methodological claim; Senart's semantic identification contributes to repetition argument","genealogy/semantic equation affects interpretation of causal formula","Hardy p394 is turned into fact-versus-manner question; term-by-term mapping tests causal jobs","karma = particular condition of rebirth; upādāna = fact of rebirth itself; historical explanation added","large-scale analog: logical motive/presupposition evaluated by role and consequence within a philosophical configuration",Hardy_004_1898_secure;1902_operational_analogy
residual_upadisesa,"p293 links upadhi/upādi histories; broader article participates in term-filiation problem","lexical genealogy bears strongly on Nirvāṇa interpretation","pp63-66 tests poisoned-arrow, Anāgāmin/Arahat and Sutta-Nipāta contexts; concludes ethical residual impurity not physical skandha persistence","pp133-136 brackets unsettled etymology and decides meaning through usage while retaining residual textual uncertainty",NA,secure_004_and_1898;upstream_exact_page_controls_partly_pending
inference_rule,"analysis/filiation of terms reveals stratification and guards against over-reading inherited nomenclature","provenance and layering evidence is allowed substantial explanatory force","historical layering is granted but systematic/semantic conclusions require separate functional evidence","derivation does not settle meaning; recurrence does not settle identity; usage/causal relation independently tested","resemblance does not settle transmission; historical genealogy and logical affinity demand different evidence",strong_synthesis_grounded_in_primary
paper_level_formulation,"term filiation → stratification / borrowing / caution about conscious system","historical philology disciplines philosophical reconstruction","grant genealogy, block inference from genealogy to unintelligibility","separate provenance/etymology from semantic-causal work in arrangement","separate structural affinity from demonstrated transmission",interpretive_synthesis_not_authorial_formula
