source_file,source_batch,source_row,source_field_count,date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action,source_id,source_type,date,title_or_description,author_or_signature,location_or_url,relevance_to_MS38_005,evidentiary_use,caution,author,local_file,relevance_to_004_005,date_or_stage,proposition,claim_strength,notes,locus,claim,evidence_status,use,title_or_item,locus_or_pages,url_or_archive,role_in_argument,source_overflow_1,source_overflow_2,title,exact_locus,relevance,relation_to_lovejoy,actor,url_or_location
research_notes/MS38_005_source_register_batch41_delta.csv,41,2,8,1896-1897,primary_recovered_contextual_control,005_strict_core,Mauss redivision of Steinmetz endocannibalism,"Marcel Mauss, La religion et les origines du droit pénal, RHR 34 (1896) 269-295; RHR 35 31-60; JSTOR 23660498 / 23661147",confirmed_primary_text,Mauss renames Steinmetz's endocannibalisme more precisely as anthropophagie rituelle des parents and reports transfer of the dead person's virtues to survivors; converts a broad behavioural class into a relational/ritual/efficacy mechanism closely comparable to 005 pp106-119,"Collate exact printed page in RHR facsimile; use as contemporary controversy control, not direct Lovejoy reading claim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch41_delta.csv,41,3,8,1896,primary_recovered_source_packet,005_strict_core,Marillier Tabou melanesien inside Mauss Steinmetz critique,Mauss critical essay cites L Marillier Tabou melanesien pp53-56 as collecting most relevant Melanesian texts,confirmed_primary_reference,Shows Marillier's 1896 publication functioning contemporaneously as an assembled evidence packet inside the Steinmetz controversy; same discussion connects taboo sanction with differential mana/magical power,Use to strengthen dossier/source-packet section; keep separate from proof of physical note circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch41_delta.csv,41,4,8,c.1898-1905,archive_correction_and_concordance,005_strict_core,Lovejoy exact Steinmetz title plus anthropophagy mechanism split,MS38_004_001_061_005 PDF p62/MS125 and pp106-119; corrected p061-075 clean JSON,confirmed_archive,"Machine-readable transcription now correctly records Endokannibalismus — Steinmetz; later pages distinguish famine revenge kin-affection transfer of qualities sympathetic efficacy propitiation and sacramental union, with selected organs carrying specific qualities",After Marillier pp113-115 is recovered build Steinmetz proposition → Marillier intervention → Lovejoy operation matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch42_delta.csv,42,2,8,1896-1897,primary_recovered_local_classification,005_strict_core,Mauss kin endocannibalism classified as communion,"Marcel Mauss, La religion et les origines du droit pénal, RHR 34 (1896) 269-295; RHR 35 31-60; searchable electronic reproduction pp30-31",confirmed_primary_text,"Mauss narrows Steinmetz endocannibalisme to anthropophagie rituelle des parents, says virtues of the dead enter survivors, and explicitly classifies the transfer as un simple acte de communion",Align electronic pp30-31 to original RHR35 print pages before publication quotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch42_delta.csv,42,3,8,c.1898-1905,archive_reclassification,005_strict_core,Lovejoy transfer of qualities separated from communion,MS38_004_001_061_005 PDF pp108 117 119; clean p106-120 transcription,confirmed_archive,"Selected organs transmit intelligence courage/life or sexual power, but Lovejoy routes the mechanism through sympathetic/transferable efficacy rather than sufficient evidence of sacramental cannibalism; sacramental union is comparatively exceptional",Compare with Marillier RHR34 pp113-115 to identify the missing middle classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch42_delta.csv,42,4,8,1896-1906,interpretive_model,005_to_primitive_energetics,Transfer relation extracted from sacramental category,Mauss communion classification + 005 efficacy split + Lovejoy 1906 Primitive Energetics,strong_revised,"A plausible micro-mechanism for later abstraction is that 005 makes transfer analytically portable outside communion, allowing comparison with blood objects charms plants stones and direct/intrinsic efficacy; this is stronger than a generic shared-topic genealogy",Test transfer-not-communion cut against 005 blood/fetish/charm pages and 1906 wording; avoid direct Mauss-reading claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch43_delta.csv,43,2,8,1896-1897,primary_contemporary_testimony,005_context,Marcel Mauss acknowledgment of Marillier documentary support,"Mauss, La religion et les origines du droit pénal d’après un livre récent, RHR 34-35; searchable electronic reproduction",confirmed_text_print_page_alignment_pending,Mauss explicitly says Marillier communicated his bibliography and notes from different courses for a substantial part of the study; direct evidence that Marillier's research teaching circulated reusable bibliographic/note materials,Align sentence to original RHR facsimile page; retain exact wording within quotation limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch43_delta.csv,43,3,8,1896,primary_bibliographic_control,005_context,Marillier review of Steinmetz Endokannibalismus pagination,"RHR 34 Google Books TOC, volume IMS_qnJ3w3sC",confirmed_pagination,"Review begins p113; separate notice begins p116, fixing Marillier review at pp113-115; Bérenger-Féraud review begins p119",Retrieve exactly printed pp113-115; no longer qualify page span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch43_delta.csv,43,4,8,1896-1899,document_circulation_model,005_context,Marillier bibliography and course-note circulation,Mauss testimony + Söderblom testimony + EPHE pedagogy controls,strong_multiwitness,Two independent researchers directly attest receipt/use of Marillier bibliographies or notes; supports workshop infrastructure independently of Lovejoy-text resemblance,Build document-circulation witness matrix; keep Lovejoy handoff as inference not fact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch43_delta.csv,43,5,8,1898-1899,archive_contextual_inference,005_only,Lovejoy 005 within Marillier EPHE research ecology,EPHE active-auditor report + 005 exact Endokannibalismus title + later mechanism reclassification,strong_contextual_inference,Marillier's documentary apparatus is demonstrably transmissible in same controversy ecology; 005 is compatible with this workflow but no particular sheet/handoff is yet identified,Test RHR113-115 and RAI MS99 bibliography/order against 005 before upgrading provenance claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
