doc_id,date,sender,recipient,collection_id,box,folder_item,document_relation_to_lovejoy,documentary_context,source_status,verification_status,source_url,notes,next_action
B102JHU001,1917-07-14,Allyn A. Young,Harry Walter Tyler,MS-0038,24,,third_party_to_third_party_preserved_in_lovejoy_fonds,AAUP wartime academic-freedom administration,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Young to Tyler, 14 Jul 1917, Lovejoy Papers Box 24. The material form and route by which a letter between two third parties entered Lovejoy's papers are not stated; do not label it copy, forwarded original, enclosure, or retained organizational file without inspection.",inspect Box24 and record material form/addressee/copy marks/enclosure or docket evidence
B102JHU002,1917-10-17,William Herbert Hobbs,Allyn A. Young,MS-0038,24,,third_party_to_third_party_preserved_in_lovejoy_fonds,wartime academic-freedom case traffic,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Hobbs to Young, 17 Oct 1917, Lovejoy Papers Box 24. Custody in Lovejoy's fonds is distinct from address to Lovejoy.",inspect Box24 and recover exact folder/item plus physical manifestation type
B102JHU003,1917-11-01,Richard T. Ely,Allyn A. Young,MS-0038,24,,third_party_to_third_party_preserved_in_lovejoy_fonds,wartime academic-freedom case traffic,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Ely to Young, 1 Nov 1917, Lovejoy Papers Box 24. No inference is made about whether Lovejoy received it contemporaneously or as part of a committee packet.",inspect Box24 and recover exact folder/item plus provenance marks
B102JHU004,1919-01-02,Harry Walter Tyler,Frank R. Lillie,MS-0038,83,,third_party_to_third_party_preserved_in_lovejoy_fonds,Committee A chairmanship/AAUP administration,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Tyler to Lillie, 2 Jan 1919, Lovejoy Papers Box 83. This is a clean demonstration that Box 83 contains institutional traffic not addressed to Lovejoy.",inspect Box83 and identify document form and adjacent file sequence
B102JHU005,1919-01-11,Harry Walter Tyler,Arthur O. Lovejoy,MS-0038,83,,direct_incoming_to_lovejoy,AAUP administration/Bulletin and association finances context,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Tyler to Lovejoy, 11 Jan 1919, Lovejoy Papers Box 83.",inspect Box83 and recover exact folder/item
B102JHU006,1919-01-31,Harry Walter Tyler,Harlan Fiske Stone,MS-0038,83,,third_party_to_third_party_preserved_in_lovejoy_fonds,Committee P/TIAA pensions and insurance coordination,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Tyler to Stone, 31 Jan 1919, Lovejoy Papers Box 83. This sits between Stone to Lovejoy 28 Jan (Columbia Stone Papers Box 37) and Tyler to Lovejoy 1 Feb (JHU Box 83), making it a high-value cross-fonds coordination target without proving a causal or duplicate relation.",inspect Box83 then collate against Columbia Stone Box37 and CFAT Box42/F1
B102JHU007,1919-02-01,Harry Walter Tyler,Arthur O. Lovejoy,MS-0038,83,,direct_incoming_to_lovejoy,Committee P/TIAA dispute and Pritchett strategy,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede uses this letter in the passage where Tyler warns that Pritchett can exploit Cattell's and perhaps Jastrow's over-strenuous criticism/excess zeal. Exact wording should be checked against the manuscript before quotation.",inspect Box83 and collate with Tiede narrative and CFAT correspondence
B102JHU008,1919-02-18,Arthur O. Lovejoy,Harry Walter Tyler,MS-0038,83,,lovejoy_outgoing_manifestation_in_lovejoy_fonds_form_unknown,Louis Levine/University of Montana academic-freedom case,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"A Lovejoy-authored outgoing letter is cited in Lovejoy's own papers. The surviving manifestation could be a draft, carbon/file copy, returned original, or another form; no form is assigned before inspection.",inspect Box83 for copy/draft/original markers and search Tyler reciprocal fonds
B102JHU009,1919-02-25,Harry Walter Tyler,Arthur O. Lovejoy,MS-0038,83,,direct_incoming_to_lovejoy,Louis Levine/University of Montana academic-freedom case,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites the 18/25 Feb Lovejoy-Tyler pair together in Lovejoy Papers Box 83.",inspect Box83 and pair at document level with 18 Feb manifestation
B102JHU010,1920-06-11,Harry Walter Tyler,O. D. Kellogg,MS-0038,83,,third_party_to_third_party_preserved_in_lovejoy_fonds,AAUP institutional administration,scholarly_exact_date_direction_box_citation,secondary_exact_box_primary_collection_confirmed_child_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede explicitly cites Tyler to Kellogg, 11 Jun 1920, Arthur O. Lovejoy Papers Box 83. This extends third-party institutional traffic in the Lovejoy fonds beyond the 1919 pension dispute.",inspect Box83 and compare with the separate MS-0038 O. D. Kellogg correspondence component at Box77/Folder5/item9
