event_id,date,direction,other_party,cited_folder_literal,collection_id,evidence_status,container_status,notes
CORNELL1915LJ001,1915-07-05,Lovejoy_to,Seligman,"June 10 to July 31, 1915",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Exact dated Lovejoy item in organizational chronological file."
CORNELL1915LJ002,1915-08-05,Lovejoy_to,Seligman,"August 1 to September 30, 1915",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Keep separate from Seligman personal papers manifestations."
CORNELL1915LJ003,1915-08-16,Lovejoy_to,Brewster,"Brewster Case",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Case-file manifestation."
CORNELL1915LJ004,1915-08-21,Lovejoy_to,Seligman,"Brewster Case",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Same case folder, different addressee."
CORNELL1915LJ005,1915-09-11,Lovejoy_to,Seligman,"Montana Case, Folder 2",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Tiede uses this literal folder label in an earlier chapter note; later notes use 'University of Montana, Folder 2'. Preserve both forms until the finding aid/microfilm guide resolves whether they are identical."
CORNELL1915LJ006,1915-10-05,Lovejoy_to,Seligman,"Nearing Case",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Nearing-investigation file."
CORNELL1915LJ007,1915-10-12,Lovejoy_to,Seligman,"Nearing Case",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Second exact Lovejoy/Seligman Nearing item."
CORNELL1915LJ008,1915-10-29,Lovejoy_to,Seligman,"University of Montana, Folder 2",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Montana investigation organization-side manifestation."
CORNELL1915LJ009,1915-11-12,Lovejoy_to,Charles Kofoid,"University of Montana, Folder 2",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Tiede also cites Kofoid to Lovejoy on the same date in this folder; reciprocal same-day pair should be inspected together."
CORNELL1915LJ010,1915-12-08,Lovejoy_to,Charles Kofoid,"University of Montana, Folder 3",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Folder 3 also contains Padelford to Lovejoy 24 Dec 1915."
CORNELL1915LJ011,1915-12-11,Lovejoy_to,Seligman,"December 7, 1915 to January 17, 1916",11-8-mf.33,Tiede_exact_item_and_folder,physical_reel_or_box_pending,"Chronological organization file."
CORNELL1915LJ012,1915-12-14,Lovejoy_to,John H. Wigmore,"December 15, 1915 to January 17, 1916",11-8-mf.33,Tiede_exact_item_and_folder_with_date_mismatch,physical_reel_or_box_pending,"Letter date precedes the cited folder's literal start date by one day. Logged separately as description/citation conflict GAC0003; do not silently alter either date."
