domain,date,source_actor,source_work,lovejoy_005_pages,source_operation,lovejoy_operation,shared_operator,historical_status,evidence_limit
source_criticism_eschatology,1905,N. W. Thomas,The Religious Ideas of the Arunta,"16-30","Compares conflicting reports; solicits new field correspondence; tests missionary chronology, translation, diffusion, and internal evolution as rival hypotheses; assigns burden of proof for borrowing","Separates missionary/contact influence from earlier material; tests date/provenance; distinguishes imported moralization from local non-moral determinants","contamination_and_diffusion_test_before_developmental_inference",independent_former_student_control,"No evidence Lovejoy read Thomas 1905; Thomas's method also reflects post-Paris networks"
animal_cult_classification,1911,N. W. Thomas,Animal Worship,"37-38;49-60;65;76-77;106-107","Separates classification by outward form from inward meaning; states present meaning need not equal original cause; allows transformation and syncretism","Refuses to infer sacrificial/mystical meaning from outward form; treats syncretism and changing explanations historically","form_vs_present_meaning_vs_historical_origin",independent_former_student_control,"Later formalization; not evidence of exact Marillier wording"
cannibalism,1911,N. W. Thomas,Cannibalism,"106-119","Calls cannibalism a grouping whose common bond is only eating flesh; classifies by motives and regulations; quality-transfer is magic; critiques Steinmetz endo/exo boundaries; multiple origins","Separates famine, revenge, affection, transfer, magic, propitiation, communion; body-part quality transfer need not be communion; sacramental union exceptional","broad_label_broken_by_motive_and_mechanism",independent_former_student_control,"No Thomas-to-Lovejoy reading claim; 005 predates article"
fetish_charm,1911,N. W. Thomas,Fetishism,"87-89","Disaggregates indwelling spirit, charm power derived from a spirit, and object magically potent in itself","Distinguishes fetish by indwelling/present spirit from charm or amulet with intrinsic efficacy","classify_by_location_and_transmission_of_efficacy",independent_former_student_control,"Thomas's terminological judgments are later and not identical to 005 vocabulary"
taboo_sanction,1911,N. W. Thomas,Taboo,"16-20;82;116-117","Separates non-moral taboo from moral obligation; direct/communicated mana; automatic, animistic, and social sanctions","Separates taboo/custom/clan solidarity/ritual qualification from moral guilt; initiation and bodily injury do not automatically imply sacrifice","classify_by_causal_bearer_of_sanction",independent_former_student_control,"Substantive overlap already noted in batch28; value here is integration into common operator"
sacrifice,1911,N. W. Thomas,Sacrifice,"49-65;76-105;110-119","Reports Marillier/Hubert-Mauss anti-unilateral theories; says permanence of ritual form does not imply permanence of meaning; original single form insoluble","Separates funerary, magical, fecundative, propitiatory, alimentary, sacramental and social mechanisms; present complexes can mix older layers","morphological_continuity_does_not_license_genealogical_identity",independent_former_student_control,"Later synthesis; Marillier primary antecedents must be cited where available"
animism_eschatology,1911,N. W. Thomas,Animism,"16-30;91-97","Lists rank, sex, mode of death, burial and funeral ritual as postmortem determinants; refuses to infer universal origin from Australia or ancestor cult","Distinguishes social/ritual/natural determinants from moral desert; layers ancestor/local/nature gods and tests priority rather than assuming it","determinant_decomposition_and_limit_on_global_origin_claim",independent_former_student_control,"Later encyclopedia control, not direct transmission evidence"
pedagogy,1896,N. W. Thomas,The Ecole Pratique des hautes Etudes,"whole_notebook_context","Eyewitness: pupil researches defined question, reads essay, lecturer comments, peers discuss","005 combines bibliography, case collection, classification, inserted slips, revisions and independent extensions","research_by_pupils_under_directed_collective_criticism",direct_contextual_witness,"Does not prove any particular 005 passage was an assignment or Marillier dictation"
paper_transfer,1898-1901,Nathan Soderblom,Marillier-related diploma/book evidence,"early_future_life_sections","Documents receiving/using Marillier notes while explicitly adopting different divisions and point of view","Shares source field but reclassifies determinants and cases differently","document_transfer_plus_student_redivision",direct_parallel_student_evidence,"Does not prove Lovejoy received identical physical sheets"
notebook_operator,c.1898-1905,Arthur O. Lovejoy,MS38_004_001_061_005,"16-30;49-119","n/a","Repeatedly moves from surface form to determinant/mechanism, tests negative cases, separates causal bearers, and reconstructs historical layering","form_to_mechanism_to_origin_with_negative_case_redivision",primary_archive,"Clean transcription is image-checked research text, not full diplomatic edition of every line"
